task_type,context_size,rho,effective_rho,tasks,mechanism_accuracy,mechanism_accuracy_ci_low,mechanism_accuracy_ci_high,mechanism_log_loss,stable_mechanism_accuracy,combined_mechanism_accuracy,empirical_mi_c_w_nats,raw_mean_loss,rank_mean_loss,rank_minus_raw_loss,rank_minus_raw_ci_low,rank_minus_raw_ci_high,uniform_expert_loss,stable_expert_loss,combined_expert_loss,oracle_expert_loss,marginal_query_utility,marginal_query_utility_ci_low,marginal_query_utility_ci_high
classification,96,0.0,0.0,420,0.10952380952380952,0.08095238095238096,0.14047619047619048,1.9061351998357834,0.4357142857142857,0.4380952380952381,0.0008244441985268284,0.6421426258204985,0.6330445840001216,-0.009098041820376703,-0.011065112258148206,-0.0071655947906237565,0.6148012040681535,0.6140723473763243,0.6131646821741923,0.6240866751223816,0.0009076652021320279,0.00011720348397881945,0.0017011513667115387
classification,96,0.1,0.1,420,0.18095238095238095,0.14523809523809525,0.21904761904761905,1.8701519325248346,0.5071428571428571,0.44761904761904764,0.0269490905146458,0.6456188083909818,0.6367378214291285,-0.008880986961853478,-0.010851461205779164,-0.006933825429195644,0.6131850340942517,0.6106585161949777,0.6106761942629249,0.625457363693868,-1.7678067947071058e-05,-0.0008068666967511864,0.0007837754832994056
classification,96,0.25,0.2571428571428571,420,0.3357142857142857,0.2904761904761905,0.38095238095238093,1.7721420279247457,0.49523809523809526,0.5238095238095238,0.13731742199401276,0.6394168884743688,0.6292349554959396,-0.01018193297842925,-0.012254751112522487,-0.008140298025084262,0.6079372488469494,0.6052191856744016,0.6030333951654918,0.6118441690046044,0.0021857905089098075,0.0008636787278386591,0.003451585961285342
classification,96,0.5,0.5,420,0.5857142857142857,0.5380952380952381,0.6333333333333333,1.4757488990238146,0.4595238095238095,0.6428571428571429,0.447633820871845,0.6397571554474095,0.6299078060065636,-0.009849349440846089,-0.012079073412404072,-0.007607848127433799,0.6100902623677248,0.6065278869926463,0.6028824347560912,0.6180652712002896,0.003645452236555148,0.0014499631102314287,0.005827441916678494
classification,96,0.75,0.7428571428571429,420,0.7452380952380953,0.7023809523809523,0.7857142857142857,1.1120597836601616,0.5261904761904762,0.8023809523809524,0.9273000774330894,0.6447097886515906,0.6360545579214388,-0.00865523073015183,-0.010762298974205215,-0.006613220115884028,0.6104941077663841,0.6059265734069499,0.6012923555683689,0.6140833730072527,0.004634217838580931,0.001686484661981862,0.007536090451989867
classification,96,0.9,0.9,420,0.8833333333333333,0.8523809523809524,0.9119047619047619,0.7532188059178493,0.49523809523809526,0.9238095238095239,1.4194809777960737,0.6420645909744318,0.6328303063144742,-0.00923428465995761,-0.011358128742809524,-0.007217888349773007,0.6103539943227975,0.6058766601282233,0.5997991988339381,0.6158628215938148,0.006077461294285239,0.0029996675680383856,0.009159984975961325
classification,96,1.0,1.0,420,0.9595238095238096,0.9404761904761905,0.9761904761904762,0.38938322277752274,0.5333333333333333,0.9833333333333333,1.7917594692280547,0.6434675636020956,0.6337117086600679,-0.0097558549420277,-0.011909476449956113,-0.007677567125085493,0.6093652042239337,0.605880315246451,0.5995675545714266,0.6161001769488281,0.006312760675024385,0.0030211483650633155,0.0095497039837257
regression,96,0.0,0.0,420,0.12857142857142856,0.09761904761904762,0.1619047619047619,1.87950509657281,0.6738095238095239,0.6047619047619047,0.0008244441985268284,0.6316461073627284,0.5935304147404041,-0.03811569262232431,-0.04474172410548167,-0.03167099427590833,0.40329727642307517,0.34468543324059914,0.35299676610490566,0.19084926668030086,-0.008311332864306513,-0.017309644051165054,0.00043105191627336854
regression,96,0.1,0.1,420,0.16666666666666666,0.13095238095238096,0.20238095238095238,1.860797664568272,0.6190476190476191,0.6071428571428571,0.0269490905146458,0.6260878293081291,0.590718982424412,-0.03536884688371709,-0.04173162249953353,-0.029045566115384065,0.40327352909742487,0.3548826103833509,0.35053595078395605,0.18462420637380555,0.004346659599394819,-0.005124266667778971,0.014045721454273815
regression,96,0.25,0.2571428571428571,420,0.34523809523809523,0.3,0.3904761904761905,1.764344561467875,0.6333333333333333,0.6642857142857143,0.13731742199401276,0.6463913444652798,0.6053389480594433,-0.04105239640583657,-0.04803393592234067,-0.034279934411892005,0.42005609409735356,0.3603897682758823,0.3432476665045065,0.19146926987071755,0.017142101771375776,0.0036358545568215745,0.03127622392779994
regression,96,0.5,0.5,420,0.55,0.5023809523809524,0.5976190476190476,1.519381294918964,0.6428571428571429,0.7309523809523809,0.447633820871845,0.6258360482108313,0.5840369361031492,-0.041799112107682015,-0.04896536179998091,-0.03486665247456034,0.39567119710191956,0.3281799975087855,0.2841445660904156,0.15248574870809747,0.04403543141836995,0.022642034008689065,0.06505354633503845
regression,96,0.75,0.7428571428571429,420,0.7619047619047619,0.719047619047619,0.8023809523809524,1.0800194720809915,0.6714285714285714,0.8214285714285714,0.9273000774330894,0.6415049256562879,0.6022163222410207,-0.039288603415267145,-0.04662212743559669,-0.032039501615169615,0.4047525859574862,0.34014012524341425,0.23210901983973287,0.15580743138101388,0.10803110540368137,0.08142075761407856,0.1353855981522239
regression,96,0.9,0.9,420,0.8928571428571429,0.861904761904762,0.9214285714285714,0.672185968391173,0.6285714285714286,0.9380952380952381,1.4194809777960737,0.6159602208343419,0.5787142623073008,-0.03724595852704108,-0.044730556321667975,-0.02981152985033608,0.39052386319406235,0.3319381447296514,0.18017871577121974,0.14361918047451752,0.15175942895843159,0.12597868717135635,0.1778610487161997
regression,96,1.0,1.0,420,0.9595238095238096,0.9404761904761905,0.9761904761904762,0.3732160913614144,0.6476190476190476,0.9952380952380953,1.7917594692280547,0.6249519333376361,0.5865728213184325,-0.038379112019203666,-0.046276212939174,-0.03064543494209796,0.39971213737685546,0.3312396404164111,0.15700685869015277,0.148809515476702,0.17423278172625825,0.1524250913366591,0.19709913852413188
