split,task_type,rho,effective_rho,mechanism,warp,coupled,episode_seed,m0_raw_loss,m1_robust_loss,m2_rank_loss,m3_augmentation_loss,m4_50_loss,oracle_alpha,oracle_loss,m4_fixed_alpha,m4_fixed_loss,m5_gate_alpha,m5_gate_loss
train,classification,0.0,0.0,interaction,pwl,False,310002,0.692110172790042,0.7094674841237114,0.6738191893205046,0.6656532175317653,0.6765476001372355,0.14,0.6733554259252519,0.31,0.6740728672634405,0.31641006926456117,0.6741274086362636
train,classification,0.0,0.0,interaction,signed_power,False,310003,0.7723578972972399,0.7614996989931416,0.7544091201323629,0.7846624366200486,0.7515781775328642,0.3,0.7497711676723708,0.31,0.7497758122862301,0.3246188032266232,0.7497992130935243
train,classification,0.0,0.0,threshold,affine,False,310004,0.6764078521496864,0.6813265121632859,0.670696522955788,0.6803592928097437,0.6633199558351572,0.42,0.6630889925189003,0.31,0.6636002378597781,0.3369758264225235,0.6633845300434444
train,classification,0.0,0.0,periodic,pwl,False,310005,0.8268409541646046,0.8185201364741368,0.799647407950753,0.8228221677536354,0.8064051039170348,0.01,0.7996454639139629,0.31,0.8022375828443566,0.3193361269287402,0.8023974650825801
train,classification,0.0,0.0,interaction,asinh,False,310006,0.685690978254132,0.6762610858493749,0.666424295828371,0.6681166095086513,0.6723516204474329,0.0,0.666424295828371,0.31,0.6692721245923219,0.33805748656510304,0.6696621190371121
train,classification,0.0,0.0,additive,asinh,False,310007,0.5608911558572887,0.5679559603406531,0.6240466662139117,0.5570704872501712,0.547091185755298,0.31,0.5455951224765672,0.31,0.5455951224765672,0.34844139938467444,0.5456535129774676
train,classification,0.0,0.0,linear,sinh,False,310008,0.7624650997831702,0.6731161706017748,0.6593750241023575,0.6549397099194896,0.6627637121052545,0.17,0.6576332657164035,0.31,0.6585392229612792,0.32700674077732816,0.6587776152251721
train,classification,0.0,0.0,additive,asinh,False,310009,0.560084063283089,0.5602736611532956,0.5576370185767978,0.5656008046084966,0.5557032071501133,0.39,0.5555639464941854,0.31,0.5556563176006137,0.34494223508386956,0.5555956499082868
train,classification,0.0,0.0,linear,pwl,False,310010,0.5998418754915743,0.6119020890658345,0.5778110925688934,0.5866828565962122,0.5841311996092018,0.0,0.5778110925688934,0.31,0.5806855165600676,0.3139033459441487,0.5807432633593682
train,classification,0.0,0.0,threshold,identity,False,310011,0.6404979265191921,0.6167667642038893,0.6479967677553387,0.6407588093714235,0.6381540406056743,0.65,0.6376175393117949,0.31,0.6403709085582505,0.3468563817342917,0.6398032543400114
train,classification,0.0,0.0,additive,pwl,False,310012,0.7409760357857366,0.8462909683955835,0.7359149161136677,0.6476500262610169,0.6880651739937935,0.12,0.6696690098396108,0.31,0.6758085120666042,0.3108701324625911,0.6758540513155351
train,classification,0.0,0.0,additive,asinh,False,310013,0.5602641366901326,0.5800683121088884,0.6005449872755705,0.5613685580829844,0.5772256014441507,1.0,0.5602641366901326,0.31,0.585285948280071,0.35881830459591896,0.5831260816167727
train,classification,0.0,0.0,linear,affine,False,310014,0.6384991308850759,0.6299018289350794,0.727722738755214,0.6596337382207417,0.6404196620746573,0.8200000000000001,0.6378112170138301,0.31,0.645047962039017,0.3426198177829701,0.6440240355537524
train,classification,0.0,0.0,linear,signed_power,False,310015,0.645411018739634,0.5920604460839791,0.6227577445968712,0.6478286064950923,0.6251890400152178,0.18,0.621269052470393,0.31,0.6219428046401381,0.3103513788952138,0.6219464035725122
train,classification,0.0,0.0,periodic,sinh,False,310016,0.7145591523948811,0.7244161088351909,0.7927202654217155,0.7014467942787916,0.7050193631142029,0.45,0.704931698404653,0.31,0.705824455370415,0.32646602411656933,0.7056172015406028
train,classification,0.0,0.0,linear,affine,False,310017,0.5614294605116912,0.5478407785614763,0.549889093173688,0.5611957235435516,0.5511848239711479,0.18,0.5492182164585777,0.31,0.5495559169019688,0.33806183133291684,0.5497135946022775
train,classification,0.0,0.0,interaction,affine,False,310018,0.7356806539074594,0.7375670235340297,0.7509945058626497,0.7187279114665287,0.7381443438472125,0.87,0.7353391447602862,0.31,0.7417588644730142,0.34331821396528095,0.7410161393875356
