task_type,dataset,feature_count,method,mean_loss,episodes
classification,adult,6,best_individual_oracle,0.44461002146428863,120
classification,adult,6,competence,0.45131866598566134,120
classification,adult,6,fixed,0.44996539581987105,120
classification,adult,6,hard_cv,0.4743830731947034,120
classification,adult,6,uniform,0.450248396017177,120
classification,churn,7,best_individual_oracle,0.41905572579128764,120
classification,churn,7,competence,0.4289616143687484,120
classification,churn,7,fixed,0.4404682086281054,120
classification,churn,7,hard_cv,0.45340553295165925,120
classification,churn,7,uniform,0.42897779885507653,120
classification,higgs-small,28,best_individual_oracle,0.677264545100435,120
classification,higgs-small,28,competence,0.6863379186679698,120
classification,higgs-small,28,fixed,0.6865682651078592,120
classification,higgs-small,28,hard_cv,0.7128525959485554,120
classification,higgs-small,28,uniform,0.6915669038881852,120
regression,black-friday,4,best_individual_oracle,0.7317934940551543,120
regression,black-friday,4,competence,0.7569535757885134,120
regression,black-friday,4,fixed,0.7419634573989735,120
regression,black-friday,4,hard_cv,0.8129593817126025,120
regression,black-friday,4,uniform,0.74592144333261,120
regression,california,8,best_individual_oracle,0.32479198309174373,120
regression,california,8,competence,0.31556916179280503,120
regression,california,8,fixed,0.32462537502321653,120
regression,california,8,hard_cv,0.3623793319201024,120
regression,california,8,uniform,0.3134672244807024,120
regression,diamond,6,best_individual_oracle,0.1455664895010026,120
regression,diamond,6,competence,0.15453681511434952,120
regression,diamond,6,fixed,0.15765354667184345,120
regression,diamond,6,hard_cv,0.19879098159847094,120
regression,diamond,6,uniform,0.1529809451269214,120
regression,house,16,best_individual_oracle,0.6328688952388644,120
regression,house,16,competence,0.6682621994932897,120
regression,house,16,fixed,1.6190685940876302,120
regression,house,16,hard_cv,0.7388213518773512,120
regression,house,16,uniform,1.2053386418459977,120
