episode_index,dataset,repeat,context_size,feature_count,method,loss
0,abalone,0,32,7,uniform,0.7427196566497507
0,abalone,0,32,7,fixed,0.768666999275311
0,abalone,0,32,7,competence,0.6482068519524243
0,abalone,0,32,7,hard_cv,0.640173554767144
0,abalone,0,32,7,best_individual_oracle,0.640173554767144
1,abalone,0,64,7,uniform,0.6031653414595206
1,abalone,0,64,7,fixed,0.6222470385884304
1,abalone,0,64,7,competence,0.599615679357553
1,abalone,0,64,7,hard_cv,0.6560170767786242
1,abalone,0,64,7,best_individual_oracle,0.5931243741132101
2,abalone,0,96,7,uniform,0.5609541486090156
2,abalone,0,96,7,fixed,0.5703899455065891
2,abalone,0,96,7,competence,0.5760175905204443
2,abalone,0,96,7,hard_cv,0.5964693952484932
2,abalone,0,96,7,best_individual_oracle,0.5520854449725844
3,abalone,0,192,7,uniform,0.537293868281119
3,abalone,0,192,7,fixed,0.551367842241961
3,abalone,0,192,7,competence,0.5320023624863025
3,abalone,0,192,7,hard_cv,0.5462644162597377
3,abalone,0,192,7,best_individual_oracle,0.5080274508265346
4,abalone,1,32,7,uniform,0.7781513283371292
4,abalone,1,32,7,fixed,0.8191611609902978
4,abalone,1,32,7,competence,0.7051779576989037
4,abalone,1,32,7,hard_cv,0.6211318881277493
4,abalone,1,32,7,best_individual_oracle,0.6211318881277493
5,abalone,1,64,7,uniform,0.6057172387061553
5,abalone,1,64,7,fixed,0.6207858187962737
5,abalone,1,64,7,competence,0.5632791849386737
5,abalone,1,64,7,hard_cv,0.5563691713758634
5,abalone,1,64,7,best_individual_oracle,0.5563691713758634
6,abalone,1,96,7,uniform,0.5440034932213327
6,abalone,1,96,7,fixed,0.5626327948299005
6,abalone,1,96,7,competence,0.5186022281160964
6,abalone,1,96,7,hard_cv,0.533030656979215
6,abalone,1,96,7,best_individual_oracle,0.533030656979215
7,abalone,1,192,7,uniform,0.5531304740871379
7,abalone,1,192,7,fixed,0.5726477435357196
7,abalone,1,192,7,competence,0.5106939850304978
7,abalone,1,192,7,hard_cv,0.5240611757537287
7,abalone,1,192,7,best_individual_oracle,0.5208978890202048
8,abalone,2,32,7,uniform,0.5006743674554951
8,abalone,2,32,7,fixed,0.521634257607184
8,abalone,2,32,7,competence,0.5137971361707941
8,abalone,2,32,7,hard_cv,0.5702766014347932
8,abalone,2,32,7,best_individual_oracle,0.5702766014347932
9,abalone,2,64,7,uniform,0.4965118849150499
9,abalone,2,64,7,fixed,0.5124807748142371
9,abalone,2,64,7,competence,0.5116636338183126
9,abalone,2,64,7,hard_cv,0.5513230373387961
9,abalone,2,64,7,best_individual_oracle,0.5164138224747337
10,abalone,2,96,7,uniform,0.4737591548706808
10,abalone,2,96,7,fixed,0.47913288213071176
10,abalone,2,96,7,competence,0.4865075398490822
10,abalone,2,96,7,hard_cv,0.5610952964530558
10,abalone,2,96,7,best_individual_oracle,0.48752726111663874
11,abalone,2,192,7,uniform,0.4714944705927305
11,abalone,2,192,7,fixed,0.4792400299080051
11,abalone,2,192,7,competence,0.46628844153500976
11,abalone,2,192,7,hard_cv,0.4573078378547913
11,abalone,2,192,7,best_individual_oracle,0.4573078378547913
12,abalone,3,32,7,uniform,0.6944987812960893
12,abalone,3,32,7,fixed,0.7080309289271316
12,abalone,3,32,7,competence,0.82283262862523
12,abalone,3,32,7,hard_cv,1.0674645031939083
12,abalone,3,32,7,best_individual_oracle,0.624924179902129
13,abalone,3,64,7,uniform,0.6738430384834629
13,abalone,3,64,7,fixed,0.66678102291174
13,abalone,3,64,7,competence,0.6350827103440854
13,abalone,3,64,7,hard_cv,0.6112756563133414
13,abalone,3,64,7,best_individual_oracle,0.6112756563133414
14,abalone,3,96,7,uniform,0.616168227734549
14,abalone,3,96,7,fixed,0.6215432432885724
14,abalone,3,96,7,competence,0.565900292211
14,abalone,3,96,7,hard_cv,0.5833837334506112
14,abalone,3,96,7,best_individual_oracle,0.5706240420102594
15,abalone,3,192,7,uniform,0.5637576903040147
15,abalone,3,192,7,fixed,0.5682648995321288
15,abalone,3,192,7,competence,0.5462343012497238
15,abalone,3,192,7,hard_cv,0.5307546974044388
15,abalone,3,192,7,best_individual_oracle,0.5307546974044388
16,abalone,4,32,7,uniform,0.9420048095148429
16,abalone,4,32,7,fixed,0.9999428447519847
16,abalone,4,32,7,competence,0.8967648972013098
16,abalone,4,32,7,hard_cv,0.9032795611116161
16,abalone,4,32,7,best_individual_oracle,0.7462779371943693
17,abalone,4,64,7,uniform,0.6362183813345524
17,abalone,4,64,7,fixed,0.6450773442386929
17,abalone,4,64,7,competence,0.6270809158456746
17,abalone,4,64,7,hard_cv,0.6336707512764169
17,abalone,4,64,7,best_individual_oracle,0.6160605979638255
18,abalone,4,96,7,uniform,0.5619994087852772
18,abalone,4,96,7,fixed,0.5724157791951544
18,abalone,4,96,7,competence,0.5466719495778379
18,abalone,4,96,7,hard_cv,0.5510915123448816
18,abalone,4,96,7,best_individual_oracle,0.5510915123448816
19,abalone,4,192,7,uniform,0.5405350040021165
19,abalone,4,192,7,fixed,0.5476013467435942
19,abalone,4,192,7,competence,0.5194842282236004
19,abalone,4,192,7,hard_cv,0.5219917052133257
19,abalone,4,192,7,best_individual_oracle,0.5219917052133257
20,abalone,5,32,7,uniform,1.1289019600489232
20,abalone,5,32,7,fixed,1.1710299056671614
20,abalone,5,32,7,competence,1.1425696010566513
20,abalone,5,32,7,hard_cv,1.0049047848697554
20,abalone,5,32,7,best_individual_oracle,1.0049047848697554
21,abalone,5,64,7,uniform,0.8591764796734463
21,abalone,5,64,7,fixed,0.8718770075815243
21,abalone,5,64,7,competence,0.8395449723688223
21,abalone,5,64,7,hard_cv,0.8727835349260813
21,abalone,5,64,7,best_individual_oracle,0.7720916362916199
22,abalone,5,96,7,uniform,0.7795166832876447
22,abalone,5,96,7,fixed,0.7904182097723972
22,abalone,5,96,7,competence,0.7657457818202896
22,abalone,5,96,7,hard_cv,0.8626034703650033
22,abalone,5,96,7,best_individual_oracle,0.682492140642791
23,abalone,5,192,7,uniform,0.7803073709114191
23,abalone,5,192,7,fixed,0.8232742265674658
23,abalone,5,192,7,competence,0.7422953012574819
23,abalone,5,192,7,hard_cv,0.7028194509447601
23,abalone,5,192,7,best_individual_oracle,0.7028194509447601
24,abalone,6,32,7,uniform,0.6926207781688879
24,abalone,6,32,7,fixed,0.7003999651807078
24,abalone,6,32,7,competence,0.7008261791569576
24,abalone,6,32,7,hard_cv,0.828135241340493
24,abalone,6,32,7,best_individual_oracle,0.6478976436638771
25,abalone,6,64,7,uniform,0.6512593935990797
25,abalone,6,64,7,fixed,0.6681227853866124
25,abalone,6,64,7,competence,0.6278412338375987
25,abalone,6,64,7,hard_cv,0.6145914239591659
25,abalone,6,64,7,best_individual_oracle,0.5988048148956108
26,abalone,6,96,7,uniform,0.6377851192726501
26,abalone,6,96,7,fixed,0.639229371279095
26,abalone,6,96,7,competence,0.6228554025477429
