run,task_type,context_size,rho,effective_rho,tasks,mechanism_accuracy,mechanism_accuracy_ci_low,mechanism_accuracy_ci_high,mechanism_log_loss,stable_mechanism_accuracy,combined_mechanism_accuracy,empirical_mi_c_w_nats,raw_mean_loss,rank_mean_loss,rank_minus_raw_loss,rank_minus_raw_ci_low,rank_minus_raw_ci_high,uniform_expert_loss,stable_expert_loss,combined_expert_loss,oracle_expert_loss,marginal_query_utility,marginal_query_utility_ci_low,marginal_query_utility_ci_high,population_mi_c_w_nats,finite_schedule_mi_residual,relative_shape_risk_reduction
development,classification,64,0.0,0.0,420,0.1452380952380952,0.1119047619047619,0.1785714285714285,1.855744055838448,0.369047619047619,0.3738095238095238,0.0008244441985268,0.6702930676142419,0.6588519810919488,-0.0114410865222932,-0.0145443021445189,-0.0083900588576768,0.6259645080195986,0.6244550856523147,0.6238138040055557,0.6337384887095379,0.0006412816467587,-3.153220360655411e-05,0.0013198506979453,0.0,0.0008244441985268,0.0010269459909815742
development,classification,64,0.1,0.1,420,0.1809523809523809,0.1452380952380952,0.219047619047619,1.8339985864362744,0.4,0.3952380952380952,0.0269490905146458,0.6668107374307085,0.6548379292575391,-0.0119728081731693,-0.0150086632107894,-0.00901099791046,0.6281302614285994,0.6259989307335827,0.6257415964320568,0.6364340783861261,0.0002573343015257,-0.0004360052961484,0.0009492759524506,0.022345890283671288,0.004603200230974512,0.00041107786114608915
development,classification,64,0.25,0.2571428571428571,420,0.3333333333333333,0.288095238095238,0.3785714285714285,1.7360402149520984,0.3714285714285714,0.4428571428571428,0.1373174219940127,0.6661935828224197,0.6563906489863939,-0.0098029338360258,-0.0126841245843917,-0.0068716527895473,0.6280209076701484,0.626701321959083,0.6247052564973532,0.6390737955183822,0.0019960654617298,0.0009312751540205,0.0030965630769397,0.13091232287583962,0.00640509911817308,0.003185034707586147
development,classification,64,0.5,0.5,420,0.530952380952381,0.4833333333333333,0.5785714285714286,1.513472646308864,0.4,0.5952380952380952,0.447633820871845,0.6722003313008805,0.6632114451308259,-0.0089888861700546,-0.0117606157521838,-0.0061455811177806,0.630917466515801,0.6294756364604033,0.6264160659156006,0.641049253781519,0.0030595705448027,0.0010599461919738,0.0050384632588778,0.44196707305565425,0.005666747816190754,0.0048605066941223235
development,classification,64,0.75,0.7428571428571429,420,0.7214285714285714,0.6785714285714286,0.7642857142857142,1.1312239223285037,0.4285714285714285,0.7666666666666667,0.9273000774330894,0.6693454830740713,0.6575589696547275,-0.0117865134193435,-0.014689984750602,-0.0088888453554471,0.627286762139602,0.6244892978522438,0.6185759103942776,0.6345210128392285,0.005913387457966,0.0031620221307095,0.0085787008846067,0.9273000774330895,-1.1102230246251565e-16,0.009469157403182795
development,classification,64,0.9,0.9,420,0.830952380952381,0.7952380952380952,0.8666666666666667,0.7610602587439222,0.4238095238095238,0.8738095238095238,1.4194809777960735,0.6749410787367898,0.6619180992231397,-0.01302297951365,-0.0162422649770116,-0.0099381154933424,0.6281365242657441,0.6265296158216171,0.6170457542094715,0.6323666145451754,0.0094838616121456,0.006711212125981,0.0123156084883454,1.3708036601357194,0.0486773176603541,0.015137132184419842
development,classification,64,1.0,1.0,420,0.9023809523809524,0.8738095238095238,0.930952380952381,0.539633280030392,0.45,0.9523809523809524,1.7917594692280547,0.6718434046447798,0.6615781769754054,-0.0102652276693743,-0.0129516837386892,-0.0076366791501918,0.6275155192144688,0.6244433044437627,0.6171164689851286,0.6367683623056735,0.0073268354586339,0.0043197024813159,0.0103422258891431,1.791759469228055,-2.220446049250313e-16,0.011733387813582928
development,regression,64,0.0,0.0,420,0.1214285714285714,0.0904761904761904,0.1547619047619047,1.8601760607348716,0.6071428571428571,0.5952380952380952,0.0008244441985268,0.6726584061938531,0.6295563358150321,-0.0431020703788209,-0.0513870122675879,-0.0349862268741267,0.4586736299210005,0.425251288024255,0.4304522939276615,0.2446843578333268,-0.0052010059034064,-0.0133853883060216,0.0030624009111027,0.0,0.0008244441985268,-0.012230429512796093
development,regression,64,0.1,0.1,420,0.1833333333333333,0.1476190476190476,0.2214285714285714,1.86150987938564,0.5904761904761905,0.5952380952380952,0.0269490905146458,0.6827178483891168,0.6420315326516506,-0.040686315737466,-0.0493936896175747,-0.0323626580865262,0.4761250879272197,0.4541567998035027,0.4550774688604942,0.2609763043327358,-0.0009206690569914,-0.0106091474270561,0.0091791189830541,0.022345890283671288,0.004603200230974512,-0.002027205267849651
development,regression,64,0.25,0.2571428571428571,420,0.2571428571428571,0.2166666666666666,0.3,1.794211923967521,0.6071428571428571,0.6238095238095238,0.1373174219940127,0.6837335169889945,0.6390270547743171,-0.0447064622146774,-0.0534616108142309,-0.036186056796688,0.4656158367786183,0.4413448358593663,0.4293280411459285,0.2413279390693807,0.0120167947134378,-0.0018898475433762,0.0260535436752642,0.13091232287583962,0.00640509911817308,0.02722767717455955
