model,dataset,problem_type,cells,identity_noise_mean,excess_disagreement_mean,excess_disagreement_ci_low,excess_disagreement_ci_high,matched_loss_gap_mean,matched_loss_gap_ci_low,matched_loss_gap_ci_high,argmax_flip_rate_mean,matched_js_mean,wall_clock_seconds
mitra_default,churn,binary,9,0.00147845840541695,0.0019169009996530897,0.0008620910854113131,0.003140301203438646,0.0005982871445195012,-5.990573077561668e-05,0.0013672882922127097,0.0026041666666666665,6.136435136284627e-05,254.91740760020912
mitra_default,wine_quality,regression,9,0.021576150131443407,-0.00018946391053252076,-0.015491074562233607,0.01405114884218645,0.0038133020203799553,-0.0002827375029077119,0.008711541597173288,,,260.6517332911026
tabicl_v2_default,churn,binary,9,0.0,0.01862427292476861,0.009171326141109777,0.026670371714800387,0.012679320124570428,0.0061347332973000985,0.0191927428010744,0.018229166666666668,0.002082201551046039,8.434776758309454
tabicl_v2_default,wine_quality,regression,9,0.0,0.0376475141667813,0.019394545952842707,0.05396752038184102,-0.002717794864830069,-0.0067538727221189135,0.0006718916085721953,,,8.928385277511552
tabicl_v2_single,churn,binary,9,0.0,0.0187406274618125,0.009553114660082677,0.026844951306889478,-0.00035615474539698537,-0.0039846275326625435,0.0023515331034342037,0.024739583333333332,0.0018698882014416963,7.163571805693209
tabicl_v2_single,wine_quality,regression,9,0.0,0.04354739073702796,0.022910515836379125,0.059134285968924644,-0.004066556801279565,-0.0069523107334675685,-0.0013229554696977104,,,7.231651113368571
