task_type,test_episodes,fixed_minus_gate_mean,fixed_minus_gate_ci_low,fixed_minus_gate_ci_high,fixed_minus_oracle_mean,fixed_minus_oracle_ci_low,fixed_minus_oracle_ci_high,rank_minus_gate_mean,rank_minus_gate_ci_low,rank_minus_gate_ci_high,oracle_headroom_fraction_captured,fraction_gate_beats_fixed,fixed_alpha,gate_alpha_mean,oracle_alpha_mean
classification,2940,1.1759038930246874e-05,-3.4738495384787606e-05,5.7937715058471566e-05,0.004436146885176485,0.004243059893360125,0.004634403222507166,0.008181174415192716,0.007260187616266257,0.00914340287683457,0.002650732546647643,0.4894557823129252,0.34,0.38802891668355743,0.38224829931972787
regression,2940,0.001436203757783195,0.001218300819266784,0.0016590888932613696,0.008469113663320864,0.007930084844005742,0.0090073817910816,0.001608831168278949,0.0013154868573517632,0.0019093217029650638,0.16958135347778983,0.5860544217687075,0.07,0.17774042644242766,0.2853299319727891
