order,iteration,source_tag,task_type,test_episodes,fixed_minus_gate_mean,fixed_minus_gate_ci_low,fixed_minus_gate_ci_high,fixed_minus_oracle_mean,fixed_minus_oracle_ci_low,fixed_minus_oracle_ci_high,rank_minus_gate_mean,rank_minus_gate_ci_low,rank_minus_gate_ci_high,oracle_headroom_fraction_captured,fraction_gate_beats_fixed,fixed_alpha,gate_alpha_mean,oracle_alpha_mean
0,Initial,v1,classification,2940,3.0832718426360414e-05,1.1551115178607696e-05,5.040182931467581e-05,0.0046204525119298,0.0044210625469767,0.0048278087405649,0.0089368907582439,0.0079840631206157,0.0099418131455173,0.0066730949721377,0.5037414965986394,0.31,0.3323095305660966,0.3829489795918367
0,Initial,v1,regression,2940,0.0002220991935724,0.0001228686067614,0.0003236654372182,0.0084444911705657,0.0079081692417712,0.0089960179902605,0.0004021546577433,0.0002131640523715,0.0005929766822006,0.0263010747582568,0.530952380952381,0.05,0.1089885721727183,0.2870442176870748
1,More train,more_train_v1,classification,2940,9.241269588273953e-06,-2.7912051676473688e-05,4.552358815374177e-05,0.0046293930391443,0.0044296724389544,0.0048295220171426,0.0087325279339827,0.0077799531592594,0.0097483626715171,0.0019962162447935,0.4965986394557823,0.34,0.3784418726705669,0.3833775510204082
1,More train,more_train_v1,regression,2940,0.0002440906204619,5.740898013162062e-05,0.0004328933808791,0.0091280837916479,0.0085263256190623,0.0097597196928324,0.0004676045320918,0.0001508430227726,0.0007885316244455,0.0267406200505356,0.5040816326530613,0.07,0.1775873773908328,0.2940578231292517
2,Featurewise,featurewise_v1,classification,2940,3.690944549489929e-05,-6.500157758231478e-06,8.103748501563928e-05,0.0044979214237054,0.0043013853640061,0.0046969872805182,0.0084161668090335,0.0074879763185323,0.0093740351969354,0.0082058893471049,0.5071428571428571,0.35,0.3920169442695243,0.3898231292517006
2,Featurewise,featurewise_v1,regression,2940,0.0003581813209444,0.0001688050314664,0.0005469545767683,0.0087485524494166,0.0081733009689193,0.0093487045975626,0.0005134392242202,0.0002152741662941,0.0008066541538725,0.0409417812850051,0.4965986394557823,0.06,0.1745296694552545,0.2883707482993197
3,Auxiliary,auxiliary_v1,classification,2940,2.8199062564215363e-05,-2.284823166602824e-05,7.799165179221421e-05,0.0044181074708047,0.0042274347258948,0.0046171123403173,0.0083643946314417,0.0074455390251592,0.0093538457880194,0.0063826112765606,0.4976190476190476,0.34,0.3915732083669252,0.3883333333333332
3,Auxiliary,auxiliary_v1,regression,2940,0.000563286060649,0.0003825153062152,0.0007519299999688,0.0091203880459235,0.0085471041767627,0.0097175528360403,0.0008207199070507,0.0004917513835597,0.0011506469990923,0.0617611945690015,0.5081632653061224,0.08,0.188773695341191,0.2989557823129252
4,Calibrated,calibrated_v1,classification,2940,1.1759038930246874e-05,-3.4738495384787606e-05,5.7937715058471566e-05,0.0044361468851764,0.0042430598933601,0.0046344032225071,0.0081811744151927,0.0072601876162662,0.0091434028768345,0.0026507325466476,0.4894557823129252,0.34,0.3880289166835574,0.3822482993197278
4,Calibrated,calibrated_v1,regression,2940,0.0014362037577831,0.0012183008192667,0.0016590888932613,0.0084691136633208,0.0079300848440057,0.0090073817910816,0.0016088311682789,0.0013154868573517,0.001909321702965,0.1695813534777898,0.5860544217687075,0.07,0.1777404264424276,0.2853299319727891
