scope,task_type,comparison,gain,ci_low,ci_high
all_cells,classification,competence_vs_fixed,0.005464506360160775,0.004796609234796759,0.006129156374900041
all_cells,classification,competence_vs_uniform,0.009121898459981157,0.00844731656241028,0.009780805306543336
all_cells,classification,competence_vs_shape_family,0.008479237856983481,0.00765622483445297,0.009301395876479466
all_cells,classification,fixed_to_best_individual_headroom,0.018519536015055477,0.017794908331850694,0.019243954210339913
d12_rho_ge_075,classification,competence_vs_fixed,0.004811113954195768,0.0033644642424649263,0.006253125725129512
all_cells,regression,competence_vs_fixed,0.25418470096412715,0.24651569574470925,0.2623126183248716
all_cells,regression,competence_vs_uniform,0.26100772087008767,0.2528587555449055,0.2696538050256183
all_cells,regression,competence_vs_shape_family,0.19271784109120077,0.18572780643586062,0.19995587096024647
all_cells,regression,fixed_to_best_individual_headroom,0.25504621584510206,0.24724102481179444,0.2632566748539247
d12_rho_ge_075,regression,competence_vs_fixed,0.2738771178808045,0.25746055163793863,0.2906320627112986
