episode_index,dataset,task_type,repeat,feature_count,method,loss
0,breast-w,classification,0,9,uniform,0.17324046591714803
0,breast-w,classification,0,9,fixed,0.1731185889645669
0,breast-w,classification,0,9,competence,0.1702435021912303
0,breast-w,classification,0,9,hard_cv,0.17037126991467655
0,breast-w,classification,0,9,best_individual_oracle,0.16344099473959173
1,breast-w,classification,1,9,uniform,0.19470979006555464
1,breast-w,classification,1,9,fixed,0.19218711315606377
1,breast-w,classification,1,9,competence,0.18439002739589005
1,breast-w,classification,1,9,hard_cv,0.17243747570850435
1,breast-w,classification,1,9,best_individual_oracle,0.17243747570850435
2,breast-w,classification,2,9,uniform,0.1784523183237302
2,breast-w,classification,2,9,fixed,0.18165732204711404
2,breast-w,classification,2,9,competence,0.1713158659328877
2,breast-w,classification,2,9,hard_cv,0.17670435719554206
2,breast-w,classification,2,9,best_individual_oracle,0.16591143275194023
3,breast-w,classification,3,9,uniform,0.16362983288599225
3,breast-w,classification,3,9,fixed,0.16704295566991167
3,breast-w,classification,3,9,competence,0.16187642309874914
3,breast-w,classification,3,9,hard_cv,0.1485155835808029
3,breast-w,classification,3,9,best_individual_oracle,0.1485155835808029
4,breast-w,classification,4,9,uniform,0.1666626195279946
4,breast-w,classification,4,9,fixed,0.16910137865856964
4,breast-w,classification,4,9,competence,0.164154118981294
4,breast-w,classification,4,9,hard_cv,0.16403107718762622
4,breast-w,classification,4,9,best_individual_oracle,0.1544382349346521
5,breast-w,classification,5,9,uniform,0.1809764132879978
5,breast-w,classification,5,9,fixed,0.1828833546624432
5,breast-w,classification,5,9,competence,0.17473105730274427
5,breast-w,classification,5,9,hard_cv,0.1719163942704005
5,breast-w,classification,5,9,best_individual_oracle,0.16143518258345946
6,breast-w,classification,6,9,uniform,0.16943010784149884
6,breast-w,classification,6,9,fixed,0.17350262401748268
6,breast-w,classification,6,9,competence,0.16204602355281367
6,breast-w,classification,6,9,hard_cv,0.1653962567210858
6,breast-w,classification,6,9,best_individual_oracle,0.15034628670628414
7,breast-w,classification,7,9,uniform,0.1694665410439279
7,breast-w,classification,7,9,fixed,0.17017765030251036
7,breast-w,classification,7,9,competence,0.16611104882777478
7,breast-w,classification,7,9,hard_cv,0.14924008833328795
7,breast-w,classification,7,9,best_individual_oracle,0.14924008833328795
8,breast-w,classification,8,9,uniform,0.14964352812336118
8,breast-w,classification,8,9,fixed,0.15172399341400467
8,breast-w,classification,8,9,competence,0.1464285638434592
8,breast-w,classification,8,9,hard_cv,0.13924131971227302
8,breast-w,classification,8,9,best_individual_oracle,0.13924131971227302
9,breast-w,classification,9,9,uniform,0.17464987844402916
9,breast-w,classification,9,9,fixed,0.17258597290063377
9,breast-w,classification,9,9,competence,0.1662689677257994
9,breast-w,classification,9,9,hard_cv,0.15522714994801573
9,breast-w,classification,9,9,best_individual_oracle,0.15522714994801573
10,breast-w,classification,10,9,uniform,0.14616596389816777
10,breast-w,classification,10,9,fixed,0.14933191235197185
10,breast-w,classification,10,9,competence,0.1438403306626845
10,breast-w,classification,10,9,hard_cv,0.14433910566751512
10,breast-w,classification,10,9,best_individual_oracle,0.1351903803232004
11,breast-w,classification,11,9,uniform,0.14816396001050336
11,breast-w,classification,11,9,fixed,0.14899981600166745
11,breast-w,classification,11,9,competence,0.1445336968915103
11,breast-w,classification,11,9,hard_cv,0.13870211888645906
11,breast-w,classification,11,9,best_individual_oracle,0.13870211888645906
12,breast-w,classification,12,9,uniform,0.15973875865118053
12,breast-w,classification,12,9,fixed,0.1592996037521531
12,breast-w,classification,12,9,competence,0.15117581797614868
12,breast-w,classification,12,9,hard_cv,0.14286953667214947
12,breast-w,classification,12,9,best_individual_oracle,0.14286953667214947
13,breast-w,classification,13,9,uniform,0.14671256714248446
13,breast-w,classification,13,9,fixed,0.15169452282158122
13,breast-w,classification,13,9,competence,0.14328132755749542
13,breast-w,classification,13,9,hard_cv,0.11953254159017779
13,breast-w,classification,13,9,best_individual_oracle,0.11953254159017779
14,breast-w,classification,14,9,uniform,0.1631042760039074
14,breast-w,classification,14,9,fixed,0.16225573358821838
14,breast-w,classification,14,9,competence,0.15843033425441727
14,breast-w,classification,14,9,hard_cv,0.13845351484959695
14,breast-w,classification,14,9,best_individual_oracle,0.13845351484959695
15,breast-w,classification,15,9,uniform,0.13426364872804925
15,breast-w,classification,15,9,fixed,0.1383799409278911
