dataset,context_size,method,mean_loss,episodes
abalone,32,best_individual_oracle,0.6152926422912592,30
abalone,32,competence,0.6608581891680851,30
abalone,32,fixed,0.7084187499701677,30
abalone,32,hard_cv,0.7251852107147303,30
abalone,32,uniform,0.6791629920804007,30
abalone,64,best_individual_oracle,0.5550668821861657,30
abalone,64,competence,0.5740028709397976,30
abalone,64,fixed,0.6167326693932064,30
abalone,64,hard_cv,0.5951084653147453,30
abalone,64,uniform,0.5962304440514236,30
abalone,96,best_individual_oracle,0.534514154103517,30
abalone,96,competence,0.5537331116198978,30
abalone,96,fixed,0.5727940396963976,30
abalone,96,hard_cv,0.5824482664305374,30
abalone,96,uniform,0.558512827492253,30
abalone,192,best_individual_oracle,0.49607985985122227,30
abalone,192,competence,0.5097859702734391,30
abalone,192,fixed,0.5349303330786322,30
abalone,192,hard_cv,0.525522688055693,30
abalone,192,uniform,0.5222540310428261,30
auction_verification,32,best_individual_oracle,0.8989159576504804,30
auction_verification,32,competence,0.9346280186525449,30
auction_verification,32,fixed,0.9561398648668189,30
auction_verification,32,hard_cv,0.9802223800189431,30
auction_verification,32,uniform,0.9366308517114426,30
auction_verification,64,best_individual_oracle,0.8452758583664955,30
auction_verification,64,competence,0.8770246496177656,30
auction_verification,64,fixed,0.8737886765194243,30
auction_verification,64,hard_cv,0.9300392013219942,30
auction_verification,64,uniform,0.8659929448893203,30
auction_verification,96,best_individual_oracle,0.8246224262058149,30
auction_verification,96,competence,0.8474499211020758,30
auction_verification,96,fixed,0.8434685591128573,30
auction_verification,96,hard_cv,0.8854405148358335,30
auction_verification,96,uniform,0.8419855398020498,30
auction_verification,192,best_individual_oracle,0.7863373553011666,30
auction_verification,192,competence,0.8132693614510559,30
auction_verification,192,fixed,0.8060616409604884,30
auction_verification,192,hard_cv,0.8527764794094317,30
auction_verification,192,uniform,0.8074671748140401,30
geographical_origin_of_music,32,best_individual_oracle,0.9786455719361954,30
geographical_origin_of_music,32,competence,1.0766302558087364,30
geographical_origin_of_music,32,fixed,1.4005677077485115,30
geographical_origin_of_music,32,hard_cv,1.1052606353185366,30
geographical_origin_of_music,32,uniform,1.3015990078979427,30
geographical_origin_of_music,64,best_individual_oracle,0.9326304764244294,30
geographical_origin_of_music,64,competence,0.9556491560014229,30
geographical_origin_of_music,64,fixed,1.295229046218932,30
geographical_origin_of_music,64,hard_cv,0.953590934773725,30
geographical_origin_of_music,64,uniform,1.2170705949448906,30
geographical_origin_of_music,96,best_individual_oracle,0.9041957314245681,30
geographical_origin_of_music,96,competence,0.9089554566874138,30
geographical_origin_of_music,96,fixed,1.2370875348397627,30
geographical_origin_of_music,96,hard_cv,0.9109863190400517,30
geographical_origin_of_music,96,uniform,1.1303097418624195,30
geographical_origin_of_music,192,best_individual_oracle,0.8405574686280965,30
geographical_origin_of_music,192,competence,0.8576434591598703,30
geographical_origin_of_music,192,fixed,1.1089790019427654,30
geographical_origin_of_music,192,hard_cv,0.8495223857684556,30
geographical_origin_of_music,192,uniform,0.9963810303432682,30
naval_propulsion_plant,32,best_individual_oracle,0.9037041204804783,30
naval_propulsion_plant,32,competence,0.9898701945624053,30
naval_propulsion_plant,32,fixed,1.0095700705705832,30
naval_propulsion_plant,32,hard_cv,1.035298496097613,30
naval_propulsion_plant,32,uniform,1.0012075180705562,30
naval_propulsion_plant,64,best_individual_oracle,0.6746598310334093,30
naval_propulsion_plant,64,competence,0.7651486904318536,30
naval_propulsion_plant,64,fixed,0.7686221698131613,30
naval_propulsion_plant,64,hard_cv,0.8196333699006589,30
naval_propulsion_plant,64,uniform,0.7544022257511346,30
naval_propulsion_plant,96,best_individual_oracle,0.49086019976515105,30
naval_propulsion_plant,96,competence,0.5677104871570945,30
naval_propulsion_plant,96,fixed,0.6464625521488918,30
naval_propulsion_plant,96,hard_cv,0.577540943066437,30
naval_propulsion_plant,96,uniform,0.6164484715523587,30
naval_propulsion_plant,192,best_individual_oracle,0.2715737800462214,30
naval_propulsion_plant,192,competence,0.2878091595726946,30
naval_propulsion_plant,192,fixed,0.5127776660398295,30
naval_propulsion_plant,192,hard_cv,0.27662745233822056,30
naval_propulsion_plant,192,uniform,0.4562278985932546,30
solar_flare,32,best_individual_oracle,2.0463009542870476,30
solar_flare,32,competence,2.074817439845668,30
solar_flare,32,fixed,2.0749763397670886,30
solar_flare,32,hard_cv,2.0828268152831817,30
solar_flare,32,uniform,2.073467922408281,30
solar_flare,64,best_individual_oracle,2.018702503908982,30
solar_flare,64,competence,2.0433661527736646,30
solar_flare,64,fixed,2.043964667962285,30
solar_flare,64,hard_cv,2.0462719220833883,30
solar_flare,64,uniform,2.042565660439073,30
solar_flare,96,best_individual_oracle,2.021540801477302,30
solar_flare,96,competence,2.0369999353297708,30
solar_flare,96,fixed,2.0374610518781884,30
solar_flare,96,hard_cv,2.0376931745530555,30
solar_flare,96,uniform,2.037017232504535,30
solar_flare,192,best_individual_oracle,2.016422576150831,30
solar_flare,192,competence,2.0265021083156305,30
solar_flare,192,fixed,2.026609792757953,30
solar_flare,192,hard_cv,2.0220891769585587,30
solar_flare,192,uniform,2.026579139071714,30
