run,task_type,rho,tasks,mechanism_selector_accuracy,shape_routing_gain,shape_routing_ci_low,shape_routing_ci_high,matched_family_gain,matched_family_ci_low,matched_family_ci_high
development,classification,0.0,420,0.3738095238095238,0.0006412816467587767,-1.7663107547982943e-05,0.0013105263204659186,-0.009283403057223312,-0.01452734730704661,-0.004145038138098403
development,classification,0.1,420,0.3952380952380952,0.0002573343015257679,-0.00042534927544365475,0.0009424252319662014,-0.010435147652543563,-0.015932769727601676,-0.00517262409778757
development,classification,0.25,420,0.44285714285714284,0.0019960654617298215,0.0009434130721971724,0.0031090478410785755,-0.012372473559299223,-0.017692658493146267,-0.007177360508828578
development,classification,0.5,420,0.5952380952380952,0.003059570544802785,0.0011115002732363293,0.005081519232819045,-0.011573617321115594,-0.017765996275511627,-0.005814094937243577
development,classification,0.75,420,0.7666666666666667,0.005913387457966088,0.003200242783965185,0.008597313619626274,-0.01003171498698454,-0.016040793367776147,-0.004135683428324603
development,classification,0.9,420,0.8738095238095238,0.009483861612145685,0.006686161431473435,0.012387829528462553,-0.005836998723558192,-0.010989387694653968,-0.0010655575575682454
development,classification,1.0,420,0.9523809523809523,0.0073268354586339445,0.004331261821665568,0.01027634611979863,-0.01232505786191079,-0.018165244437669616,-0.006510951771754232
development,regression,0.0,420,0.5952380952380952,-0.005201005903406408,-0.013336428166593518,0.00287656627846822,0.1805669301909283,0.1511128121335659,0.21207259853111096
development,regression,0.1,420,0.5952380952380952,-0.000920669056991495,-0.010836624966710931,0.00904995381602774,0.19318049547076696,0.16173797891574554,0.2252310398710751
development,regression,0.25,420,0.6238095238095238,0.012016794713437806,-0.0016812124746935812,0.025991351693756447,0.20001689678998558,0.17019579200020657,0.23071472220084774
development,regression,0.5,420,0.7119047619047619,0.06551500362066719,0.03962742733837371,0.09231282019938158,0.20252812125822453,0.17192447588460022,0.23493066140780228
development,regression,0.75,420,0.8166666666666667,0.1277267739176363,0.10091719855821686,0.15453177039076194,0.21686485890560908,0.18696062765131016,0.24736263308117507
development,regression,0.9,420,0.9142857142857143,0.16541723728366162,0.1348323100937684,0.19646080497088883,0.20623554911811504,0.17542409175177273,0.23782751332078642
development,regression,1.0,420,0.9738095238095238,0.2052339799346237,0.17594318098068185,0.2360329021358884,0.22030532707916956,0.1872708339367651,0.2547148532501046
independent_replication,classification,0.0,630,0.45555555555555555,0.001160816543439668,0.000689242533142479,0.0016563102351455604,-0.02706649616432819,-0.03130209588833561,-0.022812046011680978
independent_replication,classification,0.1,630,0.473015873015873,0.0010403358266930372,0.0004428681214593793,0.0016335437003697061,-0.025786687703885165,-0.02963346265352642,-0.02199389814686544
independent_replication,classification,0.25,630,0.5079365079365079,0.0020976412115976317,0.0009747145383074826,0.0032433809955629118,-0.025608347876420592,-0.029674334018281272,-0.02164254400407621
independent_replication,classification,0.5,630,0.6238095238095238,0.0017926866482850668,0.00014962998944703234,0.0035203199096990032,-0.025730403333571596,-0.029710341427405595,-0.02179442525370051
independent_replication,classification,0.75,630,0.8031746031746032,-0.0003545927700772662,-0.0027486794999452054,0.0019186960897834176,-0.023609162182893845,-0.027358836747366496,-0.02002923595284384
independent_replication,classification,0.9,630,0.9047619047619048,-0.0018867039739876954,-0.004306694461640263,0.0005470948143170413,-0.02449531732999917,-0.028575468858052535,-0.020540420720549492
independent_replication,classification,1.0,630,0.9920634920634921,-0.004022020948380086,-0.006530103045651246,-0.001519184723682932,-0.023009308713963304,-0.026740412760372586,-0.01933307149444121
independent_replication,regression,0.0,630,0.6079365079365079,-0.007383439346270055,-0.014214982904593257,-0.0006797798151321795,0.2015822568234616,0.1769723104628984,0.22693097866103742
independent_replication,regression,0.1,630,0.6587301587301587,0.006639210376741495,-0.0023674679133986022,0.015712594302975665,0.21562110437566123,0.1902820122382393,0.2421607607551559
independent_replication,regression,0.25,630,0.6873015873015873,0.015702470175781944,0.0003143715646715905,0.03082700268795481,0.21246862980090767,0.1875581893711194,0.23852827269108245
independent_replication,regression,0.5,630,0.7095238095238096,0.08427584130207885,0.06024269165812297,0.10873906457024266,0.2314662380487847,0.20455491067994372,0.2592843644462103
independent_replication,regression,0.75,630,0.8539682539682539,0.15752507363775725,0.12726889125527083,0.18748511163112883,0.23220233220942008,0.20600458086302637,0.25892174175849497
independent_replication,regression,0.9,630,0.9253968253968254,0.2146510915518388,0.18585744514066727,0.2445044949692397,0.2519716435781903,0.22455757832851936,0.28134130892951026
independent_replication,regression,1.0,630,0.9936507936507937,0.2433947134418842,0.21663699818381996,0.270439435700996,0.24505007342537952,0.21758860708513697,0.27350252724495117
