model,task_type,rho,episodes,clean_loss_mean,clean_loss_ci_low,clean_loss_ci_high,excess_disagreement_mean,excess_disagreement_ci_low,excess_disagreement_ci_high,matched_loss_gap_mean,matched_loss_gap_ci_low,matched_loss_gap_ci_high,identity_disagreement_mean
mitra_default,classification,0.0,6,0.5799548826743327,0.5366012847624769,0.6288131225598856,0.005096522735529163,0.002146835474434916,0.009182860168921215,6.917985210006898e-05,-0.0016140643052419874,0.0015291512090634025,0.0
mitra_default,classification,0.1,6,0.6592934000043364,0.6157819795241176,0.6974173780382757,0.00627922268364049,0.0029299969545680134,0.010049894694219805,-0.002749092598784586,-0.004960216872491041,-0.0005089796522526427,0.0
mitra_default,classification,0.25,6,0.7073928896262296,0.645799966731793,0.7556704602810896,0.0028918335438692442,0.001484068429430006,0.0048741108170741515,-0.0007214895278871795,-0.002885978843535993,0.0008410029285088975,0.0
mitra_default,classification,0.5,6,0.6597690194584332,0.603894039734091,0.7105336490409208,0.0046054082944246575,0.0013631283911555245,0.009690657275605943,-0.0021019852692174177,-0.006010029082726301,0.0005271918786106111,0.0
mitra_default,classification,0.75,6,0.6374311814274797,0.5960442450734421,0.700579441141454,0.01875772344420628,0.004834090505789823,0.034904384396888956,-0.0014517900693113428,-0.013895484326315525,0.010603594574493672,0.0
mitra_default,classification,0.9,6,0.6534393752880275,0.591175045378401,0.71596241149268,0.007796508559990085,0.0038286442516679616,0.012539694009811938,-0.0007393848940788761,-0.003307524846976215,0.0014203882175223281,0.0
mitra_default,classification,1.0,6,0.6299523215642527,0.5974112988195368,0.6628594332296318,0.007279007802926466,0.003997871496535695,0.01270533984238593,-0.0030372164475572228,-0.006180824833273683,-3.582945983608236e-06,0.0
mitra_default,regression,0.0,6,0.17822337411832054,0.03724132495141178,0.3393004184773167,0.012395565184582916,0.005263851712553517,0.021158300310342566,0.0012407517519025166,0.0004932354238555434,0.00210414600551845,0.0
mitra_default,regression,0.1,6,0.18094881513683272,0.023865667042378868,0.3851167932686102,0.007225492069104449,0.002892786449864917,0.012004041455366448,0.0010478418170153147,-0.0004198404083043423,0.003423121121882359,0.0
mitra_default,regression,0.25,6,0.21074223142719628,0.09562134366856102,0.3352861735466897,0.0123007613748266,0.006074947359866067,0.019435214027350798,-0.001996085637799398,-0.004779555557554538,0.0006512472004683882,0.0
mitra_default,regression,0.5,6,0.28130306159885593,0.1091084949857895,0.4838988348800983,0.01895392841380843,0.0055970420075057,0.041211815659024216,-0.005742387343242107,-0.017046102404471394,0.0010743365460257291,0.0
mitra_default,regression,0.75,6,0.28421142012022926,0.03285776027381451,0.5380894568738183,0.006835408939458933,0.0037154832109588336,0.010813326382645783,0.001375268818463887,-0.0006889736173342105,0.004698762433439053,0.0
mitra_default,regression,0.9,6,0.23337426928244678,0.09084105279137929,0.39857564204858004,0.0073152065294031674,0.004157254344948233,0.011117067807335667,-0.00195768382085201,-0.003030466609963228,-0.0008002785156009344,0.0
mitra_default,regression,1.0,6,0.36587008824879436,0.07143786367996183,0.6773974759426157,0.013724980466236098,0.00562690852750745,0.02270138438509323,-0.01007232895336796,-0.022249289276781437,-0.0012443712152447617,0.0
tabicl_v2_default,classification,0.0,6,0.5945871831815751,0.5641979195850574,0.6296004630887478,0.05694134135156322,0.048766725860761105,0.06471536678499683,0.03469945654807194,0.01735477779770626,0.055524199933333296,0.0
tabicl_v2_default,classification,0.1,6,0.6278110709243304,0.5801110107461033,0.6774940693905406,0.07145469592298452,0.05758444772923604,0.09029198253531884,0.01785211603914359,0.0006960854488647731,0.04113597172462363,0.0
tabicl_v2_default,classification,0.25,6,0.7036923154985552,0.6449264244594607,0.7596135257054644,0.07184777814898431,0.06148952568576621,0.0827087900541199,0.024440138948681762,-0.007450360869924751,0.05321498857950726,0.0
tabicl_v2_default,classification,0.5,6,0.6727653503182857,0.5885881524871853,0.7478787365516465,0.061978248718578856,0.045681215923481205,0.08027746853946381,0.01604088285242324,-0.014037235558067795,0.05155756406140927,0.0
tabicl_v2_default,classification,0.75,6,0.6409842261756119,0.5813842861791556,0.7112583416523379,0.08783710060487748,0.07911759816616419,0.09563325237260371,0.01686251244562988,-0.007048749431365871,0.043484227734077195,0.0
tabicl_v2_default,classification,0.9,6,0.6180496081326468,0.5616653532665568,0.6735731185895321,0.07683642832283982,0.0648008084929159,0.08946773706809741,0.009107711563690205,-0.007423570788017568,0.03341114629517363,0.0
tabicl_v2_default,classification,1.0,6,0.6184789520491359,0.5401455156208191,0.689396984731931,0.07009053014646109,0.052706147954610295,0.08946582800676346,0.0017180305809392504,-0.023572692868154266,0.027080858054200463,0.0
tabicl_v2_default,regression,0.0,6,0.24252485645835042,0.07371343127320823,0.44823422997089096,0.11960753348578744,0.08892650868062692,0.15001919184983611,0.0022453851720314927,-0.019522366815195962,0.021490120383086297,0.0
