model,task_type,rho,episode_seed,mechanism,warp,coupled,clean_loss,matched_loss,matched_loss_gap,matched_disagreement,identity_disagreement,excess_disagreement,matched_js,identity_js,matched_flip_rate,fit_seconds,predict_seconds
mitra_default,classification,0.0,93002,linear,identity,False,0.5608104663823335,0.5606377236832008,-0.00017274269913269968,0.00267010021337221,0.0,0.00267010021337221,2.085896946498415e-05,0.0,0.015625,32.989454600028694,0.43370527401566505
mitra_default,classification,0.0,93003,interaction,asinh,False,0.6830527350401351,0.6837773425462723,0.0007246075061372315,0.0031670834869146347,0.0,0.0031670834869146347,2.4741818929714662e-05,0.0,0.015625,31.20648870826699,0.7931662451010197
mitra_default,classification,0.0,93004,partition,pwl,False,0.5128851806586234,0.515817109040793,0.002931928382169602,0.0147109316259302,0.0,0.0147109316259302,0.0002890292322766501,0.0,0.0,33.34961530100554,0.42352660768665373
mitra_default,classification,0.0,93005,threshold,signed_power,False,0.6270227690467014,0.6267980729332678,-0.00022469611343356455,0.00222559360191476,0.0,0.00222559360191476,1.7386415522403943e-05,0.0,0.0,27.529882037080824,0.42723548971116543
mitra_default,classification,0.0,93006,additive,affine,False,0.5600708501083288,0.556400710477821,-0.003670139630507774,0.006513178931907168,0.0,0.006513178931907168,5.5078896197555223e-05,0.0,0.015625,30.911480359733105,0.4290416589938104
mitra_default,classification,0.0,93007,periodic,sinh,False,0.5358872948098741,0.536713416477242,0.0008261216673679517,0.0012922485531360055,0.0,0.0012922485531360055,1.0094911387395473e-05,0.0,0.0,31.433994566323236,0.41277085104957223
mitra_default,classification,0.1,103002,partition,pwl,False,0.6956231187988051,0.6936851929816633,-0.0019379258171418057,0.0009733918341013337,0.0,0.0009733918341013337,7.604302305756576e-06,0.0,0.0,30.38219687785022,0.42164784995839
mitra_default,classification,0.1,103003,additive,affine,False,0.6042855802202333,0.5978857629539855,-0.00639981726624772,0.013980135464684327,0.0,0.013980135464684327,0.00018157815200641297,0.0,0.015625,29.582878802670166,0.4297541659325361
mitra_default,classification,0.1,103004,threshold,signed_power,False,0.6622216497660391,0.6609735244904245,-0.0012481252756146866,0.0022349566153594545,0.0,0.0022349566153594545,1.7459722760068737e-05,0.0,0.0,31.779742403887212,0.4275525868870318
mitra_default,classification,0.1,103005,linear,identity,False,0.5808387085860808,0.5743827670704735,-0.006455941515607244,0.008062002577953198,0.0,0.008062002577953198,0.00010755988211190538,0.0,0.0,35.66709089628421,0.5926477264147252
mitra_default,classification,0.1,103006,periodic,sinh,False,0.7294495025266379,0.7311086146626364,0.0016591121359985639,0.00811703806539061,0.0,0.00811703806539061,6.341159016842065e-05,0.0,0.015625,31.262496639043093,0.4087467142380774
mitra_default,classification,0.1,103007,interaction,asinh,False,0.6833418401282226,0.6812299822741279,-0.002111857854094734,0.004307811544354013,0.0,0.004307811544354013,3.740676146391415e-05,0.0,0.0,29.678847895236686,0.47991521190851927
mitra_default,classification,0.25,113002,linear,identity,False,0.7633158908228952,0.7632730955412859,-4.2795281609331326e-05,0.0017395223010997453,0.0,0.0017395223010997453,1.3589011512998025e-05,0.0,0.0,28.91379054216668,0.5380015589762479
mitra_default,classification,0.25,113003,periodic,sinh,False,0.6669017267009953,0.6680581451943638,0.0011564184933684496,0.0014394931285809927,0.0,0.0014394931285809927,1.1245565967389333e-05,0.0,0.0,28.81242791400291,0.4561541739385575
mitra_default,classification,0.25,113004,interaction,asinh,False,0.6998210255805081,0.7001031205939733,0.00028209501346521115,0.0011231752723499036,0.0,0.0011231752723499036,8.774386437305726e-06,0.0,0.015625,27.229302593972534,0.44033207721076906
mitra_default,classification,0.25,113005,partition,pwl,False,0.5788757720114113,0.5802175844030786,0.0013418123916673075,0.007536339534455091,0.0,0.007536339534455091,7.161111691628698e-05,0.0,0.015625,28.82005298999138,0.49548253091052175
mitra_default,classification,0.25,113006,threshold,signed_power,False,0.77144973207502,0.7701574754843349,-0.0012922565906851036,0.001772308896453639,0.0,0.001772308896453639,1.7402778588447235e-05,0.0,0.0,32.264747695298865,0.4130675287451595
mitra_default,classification,0.25,113007,additive,affine,False,0.7639931905665474,0.7582189793730177,-0.00577421119352961,0.003740162130276095,0.0,0.003740162130276095,3.616401444111893e-05,0.0,0.0,31.477742187911645,0.8882832892704755
mitra_default,classification,0.5,123002,interaction,asinh,False,0.7116460826575368,0.7003107480313912,-0.011335334626145666,0.016556226124738435,0.0,0.016556226124738435,0.0001863955148685513,0.0,0.015625,29.981735450215638,0.5081354000139982
mitra_default,classification,0.5,123003,additive,affine,False,0.5487263334293945,0.5481087524183594,-0.0006175810110350399,0.0013631095352679755,0.0,0.0013631095352679755,1.0648681169342586e-05,0.0,0.0,26.976268457015976,0.4337919482495636
mitra_default,classification,0.5,123004,linear,identity,False,0.6892338033027593,0.6893333826757427,9.957937298343822e-05,0.0012378488271211855,0.0,0.0012378488271211855,9.670142703699213e-06,0.0,0.0,28.410936485044658,0.4685026400256902
mitra_default,classification,0.5,123005,periodic,sinh,False,0.708563000533078,0.7104557274202294,0.0018927268871514746,0.0050895641029483855,0.0,0.0050895641029483855,4.661863882565386e-05,0.0,0.015625,28.59707449004054,0.4640869670547545
mitra_default,classification,0.5,123006,partition,pwl,False,0.7210564625473065,0.7188158909333507,-0.002240571613955744,0.0009542619809508324,0.0,0.0009542619809508324,7.454862448606435e-06,0.0,0.0,31.94330372987315,0.4557813846040517
mitra_default,classification,0.5,123007,threshold,signed_power,False,0.5793884342805249,0.5789777036562216,-0.00041073062430330154,0.0024314391955211354,0.0,0.0024314391955211354,2.2792182103988662e-05,0.0,0.0,31.761348883155733,0.44960749219171703
mitra_default,classification,0.75,133002,partition,pwl,True,0.6442776565218205,0.6419511718473594,-0.00232648467446106,0.0032293700123251804,0.0,0.0032293700123251804,3.05306659978192e-05,0.0,0.015625,32.089143784949556,0.4877340109087527
mitra_default,classification,0.75,133003,threshold,signed_power,True,0.589650184573232,0.5625839211160626,-0.027066263457169448,0.0370540145228925,0.0,0.0370540145228925,0.0015756870104403245,0.0,0.078125,34.41328427800909,0.5008519859984517
mitra_default,classification,0.75,133004,additive,affine,True,0.5856449335726459,0.5863705018123471,0.0007255682397011576,0.00324340017662439,0.0,0.00324340017662439,2.5337731102590223e-05,0.0,0.0,32.571642961818725,0.4248950320761651
