task_type,context_size,feature_count,rho,method,mean_loss,episodes
classification,96,12,0.5,best_individual_oracle,0.6131781728267007,240
classification,96,12,0.5,competence,0.6228820778231126,240
classification,96,12,0.5,fixed,0.6277990820388514,240
classification,96,12,0.5,matched_family,0.6567927481282844,240
classification,96,12,0.5,shape_family,0.6333829695383858,240
classification,96,12,0.5,uniform,0.6326418674545582,240
classification,96,12,0.75,best_individual_oracle,0.6100731180250302,240
classification,96,12,0.75,competence,0.6202805792794817,240
classification,96,12,0.75,fixed,0.625785625025733,240
classification,96,12,0.75,matched_family,0.6580872407708437,240
classification,96,12,0.75,shape_family,0.6251843331223254,240
classification,96,12,0.75,uniform,0.6311918970990003,240
classification,96,12,1.0,best_individual_oracle,0.6125508676204567,240
classification,96,12,1.0,competence,0.6219398844935345,240
classification,96,12,1.0,fixed,0.6293731569074777,240
classification,96,12,1.0,matched_family,0.6508368592358591,240
classification,96,12,1.0,shape_family,0.6205463606525442,240
classification,96,12,1.0,uniform,0.6344266653058315,240
regression,64,8,0.0,best_individual_oracle,0.21553747688412364,240
regression,64,8,0.0,competence,0.22547689813731567,240
regression,64,8,0.0,fixed,0.45463781169363493,240
regression,64,8,0.0,matched_family,0.2659173941831031,240
regression,64,8,0.0,shape_family,0.5007094731663987,240
regression,64,8,0.0,uniform,0.46654572029171876,240
regression,64,8,0.25,best_individual_oracle,0.20908744329280887,240
regression,64,8,0.25,competence,0.22098071932315724,240
regression,64,8,0.25,fixed,0.455791377043127,240
regression,64,8,0.25,matched_family,0.26087128609402527,240
regression,64,8,0.25,shape_family,0.4570151912266238,240
regression,64,8,0.25,uniform,0.46382347476531655,240
regression,64,8,0.5,best_individual_oracle,0.20983183949324058,240
regression,64,8,0.5,competence,0.2145052515537315,240
regression,64,8,0.5,fixed,0.4632959898490403,240
regression,64,8,0.5,matched_family,0.2508295775371917,240
regression,64,8,0.5,shape_family,0.3953139542764301,240
regression,64,8,0.5,uniform,0.473972601493773,240
regression,64,8,0.75,best_individual_oracle,0.20565199969818387,240
regression,64,8,0.75,competence,0.20509723801402777,240
regression,64,8,0.75,fixed,0.45332212712988934,240
regression,64,8,0.75,matched_family,0.2406721353534698,240
regression,64,8,0.75,shape_family,0.3539719151076031,240
regression,64,8,0.75,uniform,0.46383074248255035,240
regression,64,8,1.0,best_individual_oracle,0.17578126389726856,240
regression,64,8,1.0,competence,0.17550670406468696,240
regression,64,8,1.0,fixed,0.4664752999791936,240
regression,64,8,1.0,matched_family,0.2112020041775843,240
regression,64,8,1.0,shape_family,0.2961315555348582,240
regression,64,8,1.0,uniform,0.47710196116598574,240
regression,64,12,0.0,best_individual_oracle,0.3112758677869984,240
regression,64,12,0.0,competence,0.3138642622100864,240
regression,64,12,0.0,fixed,0.5410967230744947,240
regression,64,12,0.0,matched_family,0.372884469545783,240
regression,64,12,0.0,shape_family,0.5829267640432003,240
regression,64,12,0.0,uniform,0.5362326512814557,240
regression,64,12,0.25,best_individual_oracle,0.3079931812893022,240
regression,64,12,0.25,competence,0.3163094431660276,240
regression,64,12,0.25,fixed,0.5599459849393971,240
regression,64,12,0.25,matched_family,0.3598789612760831,240
regression,64,12,0.25,shape_family,0.5568569517627878,240
regression,64,12,0.25,uniform,0.5545297634124434,240
regression,64,12,0.5,best_individual_oracle,0.30871279142639346,240
regression,64,12,0.5,competence,0.31035153589026887,240
regression,64,12,0.5,fixed,0.5564716239669578,240
regression,64,12,0.5,matched_family,0.3675986442129486,240
regression,64,12,0.5,shape_family,0.49156092090235937,240
regression,64,12,0.5,uniform,0.5492741338036253,240
regression,64,12,0.75,best_individual_oracle,0.2752794453159885,240
regression,64,12,0.75,competence,0.279447331339917,240
regression,64,12,0.75,fixed,0.5310022171345733,240
regression,64,12,0.75,matched_family,0.3179720631902845,240
regression,64,12,0.75,shape_family,0.41311448099651465,240
regression,64,12,0.75,uniform,0.5259725735447315,240
regression,64,12,1.0,best_individual_oracle,0.2907517443782814,240
regression,64,12,1.0,competence,0.2964072834113814,240
regression,64,12,1.0,fixed,0.5781760180972256,240
regression,64,12,1.0,matched_family,0.3347148015206233,240
regression,64,12,1.0,shape_family,0.39003062763326224,240
regression,64,12,1.0,uniform,0.5738271245310602,240
regression,96,8,0.0,best_individual_oracle,0.13942576702659634,240
regression,96,8,0.0,competence,0.13770320492615767,240
regression,96,8,0.0,fixed,0.36425367560508887,240
regression,96,8,0.0,matched_family,0.17425298971059716,240
regression,96,8,0.0,shape_family,0.4172086823481811,240
regression,96,8,0.0,uniform,0.3836213030393143,240
regression,96,8,0.25,best_individual_oracle,0.1416383641446761,240
regression,96,8,0.25,competence,0.1408150312306933,240
regression,96,8,0.25,fixed,0.388836178411765,240
regression,96,8,0.25,matched_family,0.17929796613175739,240
regression,96,8,0.25,shape_family,0.396089807007323,240
regression,96,8,0.25,uniform,0.41038924607970867,240
regression,96,8,0.5,best_individual_oracle,0.1278941464836829,240
regression,96,8,0.5,competence,0.13077971206053518,240
regression,96,8,0.5,fixed,0.37756780534267154,240
regression,96,8,0.5,matched_family,0.15897190881456075,240
regression,96,8,0.5,shape_family,0.33460515693709175,240
regression,96,8,0.5,uniform,0.3974755102865466,240
regression,96,8,0.75,best_individual_oracle,0.1406620974938821,240
regression,96,8,0.75,competence,0.13687556586807273,240
regression,96,8,0.75,fixed,0.3967216838167802,240
regression,96,8,0.75,matched_family,0.16624981807754521,240
regression,96,8,0.75,shape_family,0.28182627937147764,240
regression,96,8,0.75,uniform,0.41719594527411885,240
regression,96,8,1.0,best_individual_oracle,0.12496149975173859,240
regression,96,8,1.0,competence,0.12145518887185762,240
regression,96,8,1.0,fixed,0.373951551734379,240
regression,96,8,1.0,matched_family,0.14326420851497637,240
regression,96,8,1.0,shape_family,0.21342765209613715,240
regression,96,8,1.0,uniform,0.3949686546152659,240
regression,96,12,0.0,best_individual_oracle,0.20340086370316118,240
regression,96,12,0.0,competence,0.20078533132592064,240
regression,96,12,0.0,fixed,0.44411814808397726,240
regression,96,12,0.0,matched_family,0.24661055198567045,240
regression,96,12,0.0,shape_family,0.500137053932162,240
regression,96,12,0.0,uniform,0.4456924917387145,240
regression,96,12,0.25,best_individual_oracle,0.1947092266155335,240
regression,96,12,0.25,competence,0.1947398261975646,240
regression,96,12,0.25,fixed,0.4630094346880393,240
regression,96,12,0.25,matched_family,0.24395593536364166,240
regression,96,12,0.25,shape_family,0.45838316507753996,240
regression,96,12,0.25,uniform,0.4621990565279873,240
regression,96,12,0.5,best_individual_oracle,0.17400571247444457,240
regression,96,12,0.5,competence,0.16773491308733568,240
regression,96,12,0.5,fixed,0.4416709583283286,240
regression,96,12,0.5,matched_family,0.20223821121717758,240
regression,96,12,0.5,shape_family,0.3743801258787333,240
regression,96,12,0.5,uniform,0.44461527848189086,240
regression,96,12,0.75,best_individual_oracle,0.18190137773194595,240
regression,96,12,0.75,competence,0.172117894937637,240
regression,96,12,0.75,fixed,0.4556405691997511,240
regression,96,12,0.75,matched_family,0.21077554135052032,240
regression,96,12,0.75,shape_family,0.31546879007006123,240
regression,96,12,0.75,uniform,0.4591499001866934,240
regression,96,12,1.0,best_individual_oracle,0.18125844771995656,240
regression,96,12,1.0,competence,0.17603751861133035,240
regression,96,12,1.0,fixed,0.4546996953919338,240
regression,96,12,1.0,matched_family,0.20891479012733527,240
regression,96,12,1.0,shape_family,0.2621891286829751,240
regression,96,12,1.0,uniform,0.4567271386265574,240
