scope,task_type,unit,lambda,loss
real_panel,regression,Food_Delivery_Time,0.0,0.9293412774378386
real_panel,regression,Food_Delivery_Time,0.1,0.9223288531604178
real_panel,regression,Food_Delivery_Time,0.2,0.9159192991184524
real_panel,regression,Food_Delivery_Time,0.30000000000000004,0.9101126153119422
real_panel,regression,Food_Delivery_Time,0.4,0.9049088017408874
real_panel,regression,Food_Delivery_Time,0.5,0.9003078584052877
real_panel,regression,Food_Delivery_Time,0.6000000000000001,0.8963097853051435
real_panel,regression,Food_Delivery_Time,0.7000000000000001,0.8929145824404545
real_panel,regression,Food_Delivery_Time,0.8,0.890122249811221
real_panel,regression,Food_Delivery_Time,0.9,0.8879327874174427
real_panel,regression,Food_Delivery_Time,1.0,0.8863461952591196
real_panel,regression,abalone,0.0,0.5486725302243067
real_panel,regression,abalone,0.1,0.5440290244126035
real_panel,regression,abalone,0.2,0.5399795197298874
real_panel,regression,abalone,0.30000000000000004,0.5365240161761581
real_panel,regression,abalone,0.4,0.5336625137514158
real_panel,regression,abalone,0.5,0.5313950124556605
real_panel,regression,abalone,0.6000000000000001,0.5297215122888921
real_panel,regression,abalone,0.7000000000000001,0.5286420132511105
real_panel,regression,abalone,0.8,0.528156515342316
real_panel,regression,abalone,0.9,0.5282650185625084
real_panel,regression,abalone,1.0,0.5289675229116877
real_panel,regression,airfoil_self_noise,0.0,0.4545659460810394
real_panel,regression,airfoil_self_noise,0.1,0.4510307057398748
real_panel,regression,airfoil_self_noise,0.2,0.4478813839579002
real_panel,regression,airfoil_self_noise,0.30000000000000004,0.445117980735116
real_panel,regression,airfoil_self_noise,0.4,0.44274049607152194
real_panel,regression,airfoil_self_noise,0.5,0.440748929967118
real_panel,regression,airfoil_self_noise,0.6000000000000001,0.4391432824219043
real_panel,regression,airfoil_self_noise,0.7000000000000001,0.43792355343588085
real_panel,regression,airfoil_self_noise,0.8,0.43708974300904746
real_panel,regression,airfoil_self_noise,0.9,0.4366418511414044
real_panel,regression,airfoil_self_noise,1.0,0.43657987783295144
real_panel,regression,auction_verification,0.0,0.8581307976872031
real_panel,regression,auction_verification,0.1,0.8583302578259141
real_panel,regression,auction_verification,0.2,0.8586326993658048
real_panel,regression,auction_verification,0.30000000000000004,0.8590381223068752
real_panel,regression,auction_verification,0.4,0.859546526649125
real_panel,regression,auction_verification,0.5,0.8601579123925547
real_panel,regression,auction_verification,0.6000000000000001,0.8608722795371639
real_panel,regression,auction_verification,0.7000000000000001,0.8616896280829529
real_panel,regression,auction_verification,0.8,0.8626099580299215
real_panel,regression,auction_verification,0.9,0.8636332693780698
real_panel,regression,auction_verification,1.0,0.8647595621273977
real_panel,regression,black-friday,0.0,0.741963457258878
real_panel,regression,black-friday,0.1,0.7418049067772993
real_panel,regression,black-friday,0.2,0.742014703484038
real_panel,regression,black-friday,0.30000000000000004,0.7425928473790937
real_panel,regression,black-friday,0.4,0.7435393384624669
real_panel,regression,black-friday,0.5,0.7448541767341574
real_panel,regression,black-friday,0.6000000000000001,0.7465373621941651
real_panel,regression,black-friday,0.7000000000000001,0.7485888948424901
real_panel,regression,black-friday,0.8,0.7510087746791324
real_panel,regression,black-friday,0.9,0.753797001704092
real_panel,regression,black-friday,1.0,0.7569535759173689
real_panel,regression,california,0.0,0.3246253749690836
real_panel,regression,california,0.1,0.31963130439821097
real_panel,regression,california,0.2,0.3155457781063129
real_panel,regression,california,0.30000000000000004,0.3123687960933894
real_panel,regression,california,0.4,0.3101003583594405
real_panel,regression,california,0.5,0.3087404649044662
real_panel,regression,california,0.6000000000000001,0.30828911572846646
real_panel,regression,california,0.7000000000000001,0.30874631083144133
real_panel,regression,california,0.8,0.3101120502133908
real_panel,regression,california,0.9,0.3123863338743148
real_panel,regression,california,1.0,0.3155691618142134
real_panel,regression,concrete_compressive_strength,0.0,0.2453796907442653
real_panel,regression,concrete_compressive_strength,0.1,0.23890093875323432
real_panel,regression,concrete_compressive_strength,0.2,0.23326044050749872
real_panel,regression,concrete_compressive_strength,0.30000000000000004,0.2284581960070585
real_panel,regression,concrete_compressive_strength,0.4,0.22449420525191366
real_panel,regression,concrete_compressive_strength,0.5,0.22136846824206416
real_panel,regression,concrete_compressive_strength,0.6000000000000001,0.21908098497751008
real_panel,regression,concrete_compressive_strength,0.7000000000000001,0.21763175545825134
real_panel,regression,concrete_compressive_strength,0.8,0.21702077968428796
real_panel,regression,concrete_compressive_strength,0.9,0.21724805765562
real_panel,regression,concrete_compressive_strength,1.0,0.21831358937224735
real_panel,regression,diamond,0.0,0.15765354643212012
