seed,shift,severity,mae,rmse,prediction_variance
11,iid,0.0,0.19661632,0.24865382570947697,1.0633276
29,iid,0.0,0.19564696,0.24758242129410715,1.0784507
47,iid,0.0,0.20049033,0.25572656868406785,1.0175229
11,covariate,0.5,0.18754931,0.24753235597029896,1.2046999
29,covariate,0.5,0.18751992,0.24651650039566747,1.2213513
47,covariate,0.5,0.19516027,0.250559121984299,1.1500818
11,covariate,1.0,0.20129846,0.2576759005398613,1.3907934
29,covariate,1.0,0.20125294,0.25814182748509285,1.4220914
47,covariate,1.0,0.20113976,0.2598342374664988,1.3530942
11,covariate,1.5,0.19146809,0.23697215985150508,1.2852597
29,covariate,1.5,0.19395854,0.23997721049767748,1.3127934
47,covariate,1.5,0.1926976,0.2415091489723362,1.2257655
11,treatment,0.5,0.21273103,0.27501440389797827,1.1243446
29,treatment,0.5,0.21062143,0.2738410152171198,1.1358663
47,treatment,0.5,0.22046128,0.2875759848442747,1.0782112
11,treatment,1.0,0.2761747,0.3490948860628729,1.0128666
29,treatment,1.0,0.2759113,0.3459860080731619,1.0304804
47,treatment,1.0,0.29168874,0.3641788100408294,0.975357
11,treatment,1.5,0.3097085,0.3928253003009723,0.79855984
29,treatment,1.5,0.30445454,0.3831231355543961,0.8146728
47,treatment,1.5,0.31956947,0.40329210307412994,0.77535754
11,outcome_nonlinearity,0.5,0.18764246,0.23689990587071602,1.3152591
29,outcome_nonlinearity,0.5,0.18706124,0.2364295867777521,1.340823
47,outcome_nonlinearity,0.5,0.18901415,0.241214960659314,1.2817347
11,outcome_nonlinearity,1.0,0.15751657,0.19998799265639827,1.3375349
29,outcome_nonlinearity,1.0,0.15591836,0.19860497526232773,1.366656
47,outcome_nonlinearity,1.0,0.16241151,0.20464364302688057,1.2955003
11,outcome_nonlinearity,1.5,0.16976152,0.21774085617958694,1.0922103
29,outcome_nonlinearity,1.5,0.17156895,0.22258965851669085,1.1123018
47,outcome_nonlinearity,1.5,0.17255615,0.22269697820699255,1.0655307
11,heterogeneous_effect,0.5,0.2238265,0.2805538569032803,1.2601547
29,heterogeneous_effect,0.5,0.2210946,0.2768297536704852,1.287816
47,heterogeneous_effect,0.5,0.2242859,0.2820385633455599,1.2067345
11,heterogeneous_effect,1.0,0.32044223,0.40080282811306345,1.229531
29,heterogeneous_effect,1.0,0.31639203,0.3958425541690511,1.2577753
47,heterogeneous_effect,1.0,0.32350248,0.4030012480465611,1.1777194
11,heterogeneous_effect,1.5,0.4005245,0.49492265239073435,1.3271396
29,heterogeneous_effect,1.5,0.3926816,0.48470851737027953,1.3546684
47,heterogeneous_effect,1.5,0.3998309,0.4910193310387592,1.261658
11,hidden_confounding,0.5,0.21203455,0.2754310145418505,1.3080215
29,hidden_confounding,0.5,0.21096729,0.2745682768367037,1.3343325
47,hidden_confounding,0.5,0.21664914,0.28067547344247,1.2628956
11,hidden_confounding,1.0,0.25692648,0.3146047285943208,1.2276264
29,hidden_confounding,1.0,0.25945964,0.31941405341227785,1.2438563
47,hidden_confounding,1.0,0.2586954,0.3190998639675497,1.1805214
11,hidden_confounding,1.5,0.36188424,0.45845072138884846,1.2084192
29,hidden_confounding,1.5,0.35735133,0.4550016117853395,1.2091722
47,hidden_confounding,1.5,0.34662282,0.44176347169481844,1.1589738
11,combined,0.5,0.25195658,0.33531485008347656,1.063293
29,combined,0.5,0.2500207,0.33166818403171683,1.0708886
47,combined,0.5,0.25641373,0.33990896629629264,1.0199023
11,combined,1.0,0.37167567,0.4550369309539083,0.90902215
29,combined,1.0,0.3694089,0.45199185125529495,0.9186945
47,combined,1.0,0.3773584,0.4613792920787579,0.857145
11,combined,1.5,0.4429572,0.5496253200406012,0.809633
29,combined,1.5,0.44218227,0.5480661498940185,0.81012326
47,combined,1.5,0.44070214,0.548592513476059,0.76220024
