panel,dataset,variant,scope,member,repair,train_relative_coordinate_difference,test_relative_coordinate_difference,output_dimension,full_rank,max_anchor_condition,degenerate_block_count,passes_1e_5,error
development,adult,orthogonal_one,one,0,raw,0.35238771721164747,0.3593966280790361,134,True,,0,False,
development,adult,orthogonal_one,one,0,standardization,0.3611113103173159,0.3395525151482911,134,True,,0,False,
development,adult,orthogonal_one,one,0,whitening,0.6858170932933012,0.6169649175634581,134,True,,0,False,
development,adult,orthogonal_one,one,0,pca_canonical,3.7868939250747777e-16,3.562940521816948e-16,134,True,,0,True,
development,adult,orthogonal_one,one,0,anchor_canonical,1.994040480917966e-18,3.158108937614869e-18,182,False,2.488659453123388e+53,0,True,
development,adult,orthogonal_one,one,0,ORACLE INVERSE — NOT A METHOD,5.509855861925867e-17,5.55790828969197e-17,134,True,,0,True,
development,adult,orthogonal_one,one,1,raw,0.3095781685956408,0.316236835563427,134,True,,0,False,
development,adult,orthogonal_one,one,1,standardization,0.3452929996309429,0.32392159738555665,134,True,,0,False,
development,adult,orthogonal_one,one,1,whitening,0.6661080530869363,0.6128200112641973,134,True,,0,False,
development,adult,orthogonal_one,one,1,pca_canonical,1.4202754152109393e-15,1.422882171577796e-15,134,True,,0,True,
development,adult,orthogonal_one,one,1,anchor_canonical,2.1404111771237832e-18,3.4108935379639975e-18,182,False,2.488659453123388e+53,0,True,
development,adult,orthogonal_one,one,1,ORACLE INVERSE — NOT A METHOD,5.843500247389268e-17,5.873156412344336e-17,134,True,,0,True,
development,adult,orthogonal_one,one,2,raw,0.33309437421287,0.34205284590419277,134,True,,0,False,
development,adult,orthogonal_one,one,2,standardization,0.3626024762239531,0.35410439358090173,134,True,,0,False,
development,adult,orthogonal_one,one,2,whitening,0.6767951904001268,0.6334454480318924,134,True,,0,False,
development,adult,orthogonal_one,one,2,pca_canonical,2.4529483205158685e-15,2.412790829856446e-15,134,True,,0,True,
development,adult,orthogonal_one,one,2,anchor_canonical,1.8919194262682516e-18,3.0131554113111295e-18,182,False,2.488659453123388e+53,0,True,
development,adult,orthogonal_one,one,2,ORACLE INVERSE — NOT A METHOD,4.0928208941001186e-17,4.2882261470521684e-17,134,True,,0,True,
