dataset,problem_type,model,model_seed,repair,disagreement,task_error,raw_disagreement,raw_task_error,disagreement_reduction,relative_task_change
adult,classification,catboost,0,ORACLE INVERSE — NOT A METHOD,0.04882770847757607,0.3434629802718216,0.06024852752083638,0.3434629802718216,0.18956179533699846,0.0
adult,classification,catboost,0,pca_canonical,0.05368408050694995,0.3526139244723689,0.06024852752083638,0.3434629802718216,0.10895614024120637,0.026643174741292658
adult,classification,catboost,0,raw,0.06024852752083638,0.3434629802718216,0.06024852752083638,0.3434629802718216,0.0,0.0
adult,classification,catboost,0,standardization,0.055488559119538115,0.3464307975584701,0.06024852752083638,0.3434629802718216,0.07900555577316093,0.008640865121183507
adult,classification,catboost,0,whitening,0.060461776411492675,0.3409380364843215,0.06024852752083638,0.3434629802718216,-0.003539487178048528,-0.0073514292151712814
adult,classification,catboost,1,ORACLE INVERSE — NOT A METHOD,0.047317810769062316,0.3443807720011886,0.056192685324316635,0.3443807720011886,0.15793647347573614,0.0
adult,classification,catboost,1,pca_canonical,0.05478523683776135,0.3485058258185098,0.056192685324316635,0.3443807720011886,0.02504682733050012,0.011978176927099063
adult,classification,catboost,1,raw,0.056192685324316635,0.3443807720011886,0.056192685324316635,0.3443807720011886,0.0,0.0
adult,classification,catboost,1,standardization,0.055364325083248817,0.335244047215098,0.056192685324316635,0.3443807720011886,0.014741424729694419,-0.026530879563912143
adult,classification,catboost,1,whitening,0.05947557905128459,0.3369223450008002,0.056192685324316635,0.3443807720011886,-0.058422083017045656,-0.02165750125086153
adult,classification,catboost,2,ORACLE INVERSE — NOT A METHOD,0.04843948344227862,0.3440185948175237,0.05789839280572756,0.3440185948175237,0.16337084511460265,0.0
adult,classification,catboost,2,pca_canonical,0.053923663824159924,0.3557484852170661,0.05789839280572756,0.3440185948175237,0.06865007453496086,0.03409667551768299
adult,classification,catboost,2,raw,0.05789839280572756,0.3440185948175237,0.05789839280572756,0.3440185948175237,0.0,0.0
adult,classification,catboost,2,standardization,0.05483020692641246,0.3340580070460546,0.05789839280572756,0.3440185948175237,0.0529925915147611,-0.028953631930135875
adult,classification,catboost,2,whitening,0.06155793191967405,0.3318028208610606,0.05789839280572756,0.3440185948175237,-0.06320622968284662,-0.035509051372477916
adult,classification,controlled_mlp,0,ORACLE INVERSE — NOT A METHOD,0.0,0.3857222773623063,0.03381753814005828,0.3857222773623063,1.0,0.0
adult,classification,controlled_mlp,0,orbit_consistency_lambda_1,0.13657216362222824,0.428931080166294,0.03381753814005828,0.3857222773623063,-3.038501059911657,0.11202050112185241
adult,classification,controlled_mlp,0,pca_canonical,0.0,0.3815044989005848,0.03381753814005828,0.3857222773623063,1.0,-0.010934754638918014
adult,classification,controlled_mlp,0,raw,0.03381753814005828,0.3857222773623063,0.03381753814005828,0.3857222773623063,0.0,0.0
adult,classification,controlled_mlp,0,standardization,0.07625816020400353,0.3834282192519689,0.03381753814005828,0.3857222773623063,-1.2549885177381546,-0.005947434838415103
adult,classification,controlled_mlp,0,whitening,0.058756500206440035,0.4757897861998601,0.03381753814005828,0.3857222773623063,-0.7374564630664382,0.23350351826569257
adult,classification,controlled_mlp,1,ORACLE INVERSE — NOT A METHOD,0.0,0.3891537121004433,0.029112172885468038,0.3891537121004433,1.0,0.0
adult,classification,controlled_mlp,1,orbit_consistency_lambda_1,0.11658846585221158,0.3759276096869278,0.029112172885468038,0.3891537121004433,-3.0048012324909354,-0.03398683348574038
adult,classification,controlled_mlp,1,pca_canonical,0.0,0.3678621433161262,0.029112172885468038,0.3891537121004433,1.0,-0.054712490520510804
adult,classification,controlled_mlp,1,raw,0.029112172885468038,0.3891537121004433,0.029112172885468038,0.3891537121004433,0.0,0.0
adult,classification,controlled_mlp,1,standardization,0.0767202216959937,0.4070166540457475,0.029112172885468038,0.3891537121004433,-1.635331343964718,0.045902021206195354
adult,classification,controlled_mlp,1,whitening,0.041876365532955054,0.435650843317197,0.029112172885468038,0.3891537121004433,-0.43844864131933403,0.11948268710013606
adult,classification,controlled_mlp,2,ORACLE INVERSE — NOT A METHOD,0.0,0.3904591603042051,0.027483671130512588,0.3904591603042051,1.0,0.0
adult,classification,controlled_mlp,2,orbit_consistency_lambda_1,0.1442099085904821,0.3771185670842034,0.027483671130512588,0.3904591603042051,-4.247112290991545,-0.034166423985566366
adult,classification,controlled_mlp,2,pca_canonical,0.0,0.3684952198430654,0.027483671130512588,0.3904591603042051,1.0,-0.056251569162899605
adult,classification,controlled_mlp,2,raw,0.027483671130512588,0.3904591603042051,0.027483671130512588,0.3904591603042051,0.0,0.0
adult,classification,controlled_mlp,2,standardization,0.07361546334904448,0.3793738207179627,0.027483671130512588,0.3904591603042051,-1.6785163815803346,-0.028390522526365675
adult,classification,controlled_mlp,2,whitening,0.058034086525933,0.3968257712397153,0.027483671130512588,0.3904591603042051,-1.1115842294264358,0.01630544646602738
adult,classification,tabicl_v2,0,ORACLE INVERSE — NOT A METHOD,0.0,0.3379666001365864,0.04250240828807523,0.3379666001365864,1.0,0.0
adult,classification,tabicl_v2,0,pca_canonical,0.0,0.3339361112282161,0.04250240828807523,0.3379666001365864,1.0,-0.011925701849654472
adult,classification,tabicl_v2,0,raw,0.04250240828807523,0.3379666001365864,0.04250240828807523,0.3379666001365864,0.0,0.0
adult,classification,tabicl_v2,0,standardization,0.04111024936706185,0.3377756856924887,0.04250240828807523,0.3379666001365864,0.032754824422595696,-0.0005648914538316302
adult,classification,tabicl_v2,0,whitening,0.0602166172884195,0.3341659857692857,0.04250240828807523,0.3379666001365864,-0.41678130049196027,-0.011245532445409512
adult,classification,tabicl_v2,1,ORACLE INVERSE — NOT A METHOD,0.0,0.3379666001365864,0.04250240828807523,0.3379666001365864,1.0,0.0
adult,classification,tabicl_v2,1,pca_canonical,0.0,0.3339361112282161,0.04250240828807523,0.3379666001365864,1.0,-0.011925701849654472
adult,classification,tabicl_v2,1,raw,0.04250240828807523,0.3379666001365864,0.04250240828807523,0.3379666001365864,0.0,0.0
adult,classification,tabicl_v2,1,standardization,0.04111024936706185,0.3377756856924887,0.04250240828807523,0.3379666001365864,0.032754824422595696,-0.0005648914538316302
adult,classification,tabicl_v2,1,whitening,0.0602166172884195,0.3341659857692857,0.04250240828807523,0.3379666001365864,-0.41678130049196027,-0.011245532445409512
