variant,model,datasets,median,ci_low,ci_high,bootstrap_draws,repair
condition_le_3_all,catboost,11,0.0852454561963808,0.0611720585595321,0.1253160393258671,10000,
condition_le_3_all,controlled_mlp,11,0.0701573378409319,0.0447990847398003,0.1686310097669159,10000,
condition_le_3_all,tabicl_v2,11,0.1002504149788012,0.0464960231832523,0.1869653915347605,10000,
condition_le_3_all,tabm_d,11,0.0928549957397371,0.0492922100112213,0.1773408664033957,10000,
condition_le_3_all,tabpfn_2_6,11,0.0755361527328562,0.0422383213680728,0.1782554651782352,10000,
orthogonal_all,catboost,11,0.086507561273067,0.0581132018836268,0.1239623410943648,10000,
orthogonal_all,controlled_mlp,11,0.0532120886758234,0.0382155581201799,0.1299670615998247,10000,
orthogonal_all,tabicl_v2,11,0.0974225061129956,0.0425024082880752,0.186424368358691,10000,
orthogonal_all,tabm_d,11,0.0899961161476448,0.0524542323995576,0.1740225205351066,10000,
orthogonal_all,tabpfn_2_6,11,0.0750074974490504,0.0439717070669981,0.1801005010649656,10000,
orthogonal_one,catboost,11,0.0529152981618112,0.0422086538383182,0.087182336433333,10000,
orthogonal_one,controlled_mlp,11,0.0456732119173504,0.0253947604390721,0.0986972643719158,10000,
orthogonal_one,tabicl_v2,11,0.0637335191564493,0.026330774871407,0.0971964804997445,10000,
orthogonal_one,tabm_d,11,0.0522027485448976,0.0207124258546665,0.0555729949817741,10000,
orthogonal_one,tabpfn_2_6,11,0.0285252921220106,0.0150883250794586,0.0726463397089182,10000,
,,11,1.0,1.0,1.0,10000,ORACLE INVERSE — NOT A METHOD
,,11,-3.4301381944647127,-8.425347004456247,-2.7019176912945766,10000,orbit_consistency_lambda_1
,,11,1.0,1.0,1.0,10000,pca_canonical
,,11,0.0,0.0,0.0,10000,raw
,,11,-0.03104227724383209,-0.07198102041523524,-0.0077092224368279965,10000,standardization
,,11,-0.178485981928032,-0.3143818202388886,-0.12263932871704464,10000,whitening
prospective_repair_reduction,,7,0.9289259800291849,0.86632803680069,0.9289259800291849,10000,ORACLE INVERSE — NOT A METHOD
prospective_repair_reduction,,7,1.0,0.9707243530853011,1.0,10000,pca_canonical
prospective_repair_reduction,,7,0.0,0.0,0.0,10000,raw
prospective_repair_reduction,,7,0.0012847820975455486,-0.006556267525075099,0.0037911144849926415,10000,standardization
prospective_repair_reduction,,7,-0.20207149473366307,-0.4883747729706902,-0.07485789701891458,10000,whitening
