dataset,problem_type,model,family,basis_pair,disagreement,disagreement_seed_sd,performance,reconstruction_error,condition_number,seeds,members
adult,classification,catboost,C1,onehot_vs_helmert,0.05202875545948337,0.0017763853054920413,0.33063496989030566,9.572608508990656e-17,1.0000000000000009,3,1
adult,classification,catboost,C3,local_hat_vs_spectral_hat,0.05316171720740697,0.006993097160157693,0.3449888182251701,2.1264865636204966e-16,1.0000000000000009,3,1
adult,classification,controlled_mlp,C1,onehot_vs_helmert,0.016396923455297367,0.015724190952137857,0.3899905144886864,9.572608508990656e-17,1.0000000000000009,3,1
adult,classification,controlled_mlp,C3,local_hat_vs_spectral_hat,0.021269104016557964,0.015265974135108053,0.3880893123908869,2.1264865636204966e-16,1.0000000000000009,3,1
adult,classification,tabicl_v2,C1,onehot_vs_helmert,0.0150242282804071,0.0,0.3388362780133734,9.572608508990667e-17,1.0000000000000009,3,1
adult,classification,tabicl_v2,C3,local_hat_vs_spectral_hat,0.034469113339684,0.0,0.3481798343035185,2.1264865636204966e-16,1.0000000000000009,3,1
adult,classification,tabm_d,C1,onehot_vs_helmert,0.0396765369923397,0.010893756792564385,0.3557432580767848,9.572608508990656e-17,1.0000000000000009,3,1
adult,classification,tabm_d,C3,local_hat_vs_spectral_hat,0.08190171119811647,0.03237389834059361,0.3712445221414387,2.1264865636204966e-16,1.0000000000000009,3,1
adult,classification,tabpfn_2_6,C1,onehot_vs_helmert,0.02960970801804047,0.0032505082016019812,0.3473874897759393,9.572608508990667e-17,1.0000000000000009,3,1
adult,classification,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.021799472330638198,0.005748602030423139,0.3536553317722077,2.1264865636204966e-16,1.0000000000000009,3,1
bank-marketing,classification,catboost,C1,onehot_vs_helmert,0.04557077895916576,0.0018307480474582204,0.25074612887914177,1.7701829789861223e-16,1.0000000000000004,3,1
bank-marketing,classification,catboost,C3,local_hat_vs_spectral_hat,0.043541641093292636,0.004839559381993777,0.25272144464982255,2.1496541088739016e-16,1.0000000000000009,3,1
bank-marketing,classification,controlled_mlp,C1,onehot_vs_helmert,0.04477089580198867,0.04979881403259904,0.25807601290013854,1.7701829789861223e-16,1.0000000000000004,3,1
bank-marketing,classification,controlled_mlp,C3,local_hat_vs_spectral_hat,0.014522841083066132,0.008652931089386234,0.2480591673515741,2.1496541088739016e-16,1.0000000000000009,3,1
bank-marketing,classification,tabicl_v2,C1,onehot_vs_helmert,0.036514931281934,0.0,0.24140712380806897,1.7701829789861218e-16,1.0000000000000004,3,1
bank-marketing,classification,tabicl_v2,C3,local_hat_vs_spectral_hat,0.0300924263457245,0.0,0.22981675695381662,2.1496541088739016e-16,1.0000000000000009,3,1
bank-marketing,classification,tabm_d,C1,onehot_vs_helmert,0.004183578589317933,0.00045478720343246267,0.4514623823959245,1.7701829789861223e-16,1.0000000000000004,3,1
bank-marketing,classification,tabm_d,C3,local_hat_vs_spectral_hat,0.0040455589486977665,0.0003447466612688308,0.44952391291002275,2.1496541088739016e-16,1.0000000000000009,3,1
bank-marketing,classification,tabpfn_2_6,C1,onehot_vs_helmert,0.0437180977980279,0.005067803837901915,0.24416315997024393,1.7701829789861218e-16,1.0000000000000004,3,1
bank-marketing,classification,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.0157917925944795,0.002364183390941199,0.23439081577090393,2.1496541088739016e-16,1.0000000000000009,3,1
bike-sharing,regression,catboost,C1,onehot_vs_helmert,0.057890146276423866,0.0023714352948618115,58.658143984741855,1.7916185122862606e-16,1.0000000000000004,3,1
bike-sharing,regression,catboost,C2,fourier_origin_vs_fourier_shift,0.08058049271613212,0.004849624008943095,58.52095852767681,2.076802456844716e-15,1.0000000000000004,3,8
bike-sharing,regression,catboost,C3,local_hat_vs_spectral_hat,0.060091723963624964,0.0017882710111359903,59.989681997252774,2.1424358174305508e-16,1.0000000000000009,3,1
bike-sharing,regression,controlled_mlp,C1,onehot_vs_helmert,0.08928275345228663,0.00519010256514455,75.651928042639,1.7916185122862606e-16,1.0000000000000004,3,1
bike-sharing,regression,controlled_mlp,C2,fourier_origin_vs_fourier_shift,0.0792335016044943,0.017567475527903813,56.01139957614627,2.076802456844716e-15,1.0000000000000004,3,8
bike-sharing,regression,controlled_mlp,C3,local_hat_vs_spectral_hat,0.08172138983917897,0.0360048769997689,80.54838990915343,2.1424358174305508e-16,1.0000000000000009,3,1
bike-sharing,regression,tabicl_v2,C1,onehot_vs_helmert,0.1174504243486202,0.0,67.13021903174577,1.7916185122862606e-16,1.0000000000000004,3,1
bike-sharing,regression,tabicl_v2,C2,fourier_origin_vs_fourier_shift,0.09844432848644864,0.01366255519264804,62.94169071259538,2.076802456844716e-15,1.0000000000000004,3,8
bike-sharing,regression,tabicl_v2,C3,local_hat_vs_spectral_hat,0.12145154398035969,0.0,73.76957068062302,2.1424358174305508e-16,1.0000000000000009,3,1
bike-sharing,regression,tabm_d,C1,onehot_vs_helmert,0.04502252286588496,0.003677491034031368,62.81611770175723,1.7916185122862606e-16,1.0000000000000004,3,1
bike-sharing,regression,tabm_d,C2,fourier_origin_vs_fourier_shift,0.11800887586662283,0.012225267952194386,53.784623545456846,2.076802456844716e-15,1.0000000000000004,3,8
bike-sharing,regression,tabm_d,C3,local_hat_vs_spectral_hat,0.03544985984688853,0.002389765629503451,65.3718846418269,2.1424358174305508e-16,1.0000000000000009,3,1
bike-sharing,regression,tabpfn_2_6,C1,onehot_vs_helmert,0.07361077234532991,0.012126377877439946,54.27374467594425,1.7916185122862606e-16,1.0000000000000004,3,1
bike-sharing,regression,tabpfn_2_6,C2,fourier_origin_vs_fourier_shift,0.05403752433366138,0.005429864085042743,54.156051153492285,2.076802456844716e-15,1.0000000000000004,3,8
bike-sharing,regression,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.04443697277251343,0.0329601971451939,54.327838715677295,2.1424358174305508e-16,1.0000000000000009,3,1
california_housing,regression,catboost,C1,onehot_vs_helmert,0.08763826610298053,0.0023788915384933143,61636.80101533252,1.6019295092324714e-16,1.0000000000000004,3,1
california_housing,regression,catboost,C3,local_hat_vs_spectral_hat,0.08726160241531127,0.0035571918813210616,62191.27413566263,2.0851388871316656e-16,1.0000000000000009,3,1
california_housing,regression,controlled_mlp,C1,onehot_vs_helmert,0.08689078464479993,0.032620441279365385,64694.69238442221,1.6019295092324714e-16,1.0000000000000004,3,1
california_housing,regression,controlled_mlp,C3,local_hat_vs_spectral_hat,0.11392468869049295,0.0644851328215353,64420.167609758646,2.0851388871316656e-16,1.0000000000000009,3,1
california_housing,regression,tabicl_v2,C1,onehot_vs_helmert,0.0426567050725181,0.0,58854.18226466188,1.6019295092324714e-16,1.0000000000000004,3,1
california_housing,regression,tabicl_v2,C3,local_hat_vs_spectral_hat,0.0987994477795649,0.0,59952.82225922713,2.0851388871316656e-16,1.0000000000000009,3,1
california_housing,regression,tabm_d,C1,onehot_vs_helmert,0.044947851000213764,0.005835892756996393,61141.77022179551,1.6019295092324714e-16,1.0000000000000004,3,1
california_housing,regression,tabm_d,C3,local_hat_vs_spectral_hat,0.05191760263833303,0.006857627240906394,61193.14831483535,2.0851388871316656e-16,1.0000000000000009,3,1
california_housing,regression,tabpfn_2_6,C1,onehot_vs_helmert,0.11204038959142167,0.01570105042128667,54270.70575938482,1.6019295092324714e-16,1.0000000000000004,3,1
california_housing,regression,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.08282889927287786,0.04599533497708678,53436.946460912375,2.0851388871316656e-16,1.0000000000000009,3,1
cpu_small,regression,catboost,C3,local_hat_vs_spectral_hat,0.05790950729169386,0.0035247999484952757,4.54098924014908,2.2889963872049926e-16,1.0000000000000009,3,1
cpu_small,regression,controlled_mlp,C3,local_hat_vs_spectral_hat,0.05491134331544137,0.008865043678451546,3.688805655342851,2.2889963872049926e-16,1.0000000000000009,3,1
cpu_small,regression,tabicl_v2,C3,local_hat_vs_spectral_hat,0.0620330047565669,0.0,3.139041331328686,2.2889963872049926e-16,1.0000000000000009,3,1
cpu_small,regression,tabm_d,C3,local_hat_vs_spectral_hat,0.07311709169903677,0.003934500598028212,3.597431569064598,2.2889963872049926e-16,1.0000000000000009,3,1
cpu_small,regression,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.042344561264208734,0.0016784154523327532,2.790312869599457,2.2889963872049926e-16,1.0000000000000009,3,1
credit-g,classification,catboost,C1,onehot_vs_helmert,0.08455887486657336,0.006134391100097634,0.4859428271554925,1.6264399465171795e-16,1.0000000000000009,3,1
credit-g,classification,catboost,C3,local_hat_vs_spectral_hat,0.0848848044765219,0.003941365129549016,0.4974242760183205,2.2040031984818126e-16,1.0000000000000009,3,1
credit-g,classification,controlled_mlp,C1,onehot_vs_helmert,0.056509397751895805,0.027401045649072142,0.5057749386294811,1.6264399465171795e-16,1.0000000000000009,3,1
credit-g,classification,controlled_mlp,C3,local_hat_vs_spectral_hat,0.0172157042323102,0.0038447696740428806,0.5047178129245284,2.2040031984818126e-16,1.0000000000000009,3,1
credit-g,classification,tabicl_v2,C1,onehot_vs_helmert,0.035167019592428,0.0,0.4802308120597594,1.6264399465171795e-16,1.0000000000000009,3,1
credit-g,classification,tabicl_v2,C3,local_hat_vs_spectral_hat,0.065390177898969,0.0,0.48030713685060195,2.2040031984818126e-16,1.0000000000000009,3,1
credit-g,classification,tabm_d,C1,onehot_vs_helmert,0.07238726161250053,0.009361179062050801,0.501577738920803,1.6264399465171795e-16,1.0000000000000009,3,1
credit-g,classification,tabm_d,C3,local_hat_vs_spectral_hat,0.06364148552901217,0.030817980512667216,0.4898240283779031,2.2040031984818126e-16,1.0000000000000009,3,1
credit-g,classification,tabpfn_2_6,C1,onehot_vs_helmert,0.05887522062178257,0.005560816493932062,0.4951648872001531,1.6264399465171795e-16,1.0000000000000009,3,1
credit-g,classification,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.0321278840850188,0.005007212174366468,0.49212104771658716,2.2040031984818126e-16,1.0000000000000009,3,1
diamonds,regression,catboost,C1,onehot_vs_helmert,0.05972821520243707,0.0003412138450922796,831.1062271121067,1.9398973110127075e-16,1.0000000000000004,3,1
diamonds,regression,catboost,C3,local_hat_vs_spectral_hat,0.05558334893114197,0.008190990173038344,866.6043038175202,1.965397768872792e-16,1.0000000000000009,3,1
diamonds,regression,controlled_mlp,C1,onehot_vs_helmert,0.0310881207376407,0.006131673474887113,689.4656186419751,1.9398973110127075e-16,1.0000000000000004,3,1
diamonds,regression,controlled_mlp,C3,local_hat_vs_spectral_hat,0.025586802782153834,0.013457378017945238,669.2674775749789,1.965397768872792e-16,1.0000000000000009,3,1
diamonds,regression,tabicl_v2,C1,onehot_vs_helmert,0.0940137601322521,0.0,907.0181698568068,1.9398973110127075e-16,1.0000000000000004,3,1
diamonds,regression,tabm_d,C1,onehot_vs_helmert,0.027979750965553565,0.0007460374925485673,681.0920542527598,1.9398973110127075e-16,1.0000000000000004,3,1
diamonds,regression,tabm_d,C3,local_hat_vs_spectral_hat,0.0214195771317955,0.0009368916086121785,675.2246014974883,1.965397768872792e-16,1.0000000000000009,3,1
diamonds,regression,tabpfn_2_6,C1,onehot_vs_helmert,0.049535068976691965,0.0016456323648159966,628.4939284146623,1.9398973110127075e-16,1.0000000000000004,3,1
house_16H,regression,catboost,C3,local_hat_vs_spectral_hat,0.11346605455792567,0.004055594327997758,34853.81883599241,2.0748109606082272e-16,1.0000000000000009,3,1
house_16H,regression,controlled_mlp,C3,local_hat_vs_spectral_hat,0.056755247985935536,0.019822789796736004,34903.687168916345,2.0748109606082272e-16,1.0000000000000009,3,1
house_16H,regression,tabicl_v2,C3,local_hat_vs_spectral_hat,0.1488963817523393,0.0,33118.743564873614,2.0748109606082272e-16,1.0000000000000009,3,1
house_16H,regression,tabm_d,C3,local_hat_vs_spectral_hat,0.1041821819478157,0.04952162227671875,32821.25054482758,2.0748109606082272e-16,1.0000000000000009,3,1
house_16H,regression,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.06987904101561107,0.011279467422655067,31203.361007764644,2.0748109606082272e-16,1.0000000000000009,3,1
pendigits,classification,catboost,C3,local_hat_vs_spectral_hat,0.020801512062817967,0.0015564413149949917,0.19646868225800143,2.2007729153840904e-16,1.0000000000000009,3,1
pendigits,classification,controlled_mlp,C3,local_hat_vs_spectral_hat,0.012441094856431698,0.005620771242975239,0.16361348243257856,2.2007729153840904e-16,1.0000000000000009,3,1
pendigits,classification,tabicl_v2,C3,local_hat_vs_spectral_hat,0.0117942548237705,0.0,0.0338143517386996,2.2007729153840904e-16,1.0000000000000009,3,1
pendigits,classification,tabm_d,C3,local_hat_vs_spectral_hat,0.016033760946851366,0.008661656264026702,0.11168522635923117,2.2007729153840904e-16,1.0000000000000009,3,1
pendigits,classification,tabpfn_2_6,C3,local_hat_vs_spectral_hat,0.011654586323217033,0.0033979047009335918,0.0564463799298363,2.2007729153840904e-16,1.0000000000000009,3,1
phoneme,classification,catboost,C3,local_hat_vs_spectral_hat,0.061902538866100636,0.000284012203408849,0.29493260319769843,1.9568997611320004e-16,1.0000000000000009,3,1
phoneme,classification,controlled_mlp,C3,local_hat_vs_spectral_hat,0.056671299224847704,0.03226483430879837,0.35552819764699056,1.9568997611320004e-16,1.0000000000000009,3,1
phoneme,classification,tabicl_v2,C3,local_hat_vs_spectral_hat,0.06496527652129,0.0,0.2691743184205616,1.9568997611320004e-16,1.0000000000000009,3,1
phoneme,classification,tabm_d,C3,local_hat_vs_spectral_hat,0.046867274750556666,0.0069799563311927345,0.3045959938416845,1.9568997611320004e-16,1.0000000000000009,3,1
