dataset,problem_type,model,repair,disagreement,disagreement_seed_sd,raw_disagreement,disagreement_reduction,task_error,raw_task_error,relative_task_change,seeds,useful_threshold,average_rank
adult,classification,catboost,ORACLE INVERSE — NOT A METHOD,0.04819500089630566,0.0007840768833525424,0.05811320188362686,0.17028970464244575,0.34395411569684464,0.34395411569684464,0.0,3,False,1.0
adult,classification,catboost,pca_canonical,0.05413099372295707,0.0005791162071837845,0.05811320188362686,0.06755101403555579,0.3522894118359816,0.34395411569684464,0.024239342395358233,3,False,2.0
adult,classification,catboost,raw,0.05811320188362686,0.002036435902681076,0.05811320188362686,0.0,0.34395411569684464,0.34395411569684464,0.0,3,False,4.0
adult,classification,catboost,standardization,0.05522769704306646,0.0003497961100003751,0.05811320188362686,0.04891319067253882,0.33857761727320757,0.34395411569684464,-0.015614548790954837,3,False,3.0
adult,classification,catboost,whitening,0.060498429127483766,0.0010416601813041525,0.05811320188362686,-0.0417225999593136,0.3365544007820607,0.34395411569684464,-0.021505993946170244,3,False,5.0
adult,classification,controlled_mlp,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.03013779405201297,1.0,0.3884450499223182,0.3884450499223182,0.0,3,True,1.5
adult,classification,controlled_mlp,orbit_consistency_lambda_1,0.13245684602164065,0.01426316598624474,0.03013779405201297,-3.4301381944647127,0.3939924189791417,0.3884450499223182,0.014622414550181888,3,False,6.0
adult,classification,controlled_mlp,pca_canonical,0.0,0.0,0.03013779405201297,1.0,0.37262062068659213,0.3884450499223182,-0.040632938107442805,3,True,1.5
adult,classification,controlled_mlp,raw,0.03013779405201297,0.003289132394203912,0.03013779405201297,0.0,0.3884450499223182,0.3884450499223182,0.0,3,False,3.0
adult,classification,controlled_mlp,standardization,0.07553128174968056,0.0016751553103389915,0.03013779405201297,-1.5229454144277357,0.38993956467189306,0.3884450499223182,0.003854687947138192,3,False,5.0
adult,classification,controlled_mlp,whitening,0.0528889840884427,0.009544045052699037,0.03013779405201297,-0.7624964446040693,0.43608880025225744,0.3884450499223182,0.12309721727728534,3,False,4.0
adult,classification,tabicl_v2,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.04250240828807523,1.0,0.3379666001365864,0.3379666001365864,0.0,3,True,1.5
adult,classification,tabicl_v2,pca_canonical,0.0,0.0,0.04250240828807523,1.0,0.33393611122821615,0.3379666001365864,-0.011925701849654474,3,True,1.5
adult,classification,tabicl_v2,raw,0.04250240828807523,0.0,0.04250240828807523,0.0,0.3379666001365864,0.3379666001365864,0.0,3,False,4.0
adult,classification,tabicl_v2,standardization,0.04111024936706185,0.0,0.04250240828807523,0.032754824422595696,0.3377756856924887,0.3379666001365864,-0.0005648914538316302,3,False,3.0
adult,classification,tabicl_v2,whitening,0.060216617288419504,0.0,0.04250240828807523,-0.41678130049196027,0.33416598576928563,0.3379666001365864,-0.011245532445409512,3,False,5.0
adult,classification,tabm_d,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.0524542323995576,1.0,0.3551256996215048,0.3551256996215048,0.0,3,True,1.5
adult,classification,tabm_d,pca_canonical,0.0,0.0,0.0524542323995576,1.0,0.36140056908460233,0.3551256996215048,0.017706561456030386,3,False,1.5
adult,classification,tabm_d,raw,0.0524542323995576,0.010072525616646453,0.0524542323995576,0.0,0.3551256996215048,0.3551256996215048,0.0,3,False,3.0
adult,classification,tabm_d,standardization,0.08140649544300876,0.012046286099510478,0.0524542323995576,-0.5668187038059115,0.36188182955427634,0.3551256996215048,0.01905611349319,3,False,5.0
adult,classification,tabm_d,whitening,0.07622534132785684,0.0008765009564558359,0.0524542323995576,-0.4865384544232208,0.3506092244224337,0.3551256996215048,-0.0127444722702535,3,False,4.0
adult,classification,tabpfn_2_6,ORACLE INVERSE — NOT A METHOD,0.011268858424338698,0.004292085264821336,0.036195656611037554,0.6859322437467221,0.3485880076688886,0.3485880076688886,0.0,3,False,1.0
adult,classification,tabpfn_2_6,pca_canonical,0.03860866865728161,0.005356506098355648,0.036195656611037554,-0.07382217331404133,0.34248344182840107,0.3485880076688886,-0.017487024104452655,3,False,4.0
adult,classification,tabpfn_2_6,raw,0.036195656611037554,0.003498701415353059,0.036195656611037554,0.0,0.3485880076688886,0.3485880076688886,0.0,3,False,2.0
adult,classification,tabpfn_2_6,standardization,0.03648350781665608,0.0037700870036086833,0.036195656611037554,-0.0077092224368279965,0.349688457829024,0.3485880076688886,0.0031625096236147267,3,False,3.0
adult,classification,tabpfn_2_6,whitening,0.04732186624420923,0.0020773772872822237,0.036195656611037554,-0.3143818202388886,0.3449304199657708,0.3485880076688886,-0.01034304988396303,3,False,5.0
bank-marketing,classification,catboost,ORACLE INVERSE — NOT A METHOD,0.04088008093960383,0.0030679292460231377,0.04698859886059944,0.12920616132295135,0.2545775293896108,0.2545775293896108,0.0,3,False,2.0
