dataset,problem_type,model,disagreement,disagreement_seed_sd,reference_task,transformed_task,seeds
credit-g,classification,controlled_mlp,0.0335111619596448,0.010848094471880846,0.4919299718239998,0.49400583428090156,3
credit-g,classification,tabm_d,0.15664085156535176,0.09330595121558544,0.487378469094424,0.5673576201129537,3
house_16H,regression,controlled_mlp,0.2486920347141763,0.08655271164451962,36143.44737420187,36212.454908932814,3
house_16H,regression,tabm_d,0.22772428020202784,0.006196001083214626,32563.067036455603,33457.647327011044,3
phoneme,classification,controlled_mlp,0.06921683301606617,0.01207175971518808,0.36497643289576415,0.3684903779774574,3
phoneme,classification,tabm_d,0.08148987883114586,0.0008939398923568414,0.3234410138009589,0.334738725559772,3
