dataset,problem_type,model,model_seed,variant,scope,selected_feature,mean_disagreement,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,members
adult,classification,catboost,0,condition_le_3_all,all,fnlwgt,0.0629298340706821,0.0677041516552915,0.0400390625,0.3434629802718216,0.34187763638963375,0.3508010291001746,0.3326625727552064,0.01813845634496819,8
adult,classification,catboost,0,orthogonal_all,all,fnlwgt,0.06024852752083638,0.063590169559645,0.039306640625,0.3434629802718216,0.34769151729264564,0.3530440059816738,0.3415334546175317,0.011510551364142085,8
adult,classification,catboost,0,orthogonal_one,one,fnlwgt,0.05000474730088851,0.0546207138832103,0.034423828125,0.3434629802718216,0.3384606208193014,0.3425414339189535,0.3344636268335862,0.008077807085367261,8
adult,classification,catboost,1,condition_le_3_all,all,fnlwgt,0.05954872597725329,0.0635057450769456,0.031005859375,0.3443807720011886,0.34039660625183915,0.3483079049742236,0.3343057858852976,0.014002119088926013,8
adult,classification,catboost,1,orthogonal_all,all,fnlwgt,0.056192685324316635,0.060088797398979,0.03173828125,0.3443807720011886,0.3464874317467693,0.3500720625150599,0.3426799451083174,0.007392117406742504,8
adult,classification,catboost,1,orthogonal_one,one,fnlwgt,0.04801609237965994,0.0521036049964225,0.024658203125,0.3443807720011886,0.34174332829212334,0.3461828299219498,0.3374362405261789,0.008746589395770943,8
adult,classification,catboost,2,condition_le_3_all,all,fnlwgt,0.061037615630661124,0.0660934559456206,0.03076171875,0.3440185948175237,0.34496335019316016,0.3536535154351926,0.3340545902286559,0.019598925206536666,8
adult,classification,catboost,2,orthogonal_all,all,fnlwgt,0.05789839280572756,0.0616334501030355,0.031494140625,0.3440185948175237,0.34466598194367704,0.3484942165939915,0.3363844258948003,0.012109790699191214,8
adult,classification,catboost,2,orthogonal_one,one,fnlwgt,0.052423393783624636,0.0536390778153757,0.02978515625,0.3440185948175237,0.3414601391938522,0.3484557719900806,0.3318719758595632,0.016583796130517414,8
adult,classification,controlled_mlp,0,condition_le_3_all,all,fnlwgt,0.04274734479842461,0.0696612687296784,0.026611328125,0.3857222773623063,0.3877787135222316,0.471852085698664,0.3669393952758665,0.1049126904227975,8
adult,classification,controlled_mlp,0,orthogonal_all,all,fnlwgt,0.03381753814005828,0.0392175424542489,0.015625,0.3857222773623063,0.3849522748005469,0.3976529369357607,0.3797493509329042,0.01790358600285652,8
adult,classification,controlled_mlp,0,orthogonal_one,one,fnlwgt,0.01641208526269515,0.0341626219820251,0.010009765625,0.3857222773623063,0.3906274903027757,0.4058345493181968,0.3849066076733397,0.020927941644857118,8
adult,classification,controlled_mlp,1,condition_le_3_all,all,fnlwgt,0.03087803790876515,0.0380040184706687,0.021484375,0.3891537121004433,0.3781284387375767,0.3833109485982038,0.371271566900171,0.012039381698032814,8
adult,classification,controlled_mlp,1,orthogonal_all,all,fnlwgt,0.029112172885468038,0.0327247396520246,0.0205078125,0.3891537121004433,0.37757094365059973,0.3879974838349515,0.3685991382690751,0.019398345565876385,8
adult,classification,controlled_mlp,1,orthogonal_one,one,fnlwgt,0.009984478782443637,0.0205078178681706,0.005859375,0.3891537121004433,0.39037693079918634,0.3931172964524172,0.3845852859404288,0.00853201051198843,8
adult,classification,controlled_mlp,2,condition_le_3_all,all,fnlwgt,0.030528240654940565,0.0367521693018695,0.0205078125,0.3904591603042051,0.3827162710166134,0.3887997063866664,0.3783738810547629,0.010425825331903504,8
adult,classification,controlled_mlp,2,orthogonal_all,all,fnlwgt,0.027483671130512588,0.0336844209625439,0.01904296875,0.3904591603042051,0.38543267782602403,0.3911682082086782,0.3820558263535476,0.00911238185513058,8
adult,classification,controlled_mlp,2,orthogonal_one,one,fnlwgt,0.007328453682817412,0.0091410910853666,0.006591796875,0.3904591603042051,0.3907500042500869,0.393566601256934,0.3885525555278745,0.005014045729059502,8
adult,classification,tabicl_v2,0,condition_le_3_all,all,fnlwgt,0.04241831405433735,0.048297220582245,0.024169921875,0.3379666001365864,0.3364375375563288,0.3469259675743131,0.329568326203886,0.017357641370427113,8
adult,classification,tabicl_v2,0,orthogonal_all,all,fnlwgt,0.04250240828807523,0.0522249274260937,0.0263671875,0.3379666001365864,0.33668684810124416,0.3394427484655659,0.333565203955703,0.0058775445098628865,8
adult,classification,tabicl_v2,0,orthogonal_one,one,fnlwgt,0.026330774871407014,0.0294316971989273,0.02099609375,0.3379666001365864,0.344121173652542,0.3470472679866056,0.3419023398281339,0.005144928158471729,8
