dataset,panel,problem_type,model,model_seed,split,family,basis_pair,representation_id,reference_id,variant,member,is_reference,reconstruction_error,condition_number,log_loss,accuracy,roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate,fit_seconds,predict_seconds,rmse,mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,best_epoch,best_validation_loss,architecture,checkpoint,checkpoint_sha256,checkpoint_bytes,checkpoint_version
adult,development,classification,catboost,0,validation,C1,onehot_vs_onehot,onehot__native-country,onehot__native-country,onehot,-1,True,0.0,1.0,0.2667917262889238,0.87109375,0.9419083648591844,0.0,0.0,0.0,0.0,0.7527226568199694,0.0222964182030409,,,,,,,,,,,,
adult,development,classification,catboost,0,test,C1,onehot_vs_onehot,onehot__native-country,onehot__native-country,onehot,-1,True,0.0,1.0,0.3434629802718216,0.849609375,0.8935983447238071,0.0,0.0,0.0,0.0,0.7527226568199694,0.0222964182030409,,,,,,,,,,,,
adult,development,classification,catboost,0,validation,C1,onehot_vs_helmert,helmert__native-country,onehot__native-country,helmert,0,False,9.572608508990656e-17,1.0000000000000009,0.2709499688170126,0.859375,0.9414880201765448,0.0484699284667023,0.0275876157683044,0.0016882745209594,0.04296875,0.3774414488580078,0.0179490188602358,,,,,,,,,,,,
adult,development,classification,catboost,0,test,C1,onehot_vs_helmert,helmert__native-country,onehot__native-country,helmert,0,False,9.572608508990656e-17,1.0000000000000009,0.3248926587343443,0.857421875,0.9029824231404268,0.0508456241975136,0.0303873327477373,0.0019584487894771,0.0234375,0.3774414488580078,0.0179490188602358,,,,,,,,,,,,
adult,development,classification,catboost,0,validation,C3,local_hat_vs_local_hat,local_hat__fnlwgt,local_hat__fnlwgt,local_hat,-1,True,0.0,1.0,0.2752475218345639,0.86328125,0.9369482976040352,0.0,0.0,0.0,0.0,0.4847445760387927,0.0072847648989409,,,,,,,,,,,,
adult,development,classification,catboost,0,test,C3,local_hat_vs_local_hat,local_hat__fnlwgt,local_hat__fnlwgt,local_hat,-1,True,0.0,1.0,0.3403210800725512,0.853515625,0.895646540012958,0.0,0.0,0.0,0.0,0.4847445760387927,0.0072847648989409,,,,,,,,,,,,
adult,development,classification,catboost,0,validation,C3,local_hat_vs_spectral_hat,spectral_hat__fnlwgt,local_hat__fnlwgt,spectral_hat,0,False,2.1264865636204966e-16,1.0000000000000009,0.2783837472465184,0.859375,0.93551912568306,0.0469525254442154,0.0261752037324948,0.0015948688699821,0.02734375,0.4285792959854007,0.0090497019700706,,,,,,,,,,,,
adult,development,classification,catboost,0,test,C3,local_hat_vs_spectral_hat,spectral_hat__fnlwgt,local_hat__fnlwgt,spectral_hat,0,False,2.1264865636204966e-16,1.0000000000000009,0.3453861646088706,0.833984375,0.8901707526072691,0.0461844326132628,0.0284040025030202,0.0016067233861137,0.03515625,0.4285792959854007,0.0090497019700706,,,,,,,,,,,,
adult,development,classification,catboost,1,validation,C1,onehot_vs_onehot,onehot__native-country,onehot__native-country,onehot,-1,True,0.0,1.0,0.2698466492402579,0.87109375,0.9403110550651534,0.0,0.0,0.0,0.0,0.4450974131468683,0.0036583070177584,,,,,,,,,,,,
adult,development,classification,catboost,1,test,C1,onehot_vs_onehot,onehot__native-country,onehot__native-country,onehot,-1,True,0.0,1.0,0.3443807720011886,0.84375,0.8936401446276674,0.0,0.0,0.0,0.0,0.4450974131468683,0.0036583070177584,,,,,,,,,,,,
