dataset,problem_type,model,repair,disagreement,disagreement_seed_sd,raw_disagreement,disagreement_reduction,task_error,raw_task_error,relative_task_change,seeds,useful_threshold,average_rank
MagicTelescope,classification,catboost,ORACLE INVERSE — NOT A METHOD,0.05660651786695284,0.0016488266144406905,0.0676799513747828,0.16307075743083674,0.3523368786425192,0.3523368786425192,0.0,3,False,2.0
MagicTelescope,classification,catboost,pca_canonical,0.0,0.0,0.0676799513747828,1.0,0.37163473082965676,0.3523368786425192,0.05488935660656754,3,False,1.0
MagicTelescope,classification,catboost,raw,0.0676799513747828,0.0025846460138132833,0.0676799513747828,0.0,0.3523368786425192,0.3523368786425192,0.0,3,False,3.0
MagicTelescope,classification,catboost,standardization,0.0689601153796447,0.0015802300562484132,0.0676799513747828,-0.019544237983302366,0.35097252932763556,0.3523368786425192,-0.00386176773599804,3,False,4.0
MagicTelescope,classification,catboost,whitening,0.10005572673306812,0.004602619720116271,0.0676799513747828,-0.47925022123166044,0.4012634178683927,0.3523368786425192,0.13897093831570304,3,False,5.0
MagicTelescope,classification,tabicl_v2,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.09151725389701744,1.0,0.3298045529665065,0.3298045529665065,0.0,3,True,1.5
MagicTelescope,classification,tabicl_v2,pca_canonical,0.0,0.0,0.09151725389701744,1.0,0.3724356239972257,0.3298045529665065,0.1292616207000896,3,False,1.5
MagicTelescope,classification,tabicl_v2,raw,0.09151725389701744,0.0,0.09151725389701744,0.0,0.3298045529665065,0.3298045529665065,0.0,3,False,4.0
MagicTelescope,classification,tabicl_v2,standardization,0.09115662575812279,0.0,0.09151725389701744,0.0039405480774199475,0.3295402219868444,0.3298045529665065,-0.0008014776548247131,3,False,3.0
MagicTelescope,classification,tabicl_v2,whitening,0.1296206668711315,0.0,0.09151725389701744,-0.4163522325199036,0.3848568933952768,0.3298045529665065,0.166924137139978,3,False,5.0
MagicTelescope,classification,tabm_d,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.11977911732973935,1.0,0.35987952576033316,0.35987952576033316,0.0,3,True,1.5
MagicTelescope,classification,tabm_d,pca_canonical,0.0,0.0,0.11977911732973935,1.0,0.3906780590856826,0.35987952576033316,0.08570044767506267,3,False,1.5
MagicTelescope,classification,tabm_d,raw,0.11977911732973935,0.007612585270373674,0.11977911732973935,0.0,0.35987952576033316,0.35987952576033316,0.0,3,False,4.0
MagicTelescope,classification,tabm_d,standardization,0.11917533669905216,0.004757760630400022,0.11977911732973935,0.003932934668616513,0.3614917539134523,0.35987952576033316,0.004608929911641078,3,False,3.0
MagicTelescope,classification,tabm_d,whitening,0.13354299901943786,0.0031247172191136716,0.11977911732973935,-0.11793496245929884,0.42595333630749704,0.35987952576033316,0.18373256874025712,3,False,5.0
MagicTelescope,classification,tabpfn_2_6,ORACLE INVERSE — NOT A METHOD,0.027353933878187325,0.0021756573394601775,0.07292434214178047,0.6246021048829314,0.33176022860833376,0.33176022860833376,0.0,3,False,2.0
MagicTelescope,classification,tabpfn_2_6,pca_canonical,0.005650303644500291,0.001907037696358605,0.07292434214178047,0.9217874128398211,0.36127043964327954,0.33176022860833376,0.089058893925383,3,False,1.0
MagicTelescope,classification,tabpfn_2_6,raw,0.07292434214178047,0.004312277016763989,0.07292434214178047,0.0,0.33176022860833376,0.33176022860833376,0.0,3,False,3.0
MagicTelescope,classification,tabpfn_2_6,standardization,0.07658957524356426,0.004768533119995463,0.07292434214178047,-0.05051781048575821,0.32991046933273144,0.33176022860833376,-0.005456875558573608,3,False,4.0
MagicTelescope,classification,tabpfn_2_6,whitening,0.10070801135555892,0.004136087350006807,0.07292434214178047,-0.38260756820736885,0.37523973188654475,0.33176022860833376,0.13126498286081403,3,False,5.0
elevators,regression,catboost,ORACLE INVERSE — NOT A METHOD,0.09924133465952178,0.003434101608835155,0.17273658076788254,0.4251960759479239,0.0032297836042029667,0.0032297836042029667,0.0,3,False,2.0
elevators,regression,catboost,pca_canonical,0.009374629527546242,0.01623733464384551,0.17273658076788254,0.9441849538123966,0.0038161907404353997,0.0032297836042029667,0.18162711837855197,3,False,1.0
elevators,regression,catboost,raw,0.17273658076788254,0.004229189687841972,0.17273658076788254,0.0,0.0032297836042029667,0.0032297836042029667,0.0,3,False,4.0
elevators,regression,catboost,standardization,0.15480226508279724,0.0021031390186925045,0.17273658076788254,0.1033732087361487,0.003257682202410267,0.0032297836042029667,0.008747378571827698,3,False,3.0
elevators,regression,catboost,whitening,0.175138882199266,0.004346083540584519,0.17273658076788254,-0.014471015570746445,0.004013268758287967,0.0032297836042029667,0.24276135658320117,3,False,5.0
elevators,regression,tabicl_v2,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.3395952055088203,1.0,0.0031423074321349,0.0031423074321349,0.0,3,True,1.5
elevators,regression,tabicl_v2,pca_canonical,0.0,0.0,0.3395952055088203,1.0,0.0039086335222331,0.0031423074321349,0.2438736841154828,3,False,1.5
elevators,regression,tabicl_v2,raw,0.3395952055088203,0.0,0.3395952055088203,0.0,0.0031423074321349,0.0031423074321349,0.0,3,False,5.0
elevators,regression,tabicl_v2,standardization,0.33853752661057196,0.0,0.3395952055088203,0.0031145283593256856,0.0031452813196338,0.0031423074321349,0.0009464024647899316,3,False,4.0
elevators,regression,tabicl_v2,whitening,0.23202400496998857,0.0,0.3395952055088203,0.3167630131222149,0.0042375304338342,0.0031423074321349,0.3485410085910022,3,False,3.0
elevators,regression,tabm_d,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.26065731613371307,1.0,0.002756105367251267,0.002756105367251267,0.0,3,True,1.5
elevators,regression,tabm_d,pca_canonical,0.0,0.0,0.26065731613371307,1.0,0.0037023907216532,0.002756105367251267,0.3433857130164097,3,False,1.5
elevators,regression,tabm_d,raw,0.26065731613371307,0.0009750346193737879,0.26065731613371307,0.0,0.002756105367251267,0.002756105367251267,0.0,3,False,4.0
elevators,regression,tabm_d,standardization,0.30426045831922327,0.00473523803837334,0.26065731613371307,-0.16729094383880305,0.0025647686648942666,0.002756105367251267,-0.06944378438080116,3,False,5.0
elevators,regression,tabm_d,whitening,0.2593611846697779,0.005264790694876431,0.26065731613371307,0.00499387920739421,0.003808078518039866,0.002756105367251267,0.3816993495388537,3,False,3.0
elevators,regression,tabpfn_2_6,ORACLE INVERSE — NOT A METHOD,0.07781328086710275,0.009827538655490225,0.2913365348116881,0.7326560736013802,0.0019578793066015333,0.0019578793066015333,0.0,3,True,2.0
elevators,regression,tabpfn_2_6,pca_canonical,0.006072521288164968,0.002597295210202017,0.2913365348116881,0.9792199107349976,0.0028113042082716,0.0019578793066015333,0.43569905019734695,3,False,1.0
elevators,regression,tabpfn_2_6,raw,0.2913365348116881,0.0033687667711494295,0.2913365348116881,0.0,0.0019578793066015333,0.0019578793066015333,0.0,3,False,4.0
elevators,regression,tabpfn_2_6,standardization,0.2773061756547237,0.011341947712502888,0.2913365348116881,0.047821068342930796,0.0019994831224757,0.0019578793066015333,0.02130624121276518,3,False,3.0
elevators,regression,tabpfn_2_6,whitening,0.31304616325657336,0.009765062455096509,0.2913365348116881,-0.07485789701891458,0.0030362610784833662,0.0019578793066015333,0.5509063913720171,3,False,5.0
houses,regression,catboost,ORACLE INVERSE — NOT A METHOD,0.09206317053680015,0.003788498639146475,0.12703816447315258,0.2752877870520719,62552.12867461718,62552.12867461718,0.0,3,False,2.0
houses,regression,catboost,pca_canonical,0.0,0.0,0.12703816447315258,1.0,62706.978338072775,62552.12867461718,0.00249208401513305,3,True,1.0
houses,regression,catboost,raw,0.12703816447315258,0.004282648837333562,0.12703816447315258,0.0,62552.12867461718,62552.12867461718,0.0,3,False,3.0
houses,regression,catboost,standardization,0.12935589629751718,0.0037364723802989293,0.12703816447315258,-0.018788394128625947,62644.67405986094,62552.12867461718,0.0014728383548939811,3,False,4.0
houses,regression,catboost,whitening,0.15206025141148835,0.0033433986512478486,0.12703816447315258,-0.19762773123826674,67118.84697116108,62552.12867461718,0.07301791543776506,3,False,5.0
houses,regression,tabicl_v2,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.17242450136713358,1.0,59926.526315743125,59926.526315743125,0.0,3,True,1.5
houses,regression,tabicl_v2,pca_canonical,0.0,0.0,0.17242450136713358,1.0,61294.46750223823,59926.526315743125,0.022826972804791717,3,False,1.5
houses,regression,tabicl_v2,raw,0.17242450136713358,0.0,0.17242450136713358,0.0,59926.526315743125,59926.526315743125,0.0,3,False,4.0
houses,regression,tabicl_v2,standardization,0.171654160317083,0.0,0.17242450136713358,0.004467700610659597,59978.67719065919,59926.526315743125,0.0008702469193907458,3,False,3.0
houses,regression,tabicl_v2,whitening,0.18885959721984066,0.0,0.17242450136713358,-0.09531763596469833,63055.77533405356,59926.526315743125,0.052218094568387406,3,False,5.0
houses,regression,tabm_d,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.1722123665273738,1.0,61030.51009960849,61030.51009960849,0.0,3,True,1.5
houses,regression,tabm_d,pca_canonical,0.0,0.0,0.1722123665273738,1.0,65323.06424949545,61030.51009960849,0.07035044999032812,3,False,1.5
houses,regression,tabm_d,raw,0.1722123665273738,0.0016842417609263885,0.1722123665273738,0.0,61030.51009960849,61030.51009960849,0.0,3,False,3.0
houses,regression,tabm_d,standardization,0.1984651856444458,0.0030523783304149095,0.1722123665273738,-0.15240443596467065,61037.16638575002,61030.51009960849,0.00011612931479785644,3,False,4.0
houses,regression,tabm_d,whitening,0.2038956900974437,0.00195417430538569,0.1722123665273738,-0.18398028885909898,66833.25915228605,61030.51009960849,0.09508666241117732,3,False,5.0
houses,regression,tabpfn_2_6,ORACLE INVERSE — NOT A METHOD,0.07016472735875202,0.02001180192925547,0.17701529239563632,0.6050272785095977,53741.31864570538,53741.31864570538,0.0,3,False,2.0
houses,regression,tabpfn_2_6,pca_canonical,0.009003289947530397,0.004000355490543567,0.17701529239563632,0.9492111137705098,59296.62277676541,53741.31864570538,0.10353386913806356,3,False,1.0
houses,regression,tabpfn_2_6,raw,0.17701529239563632,0.004169000344382602,0.17701529239563632,0.0,53741.31864570538,53741.31864570538,0.0,3,False,5.0
houses,regression,tabpfn_2_6,standardization,0.16820832328654034,0.007719252696957588,0.17701529239563632,0.049135964154790455,54828.98402171186,53741.31864570538,0.020346421287502154,3,False,3.0
houses,regression,tabpfn_2_6,whitening,0.1684228093595799,0.007281124458818779,0.17701529239563632,0.04761321745985403,60385.74955412257,53741.31864570538,0.12377257011907757,3,False,4.0
jannis,classification,catboost,ORACLE INVERSE — NOT A METHOD,0.049048441950514055,0.002065017538019955,0.053923070414038765,0.09059536349375052,0.8655251453110561,0.8655251453110561,0.0,3,False,2.0
jannis,classification,catboost,pca_canonical,0.03460920291074389,0.001466122125656459,0.053923070414038765,0.35777439859077037,0.9126879170733022,0.8655251453110561,0.05449322051041283,3,False,1.0
jannis,classification,catboost,raw,0.053923070414038765,0.0008957736446440227,0.053923070414038765,0.0,0.8655251453110561,0.8655251453110561,0.0,3,False,4.0
jannis,classification,catboost,standardization,0.052693092890889665,0.0014825395964476365,0.053923070414038765,0.022336615960620126,0.8739732061618835,0.8655251453110561,0.009763962473595655,3,False,3.0
jannis,classification,catboost,whitening,0.05836147767300439,0.00042077754968016255,0.053923070414038765,-0.08256679144973855,0.9142914346380904,0.8655251453110561,0.05634671994638019,3,False,5.0
jannis,classification,tabicl_v2,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.07755500700074473,1.0,0.8411064645592748,0.8411064645592748,0.0,3,True,1.0
jannis,classification,tabicl_v2,pca_canonical,0.00044143686983575,0.0,0.07755500700074473,0.9943080803302421,0.8992861152298218,0.8411064645592748,0.06917037631024787,3,False,2.0
jannis,classification,tabicl_v2,raw,0.07755500700074473,0.0,0.07755500700074473,0.0,0.8411064645592748,0.8411064645592748,0.0,3,False,4.0
jannis,classification,tabicl_v2,standardization,0.07755433020018196,0.0,0.07755500700074473,8.726716545393032e-06,0.8401623827845546,0.8411064645592748,-0.0011224283898648253,3,False,3.0
jannis,classification,tabicl_v2,whitening,0.09765903896021062,0.0,0.07755500700074473,-0.2592228759552926,0.9069306434263308,0.8411064645592748,0.07825903335738453,3,False,5.0
jannis,classification,tabm_d,ORACLE INVERSE — NOT A METHOD,0.0,0.0,0.08804267200182196,1.0,0.9220152157072663,0.9220152157072663,0.0,3,True,1.0
