dataset,problem_type,model,model_seed,split,reference_log_loss,reference_accuracy,reference_roc_auc,transformed_log_loss,transformed_accuracy,transformed_roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate,reference_rmse,reference_mae,transformed_rmse,transformed_mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman
credit-g,classification,controlled_mlp,0,validation,0.477493317820168,0.73125,0.8067336309523809,0.4745160760630701,0.7375,0.8089657738095238,0.0265203133278215,0.0184103492154642,0.0004386530145291,0.03125,,,,,,,
credit-g,classification,controlled_mlp,0,test,0.5014300395541572,0.78,0.7841666666666667,0.5022748693219062,0.78,0.785,0.0255082238482809,0.0175057354374783,0.0004328899631786,0.01,,,,,,,
credit-g,classification,controlled_mlp,1,validation,0.478117266605948,0.74375,0.8024553571428571,0.4804368072398943,0.74375,0.8022693452380952,0.0273199524888128,0.0188745562670464,0.0004975840090508,0.025,,,,,,,
credit-g,classification,controlled_mlp,1,test,0.4860750809982875,0.775,0.8034523809523809,0.4893755933180699,0.765,0.798452380952381,0.0291672197096983,0.0198940475165455,0.0005539512225726,0.02,,,,,,,
credit-g,classification,controlled_mlp,2,validation,0.4676971376662234,0.74375,0.8165922619047619,0.4754673950488226,0.7375,0.8052455357142857,0.0489844084829869,0.0387453997244999,0.0018511531350015,0.04375,,,,,,,
credit-g,classification,controlled_mlp,2,test,0.4882847949195546,0.78,0.7936904761904762,0.4903670402027286,0.785,0.7972619047619047,0.0458580423209552,0.0369048294799062,0.0017366390656515,0.055,,,,,,,
house_16H,regression,controlled_mlp,0,validation,,,,,,,,,,,38162.39879179057,21843.710403442383,38529.877879122,21153.60897064209,0.1896920459584683,0.9703766920448548,0.9423051613641564
house_16H,regression,controlled_mlp,0,test,,,,,,,,,,,37341.18288728799,20774.607913970947,35941.47600986091,19893.66159439087,0.2911569770363669,0.9547339859363376,0.947763780169602
house_16H,regression,controlled_mlp,1,validation,,,,,,,,,,,37920.13551164186,21853.579483032227,39226.574912427925,22456.133712768555,0.1210997539342606,0.984409024065767,0.9669961661707484
house_16H,regression,controlled_mlp,1,test,,,,,,,,,,,36092.04744572104,20799.263549804688,36978.37988297309,21061.23844909668,0.1491083134150064,0.9858016223278154,0.9753316295876676
house_16H,regression,controlled_mlp,2,validation,,,,,,,,,,,37264.3508162983,20738.157455444336,39167.33228742089,22044.93758392334,0.2193366721993754,0.9614443346417516,0.9372832742046232
house_16H,regression,controlled_mlp,2,test,,,,,,,,,,,34997.11178959657,19336.986518859863,35717.508833964435,19652.082569122314,0.3058108136911556,0.9491953442579842,0.9342622037399434
phoneme,classification,controlled_mlp,0,validation,0.2832975513834554,0.88671875,0.945267034990792,0.2916474659611057,0.875,0.9431307550644568,0.0702755534666659,0.042154123681126,0.0037191556739229,0.04296875,,,,,,,
phoneme,classification,controlled_mlp,0,test,0.3761535407606803,0.845703125,0.9134254143646408,0.3457479494651017,0.84765625,0.9184346224677716,0.066584164275776,0.0365121477031923,0.0032886837650752,0.044921875,,,,,,,
