dataset,openml_id,openml_version,panel,problem_type,model,model_seed,split,representation_id,variant,scope,member,is_reference,selected_feature,n_train,n_validation,n_test,n_raw_features,n_encoded_features,log_loss,accuracy,roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate,fit_seconds,predict_seconds,max_reconstruction_error,max_orthogonality_error,max_condition_number,rmse,mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,best_epoch,best_validation_loss,architecture,checkpoint,checkpoint_sha256,checkpoint_bytes,checkpoint_version,prediction_disagreement,task_error
adult,1590,2,development,classification,catboost,0,validation,rbf_reference,reference,reference,-1,True,fnlwgt,1024,256,512,14,134,0.2667917262889238,0.87109375,0.9419083648591844,0.0,0.0,0.0,0.0,0.7397451109718531,0.0039885200094431,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.2667917262889238
adult,1590,2,development,classification,catboost,0,test,rbf_reference,reference,reference,-1,True,fnlwgt,1024,256,512,14,134,0.3434629802718216,0.849609375,0.8935983447238071,0.0,0.0,0.0,0.0,0.7397451109718531,0.0039885200094431,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.3434629802718216
adult,1590,2,development,classification,catboost,0,validation,orthogonal_one__m0,orthogonal_one,one,0,False,fnlwgt,1024,256,512,14,134,0.2666331489626704,0.875,0.9441782261454392,0.0414092760758503,0.0240537230721891,0.0012983820710422,0.04296875,0.4445749220903963,0.006507083075121,2.557101502027146e-16,1.5558636408471462e-15,1.0000000000000009,,,,,,,,,,,,,0.0414092760758503,0.2666331489626704
adult,1590,2,development,classification,catboost,0,test,orthogonal_one__m0,orthogonal_one,one,0,False,fnlwgt,1024,256,512,14,134,0.335905129058799,0.84375,0.8970468367922755,0.0473198126886897,0.027499121806336,0.0015844438631208,0.029296875,0.4445749220903963,0.006507083075121,2.557101502027146e-16,1.5558636408471462e-15,1.0000000000000009,,,,,,,,,,,,,0.0473198126886897,0.335905129058799
adult,1590,2,development,classification,catboost,0,validation,orthogonal_one__m1,orthogonal_one,one,1,False,fnlwgt,1024,256,512,14,134,0.2727452299718398,0.87109375,0.9398907103825136,0.0432528264964957,0.0247940720101554,0.001394409078822,0.0234375,0.511841458035633,0.0060332298744469,2.7119444925864643e-16,1.7136090580164686e-15,1.0000000000000009,,,,,,,,,,,,,0.0432528264964957,0.2727452299718398
adult,1590,2,development,classification,catboost,0,test,orthogonal_one__m1,orthogonal_one,one,1,False,fnlwgt,1024,256,512,14,134,0.3393003731800311,0.84375,0.8942044433297803,0.0446689114676399,0.0261858622494829,0.0014800386619541,0.029296875,0.511841458035633,0.0060332298744469,2.7119444925864643e-16,1.7136090580164686e-15,1.0000000000000009,,,,,,,,,,,,,0.0446689114676399,0.3393003731800311
adult,1590,2,development,classification,catboost,0,validation,orthogonal_one__m2,orthogonal_one,one,2,False,fnlwgt,1024,256,512,14,134,0.2678326918595634,0.87890625,0.9432534678436316,0.0421919565135184,0.0255975790743757,0.0013239809136674,0.03125,0.5009830677881837,0.0074152920860797,1.899461386667453e-16,1.1842145550740694e-15,1.0000000000000009,,,,,,,,,,,,,0.0421919565135184,0.2678326918595634
adult,1590,2,development,classification,catboost,0,test,orthogonal_one__m2,orthogonal_one,one,2,False,fnlwgt,1024,256,512,14,134,0.3425414339189535,0.84375,0.8930549459736242,0.0481265302442658,0.0276760749804246,0.0016484359552811,0.041015625,0.5009830677881837,0.0074152920860797,1.899461386667453e-16,1.1842145550740694e-15,1.0000000000000009,,,,,,,,,,,,,0.0481265302442658,0.3425414339189535
adult,1590,2,development,classification,catboost,0,validation,orthogonal_one__m3,orthogonal_one,one,3,False,fnlwgt,1024,256,512,14,134,0.2743806235148279,0.8671875,0.9388818831441782,0.053218666024076,0.0288567493331858,0.002014309116996,0.04296875,0.5115656619891524,0.0095345550216734,2.1399139560768894e-16,8.701220795013269e-16,1.0000000000000004,,,,,,,,,,,,,0.053218666024076,0.2743806235148279
adult,1590,2,development,classification,catboost,0,test,orthogonal_one__m3,orthogonal_one,one,3,False,fnlwgt,1024,256,512,14,134,0.3344636268335862,0.853515625,0.8988860325621251,0.0546207138832103,0.0314669808874438,0.002127953935524,0.03515625,0.5115656619891524,0.0095345550216734,2.1399139560768894e-16,8.701220795013269e-16,1.0000000000000004,,,,,,,,,,,,,0.0546207138832103,0.3344636268335862
