dataset,problem_type,model,model_seed,variant,scope,task_original,oracle_best_basis_task,validation_selected_basis_task,oracle_best_relative_gain,validation_selected_relative_gain,validation_selected_representation_id
adult,classification,catboost,0,condition_le_3_all,all,0.3434629802718216,0.3326625727552064,0.3508010291001746,0.031445623362574934,-0.021364890104154877,condition_le_3_all__m4
adult,classification,catboost,0,orthogonal_all,all,0.3434629802718216,0.3415334546175317,0.3505846580688279,0.0056178562614312404,-0.020734921100871155,orthogonal_all__m5
adult,classification,catboost,0,orthogonal_one,one,0.3434629802718216,0.3344636268335862,0.335905129058799,0.026201814912085026,0.02200484956789582,orthogonal_one__m0
adult,classification,catboost,1,condition_le_3_all,all,0.3443807720011886,0.3343057858852976,0.3458574692334807,0.029255367706348755,-0.004287978169370631,condition_le_3_all__m0
adult,classification,catboost,1,orthogonal_all,all,0.3443807720011886,0.3426799451083174,0.3471638988067356,0.0049387974914735944,-0.008081539481354613,orthogonal_all__m3
adult,classification,catboost,1,orthogonal_one,one,0.3443807720011886,0.3374362405261789,0.3401612638863199,0.02016527065275805,0.012252449782109627,orthogonal_one__m7
adult,classification,catboost,2,condition_le_3_all,all,0.3440185948175237,0.3340545902286559,0.3454053579717571,0.028963564001977794,-0.004031070340744041,condition_le_3_all__m7
adult,classification,catboost,2,orthogonal_all,all,0.3440185948175237,0.3363844258948003,0.3458265992852183,0.022191151983435107,-0.005255542854169238,orthogonal_all__m5
adult,classification,catboost,2,orthogonal_one,one,0.3440185948175237,0.3318719758595632,0.3318719758595632,0.03530803026622273,0.03530803026622273,orthogonal_one__m7
adult,classification,controlled_mlp,0,condition_le_3_all,all,0.3857222773623063,0.3669393952758665,0.471852085698664,0.048695352041586044,-0.2232948766281823,condition_le_3_all__m6
adult,classification,controlled_mlp,0,orthogonal_all,all,0.3857222773623063,0.3797493509329042,0.3864659717903522,0.01548504398098787,-0.0019280567177284043,orthogonal_all__m5
adult,classification,controlled_mlp,0,orthogonal_one,one,0.3857222773623063,0.3849066076733397,0.3849196706336483,0.00211465537988741,0.002080789147431387,orthogonal_one__m6
adult,classification,controlled_mlp,1,condition_le_3_all,all,0.3891537121004433,0.371271566900171,0.380089419872321,0.04595136740121036,0.02329231855247669,condition_le_3_all__m7
adult,classification,controlled_mlp,1,orthogonal_all,all,0.3891537121004433,0.3685991382690751,0.3685991382690751,0.052818650297399544,0.052818650297399544,orthogonal_all__m6
adult,classification,controlled_mlp,1,orthogonal_one,one,0.3891537121004433,0.3845852859404288,0.391870255585973,0.01173938733709258,-0.006980643897413289,orthogonal_one__m1
adult,classification,controlled_mlp,2,condition_le_3_all,all,0.3904591603042051,0.3783738810547629,0.3816036135774175,0.03095145530719936,0.022679828333104664,condition_le_3_all__m7
adult,classification,controlled_mlp,2,orthogonal_all,all,0.3904591603042051,0.3820558263535476,0.3851734736115041,0.021521671931349882,0.013537105106159906,orthogonal_all__m5
adult,classification,controlled_mlp,2,orthogonal_one,one,0.3904591603042051,0.3885525555278745,0.3924137319419137,0.004882981295265711,-0.005005828615176618,orthogonal_one__m0
adult,classification,tabicl_v2,0,condition_le_3_all,all,0.3379666001365864,0.329568326203886,0.3365022370761075,0.024849419822273372,0.004332863247099309,condition_le_3_all__m7
adult,classification,tabicl_v2,0,orthogonal_all,all,0.3379666001365864,0.333565203955703,0.3368059569637107,0.013023169091574829,0.0034341948950182243,orthogonal_all__m0
adult,classification,tabicl_v2,0,orthogonal_one,one,0.3379666001365864,0.3419023398281339,0.3450846792716465,-0.011645351019766104,-0.02106148694037624,orthogonal_one__m1
adult,classification,tabicl_v2,1,condition_le_3_all,all,0.3379666001365864,0.329568326203886,0.3365022370761075,0.024849419822273372,0.004332863247099309,condition_le_3_all__m7
adult,classification,tabicl_v2,1,orthogonal_all,all,0.3379666001365864,0.333565203955703,0.3368059569637107,0.013023169091574829,0.0034341948950182243,orthogonal_all__m0
adult,classification,tabicl_v2,1,orthogonal_one,one,0.3379666001365864,0.3419023398281339,0.3450846792716465,-0.011645351019766104,-0.02106148694037624,orthogonal_one__m1
adult,classification,tabicl_v2,2,condition_le_3_all,all,0.3379666001365864,0.329568326203886,0.3365022370761075,0.024849419822273372,0.004332863247099309,condition_le_3_all__m7
adult,classification,tabicl_v2,2,orthogonal_all,all,0.3379666001365864,0.333565203955703,0.3368059569637107,0.013023169091574829,0.0034341948950182243,orthogonal_all__m0
adult,classification,tabicl_v2,2,orthogonal_one,one,0.3379666001365864,0.3419023398281339,0.3450846792716465,-0.011645351019766104,-0.02106148694037624,orthogonal_one__m1
adult,classification,tabm_d,0,condition_le_3_all,all,0.356501895108503,0.3445017253152048,0.3855315421089155,0.033660886401868644,-0.08142915198691213,condition_le_3_all__m4
adult,classification,tabm_d,0,orthogonal_all,all,0.356501895108503,0.3460953406047424,0.3713687754375289,0.029190741049478344,-0.04170210743059608,orthogonal_all__m4
adult,classification,tabm_d,0,orthogonal_one,one,0.356501895108503,0.3609879227687491,0.369568457232764,-0.01258346090665448,-0.036652153336475604,orthogonal_one__m3
adult,classification,tabm_d,1,condition_le_3_all,all,0.35738147967575,0.3409101428985944,0.3766316401459737,0.04608894896316385,-0.05386446014966769,condition_le_3_all__m4
adult,classification,tabm_d,1,orthogonal_all,all,0.35738147967575,0.3446047214712676,0.3755242732360242,0.03575103616470194,-0.05076590308130978,orthogonal_all__m1
adult,classification,tabm_d,1,orthogonal_one,one,0.35738147967575,0.3578083257142638,0.3912912280853859,-0.0011943708971742428,-0.0948838995249614,orthogonal_one__m0
adult,classification,tabm_d,2,condition_le_3_all,all,0.3514937240802613,0.3373706330395915,0.380611983917238,0.040180208274344216,-0.08284147864423243,condition_le_3_all__m4
adult,classification,tabm_d,2,orthogonal_all,all,0.3514937240802613,0.3537036927758562,0.3948146024956487,-0.00628736317092902,-0.12324794284376855,orthogonal_all__m1
