model,split,n_seeds,nrmse_mean,nrmse_std_across_seeds,rmse_mean,mae_mean,r2_mean,training_seconds_mean,operation_count_mean
CatBoost,future,5,0.6053693226530058,0.004770291445752042,126.46103463507586,90.89902859614492,0.6335097786462591,16.64559669038281,-1.0
CatBoost,iid,5,0.2632531872748446,0.00879837195010248,34.83494814402347,22.464653300743333,0.9306358303104577,16.64559669038281,-1.0
RandomForest,future,5,0.6255862057759991,0.0021300713139338866,130.6843209186056,93.2989837751634,0.6086382693797475,0.4957866634242237,-1.0
RandomForest,iid,5,0.3224977828428902,0.01634086171151007,42.65525431924369,27.50955841796023,0.8957815610522403,0.4957866634242237,-1.0
TabALU-Global,future,5,1.7341155317069639,0.14510458184451072,362.2549675218969,302.8986467176976,-2.024000949045141,0.0213140191975981,30.0
TabALU-Global,iid,5,0.626050584540829,0.01654034451273498,82.83960686001497,62.52200796968181,0.6078417991988063,0.0213140191975981,30.0
TabALU-SeasonRouter,future,5,9.779189121458803,4.181111164560423,2042.862642546921,1553.7080291928514,-108.61789232958768,0.03278242074884474,88.6
TabALU-SeasonRouter,iid,5,0.5899793521286234,0.020953997316879573,78.05702625230897,57.61347558366835,0.6515731080590451,0.03278242074884474,88.6
TypedFeatures-MLP,future,5,1.2887526070709827,0.1361007175384708,269.2191063871688,188.86691016355968,-0.6757020064838436,1.0355442599393427,-1.0
TypedFeatures-MLP,iid,5,0.24702542114770337,0.009760710458024064,32.6940998233877,20.110685989779576,0.9389022241318834,1.0355442599393427,-1.0
XGBoost,future,5,0.6024784324096781,0.0013881060139522424,125.85713060904182,90.27162400268324,0.6370181970105321,4.350810861820355,-1.0
XGBoost,iid,5,0.26724023176862277,0.009784202217525812,35.36394998011684,22.285185380158044,0.928506074033826,4.350810861820355,-1.0
