git_commit,git_dirty,dataset,seed,model,split,training_seconds,operation_count,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,TabALU-Global,iid,0.021357096964493394,30,60.59905623776783,80.56756546381786,0.6369045925201036,0.602573985067308,0.4363663704558447
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,TabALU-Global,future,0.021357096964493394,30,266.67955571223627,323.69366011173776,-1.4010198120664596,1.5495224464545392,1.0868272378854416
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,TabALU-SeasonRouter,iid,0.03258921089582145,95,55.121170993617405,74.97601423718487,0.6855547972595686,0.5607541375152139,0.4014946468756909
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,TabALU-SeasonRouter,future,0.03258921089582145,95,1737.553413726815,2385.2770096257887,-129.37820618472742,11.418327643955896,5.955488556270273
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,TypedFeatures-MLP,iid,1.8313700328581035,-1,20.348904913856728,33.47666686751256,0.9373119593705813,0.25037579880934707,0.14435404997605544
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,TypedFeatures-MLP,future,1.8313700328581035,-1,218.3321032584164,298.72980652829125,-1.0449583738402364,1.4300204102879919,1.0181073705559105
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,XGBoost,iid,3.453802523203194,-1,22.923787597147818,36.92252348816601,0.923742418859288,0.27614775237309475,0.16003670194824055
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,XGBoost,future,3.453802523203194,-1,90.04247919371117,125.44240372972611,0.6394079963899022,0.6004931336910505,0.3889320160405445
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,RandomForest,iid,0.4976259989198297,-1,27.249159199199404,42.785461312853734,0.8976017080524703,0.31999733115688594,0.17775103131888503
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,RandomForest,future,0.4976259989198297,-1,93.36750418370669,130.94238583422796,0.607094727856083,0.6268215632410207,0.38558642352988637
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,CatBoost,iid,16.488958626054227,-1,23.014471921118684,35.57310807467572,0.9292145661535668,0.2660553210263482,0.16167018765423935
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),0,CatBoost,future,16.488958626054227,-1,91.75282776270687,127.75301167516514,0.6260016802326807,0.6115540203181722,0.39510099531712617
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,TabALU-Global,iid,0.020990094169974327,30,62.05363168932544,82.66503095265082,0.5966105889128659,0.6351294443553487,0.5074490317613467
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,TabALU-Global,future,0.020990094169974327,30,295.64370724980205,354.27971408839954,-1.8762056030305154,1.6959379714572451,1.2149104605493255
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,TabALU-SeasonRouter,iid,0.03250062698498368,72,58.172639883784306,79.22668076579451,0.6294696802663897,0.6087120170767211,0.4671030310763318
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,TabALU-SeasonRouter,future,0.03250062698498368,72,839.3139354410534,1250.0232421366552,-34.80663696693791,5.983864718301869,2.3414052539990857
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,TypedFeatures-MLP,iid,0.8518626638688147,-1,19.583212413111895,30.554222784864113,0.9448909010357073,0.23475327253159384,0.15668560818928046
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,TypedFeatures-MLP,future,0.8518626638688147,-1,176.00419401811303,261.41976742390347,-0.5660448830061058,1.2514171498769329,0.7781633208451282
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,XGBoost,iid,3.4359770519658923,-1,21.798315690035352,33.7700404615795,0.9326800181151763,0.2594609448160237,0.16838274637858075
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,XGBoost,future,3.4359770519658923,-1,90.50790015561518,125.99907651889154,0.6362005140441629,0.6031579278728226,0.39157387430217405
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,RandomForest,iid,0.4929490180220455,-1,27.37080322435547,41.8694928485108,0.8965152798922637,0.32169041034469203,0.1986781346925742
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,RandomForest,future,0.4929490180220455,-1,93.68322662719837,131.01282480236236,0.6066718963073784,0.6271587547763497,0.3863319916796872
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,CatBoost,iid,16.77579277101904,-1,22.08528289334195,33.392121760374515,0.934178335716069,0.25655733137825343,0.18264105094894242
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),1,CatBoost,future,16.77579277101904,-1,91.9023376860286,127.12074222446772,0.6296944707420127,0.6085273447085079,0.39893663098071985
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,TabALU-Global,iid,0.020205772016197443,30,63.0581593610183,83.65719463227335,0.6176418171341593,0.6183511808558635,0.4736522235797762
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,TabALU-Global,future,0.020205772016197443,30,328.84418141540004,390.1807369764779,-2.4886628962996302,1.8677962673427824,1.356338621438939
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,TabALU-SeasonRouter,iid,0.03242071205750108,100,57.42415678293747,78.12576085122922,0.6665334202797311,0.5774656524160281,0.4374511137917989
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,TabALU-SeasonRouter,future,0.03242071205750108,100,2238.321990867759,2705.584976816242,-166.74505041655968,12.951642769029716,9.038901998934804
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,TypedFeatures-MLP,iid,0.7983060460537672,-1,20.089124917616648,33.81044543037407,0.9375452347885067,0.24990951404757147,0.15084695870687775
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,TypedFeatures-MLP,future,0.7983060460537672,-1,183.65518583922739,262.8158800308092,-0.5828164775570457,1.258100344788541,0.8348698685580518
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,XGBoost,iid,3.35335427406244,-1,21.97431436700112,34.93407940347464,0.9333250956356491,0.2582148414873762,0.16332913264786247
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,XGBoost,future,3.35335427406244,-1,90.34338300334774,125.92406353352105,0.6366335578866349,0.6027988405043304,0.3900837635570993
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,RandomForest,iid,0.4977387599647045,-1,27.428354293359014,41.58275215916283,0.9055307962392487,0.30735842881032444,0.18762948474752283
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,RandomForest,future,0.4977387599647045,-1,93.5575770370144,130.78849134795013,0.6080177356704557,0.6260848699094591,0.38621847674175735
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,CatBoost,iid,15.180383771890774,-1,21.93562222292,35.17927924325128,0.9323858379681276,0.26002723325042804,0.15811036283040328
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),2,CatBoost,future,15.180383771890774,-1,90.92472511028286,126.22603661711673,0.6348887213942207,0.6042443864909125,0.3915096937992259
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,TabALU-Global,iid,0.024973782943561673,30,64.01767514385806,84.23983011110884,0.6053273863787466,0.6282297458901905,0.4952565861642482
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,TabALU-Global,future,0.024973782943561673,30,288.53765484364146,347.3559294470127,-1.7648832054362704,1.6627937952242517,1.1818958408238809
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,TabALU-SeasonRouter,iid,0.03414221480488777,102,59.25818851531275,79.57211927964678,0.6478530939946465,0.593419671063703,0.44691409451435826
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,TabALU-SeasonRouter,future,0.03414221480488777,102,2320.2220824833967,2896.9069455131894,-191.30759958524385,13.867501562474903,9.222630205995625
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,TypedFeatures-MLP,iid,0.8611384599935263,-1,20.330494162114267,32.21239060922049,0.9422904164244926,0.24022819063446202,0.15082653049769396
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,UCI Bike Sharing (hourly),3,TypedFeatures-MLP,future,0.8611384599935263,-1,152.4724847982698,228.8276472138468,-0.199898049646964,1.0953985802651764,0.6415689844102088
