backbone,source,task,split,operator,validation_gain,validation_se,test_gain,validation_states,test_states,ordinary_dimensions,oof_finite
resnet,ACS,acs_occupation,0,harmonic,0.0044288762894040936,0.0011719200811671545,0.005024744529986824,86,88,10,True
resnet,ACS,acs_occupation,0,kernel_ridge,0.0168014734077918,0.003802815290420884,0.017679754876716035,86,88,10,True
resnet,ACS,acs_occupation,0,knn_1,0.002813537351873367,0.007339994797978068,0.005025954064133672,86,88,10,True
resnet,ACS,acs_occupation,0,knn_10,0.013829377743257676,0.003848724813222981,0.01682139537446375,86,88,10,True
resnet,ACS,acs_occupation,0,knn_3,0.013008230798112556,0.004628725583378048,0.011854671263147184,86,88,10,True
resnet,ACS,acs_occupation,0,knn_5,0.01502732655173547,0.004234126074975224,0.01913235343464684,86,88,10,True
resnet,ACS,acs_occupation,0,rbf,0.004297628039819987,0.0011677106355938763,0.004848300402592941,86,88,10,True
resnet,ACS,acs_occupation,0,rbf_double,0.0042248957033772655,0.0011677243733661147,0.004767352021000127,86,88,10,True
resnet,ACS,acs_occupation,0,rbf_half,0.004637990003130834,0.0011698852079152337,0.005225674264441643,86,88,10,True
resnet,ACS,acs_occupation,1,harmonic,0.0007090960327212539,0.0005696922781016449,0.0003002113444311378,86,88,10,True
resnet,ACS,acs_occupation,1,kernel_ridge,0.03154404618124321,0.005204196434365519,0.013155200332232225,86,88,10,True
resnet,ACS,acs_occupation,1,knn_1,0.01833441354057578,0.009548116301027174,-0.0007555760875535347,86,88,10,True
resnet,ACS,acs_occupation,1,knn_10,0.026728672200257944,0.004681333415144099,0.011791410130233815,86,88,10,True
resnet,ACS,acs_occupation,1,knn_3,0.03418329519532621,0.0066868511430435845,0.010860742285193747,86,88,10,True
resnet,ACS,acs_occupation,1,knn_5,0.03303717073925518,0.005972827688185914,0.012330072530408354,86,88,10,True
resnet,ACS,acs_occupation,1,rbf,0.00042603379388314215,0.0005477547928488693,0.00014147368476195887,86,88,10,True
resnet,ACS,acs_occupation,1,rbf_double,0.0002990238188063722,0.0005392768058424577,6.608102806367373e-05,86,88,10,True
resnet,ACS,acs_occupation,1,rbf_half,0.00101897680681562,0.0006000237399224858,0.0004872035732775197,86,88,10,True
resnet,NYC_TLC,tlc_pickup_zone,0,harmonic,0.004495023934912433,0.00994560335230796,0.02088309645940623,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,kernel_ridge,0.0150287895728637,0.009080412023939475,0.029097004487086374,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,knn_1,0.01804872431701091,0.009123926887039198,-0.0006990952729571628,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,knn_10,0.019152439437258556,0.0071895977102271426,0.037445306627166476,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,knn_3,0.02600493673714416,0.008368306071363749,0.02890308966796895,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,knn_5,0.023479208171637216,0.00799298445702574,0.03357269843245819,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,rbf,0.004144696575284541,0.009847024258868891,0.020391280252491033,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,rbf_double,0.0050146775647002305,0.008759759846034469,0.018754385594338834,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,0,rbf_half,0.00855121903996938,0.009425596595494183,0.02634124748773152,18,19,258,True
resnet,NYC_TLC,tlc_pickup_zone,1,harmonic,-0.0009713641192005181,0.009504551503492121,-0.0042370633472912575,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,kernel_ridge,0.026736373480752817,0.029882362835542544,0.01779344501467187,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,knn_1,0.007054478417091374,0.028507052984897946,-0.04352058103604437,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,knn_10,0.01958315877471214,0.018982749434701806,0.0007837050053590163,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,knn_3,0.02399366998427577,0.027594592985508537,0.015767789011650844,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,knn_5,0.024978628915736004,0.023835246819057954,0.007619559560472662,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,rbf,-0.004192349168811404,0.006276119970857475,-0.005217344622258563,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,rbf_double,-0.011723463831332926,0.004010708597910186,-0.007213889073946389,18,19,257,True
resnet,NYC_TLC,tlc_pickup_zone,1,rbf_half,0.013703031140705464,0.018509518404366827,0.008874387491784869,18,19,257,True
resnet,BTS,airline_origin_airport,0,harmonic,0.0011034616860990227,0.0005624135111807973,0.001230070568144146,43,43,328,True
resnet,BTS,airline_origin_airport,0,kernel_ridge,0.0023275217114196722,0.0010499123630282189,0.0015885424681583206,43,43,328,True
resnet,BTS,airline_origin_airport,0,knn_1,-0.010752629985636683,0.006798155663478615,-0.009564709266574059,43,43,328,True
resnet,BTS,airline_origin_airport,0,knn_10,0.0008817664088125797,0.0010061983087678674,-5.365555048126614e-05,43,43,328,True
resnet,BTS,airline_origin_airport,0,knn_3,-0.0012917429965043027,0.0020406800935415105,-0.0013222665552114843,43,43,328,True
resnet,BTS,airline_origin_airport,0,knn_5,0.0011796163368925406,0.0015300151431396076,-0.0009257191434142516,43,43,328,True
resnet,BTS,airline_origin_airport,0,rbf,0.001142564443195118,0.0005525495079429712,0.0012320412669328943,43,43,328,True
resnet,BTS,airline_origin_airport,0,rbf_double,0.0011156624021848274,0.0005012955464883063,0.0011677820881423225,43,43,328,True
resnet,BTS,airline_origin_airport,0,rbf_half,0.001029541950819796,0.0005769120706180054,0.001410965507229126,43,43,328,True
resnet,BTS,airline_origin_airport,1,harmonic,-1.3330977835069373e-05,0.00026776881163040957,-0.00016523856512827396,43,43,335,True
resnet,BTS,airline_origin_airport,1,kernel_ridge,-0.0010683280673182266,0.0008352256276930012,-0.000957887282170529,43,43,335,True
resnet,BTS,airline_origin_airport,1,knn_1,-0.01136028488024724,0.005459540957293274,-0.003933890794009366,43,43,335,True
resnet,BTS,airline_origin_airport,1,knn_10,-0.0019272841657621562,0.001221996381103005,-0.001567682733751162,43,43,335,True
resnet,BTS,airline_origin_airport,1,knn_3,-0.00474627645397379,0.0023461144173293727,-0.004074273988693263,43,43,335,True
resnet,BTS,airline_origin_airport,1,knn_5,-0.0032040912299215055,0.001884115801922288,-0.0017271465988895254,43,43,335,True
resnet,BTS,airline_origin_airport,1,rbf,-3.23198942495563e-05,0.0002720798479381677,-0.0001591919581065733,43,43,335,True
