dataset,task,model,representation,runs,test_error_mean,primary_gain_mean,primary_gain_std,wins,parameter_ratio_mean
miami_housing,regression,mlp,adaptive_atomic,1,90221.9140625,1.7572316451420067,0.0,1,0.9987240410861092
miami_housing,regression,mlp,adaptive_atomic_ungated,1,89354.671875,2.7015728755342314,0.0,1,0.9987240410861092
miami_housing,regression,mlp,all_eligible_singletons,1,92074.421875,-0.25996670173553016,0.0,0,0.9996261521653569
miami_housing,regression,mlp,baseline_ple,1,91835.6796875,0.0,0.0,0,1.0
miami_housing,regression,mlp,matched_random_0,1,94885.28125,-3.3207154048156835,0.0,0,0.9984036000849865
miami_housing,regression,resnet,adaptive_atomic,1,92460.5,1.6316506378554785,0.0,1,1.001002920756688
miami_housing,regression,resnet,adaptive_atomic_ungated,1,99851.828125,-6.231953249753226,0.0,0,1.001002920756688
miami_housing,regression,resnet,all_eligible_singletons,1,95515.703125,-1.6187675231139702,0.0,0,0.9981998858213292
miami_housing,regression,resnet,baseline_ple,1,93994.15625,0.0,0.0,0,1.0
miami_housing,regression,resnet,matched_random_0,1,92711.3203125,1.3648039289676586,0.0,1,0.9982838911496672
