dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
phoneme,classification,tabm_d,0,AdamW,optimizer,rbf_reference,-1,True,validation,0.31218793868664035,0.0,0.297325124964118,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,rbf_reference,-1,True,test,0.32947710892966187,0.0,0.297325124964118,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m0,0,False,validation,0.30435548965246495,0.0370654654817339,0.24802126409485936,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m0,0,False,test,0.32807911046451177,0.03650761596862677,0.24802126409485936,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m1,1,False,validation,0.3027532729247431,0.03585072339449056,0.2871160020586103,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m1,1,False,test,0.3278953397518832,0.03558940017116769,0.2871160020586103,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m2,2,False,validation,0.3042563716231779,0.036083389269322204,0.3209623550064862,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m2,2,False,test,0.32985683598774856,0.03935750576422648,0.3209623550064862,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m3,3,False,validation,0.30162162070463583,0.03505413466419211,0.3062030840665102,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m3,3,False,test,0.3266675182849551,0.03585188399417399,0.3062030840665102,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m4,4,False,validation,0.30399945784216675,0.03128410542711922,0.3188916160725057,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m4,4,False,test,0.3280995560793932,0.03459836427198902,0.3188916160725057,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m5,5,False,validation,0.30714475022122856,0.030326249255372018,0.4223211221396923,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m5,5,False,test,0.33157706205362647,0.033870413247804536,0.4223211221396923,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m6,6,False,validation,0.30677093581047704,0.029567577354597512,0.290458942996338,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m6,6,False,test,0.32870510029110517,0.033582600354314686,0.290458942996338,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m7,7,False,validation,0.30318823655310895,0.03538336806959686,0.28483311901800334,118.10791015625,3.4464901706738885e-16
phoneme,classification,tabm_d,0,AdamW,optimizer,orthogonal_all__m7,7,False,test,0.3281556379177467,0.03777233538140265,0.28483311901800334,118.10791015625,3.4464901706738885e-16
