dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,rbf_reference,-1,True,validation,0.6524152444340998,0.0,0.2003667219541967,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,rbf_reference,-1,True,test,0.691096529890026,0.0,0.2003667219541967,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m0,0,False,validation,0.6534596197730699,0.11924744615103396,0.19577378896065056,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m0,0,False,test,0.7009682458459643,0.11476472574169697,0.19577378896065056,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m1,1,False,validation,0.6567480966832981,0.1113669528065354,0.18619433091953397,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m1,1,False,test,0.6974803482852681,0.10386487631879193,0.18619433091953397,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m2,2,False,validation,0.6512997444891105,0.10698087823031976,0.15610723104327917,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m2,2,False,test,0.6987170198681026,0.1036834627946996,0.15610723104327917,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m3,3,False,validation,0.6525878477694177,0.1048176643496828,0.19342739693820477,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m3,3,False,test,0.6919644358116711,0.09282385647186037,0.19342739693820477,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m4,4,False,validation,0.6570411527967714,0.126860150076263,0.1771677969954908,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m4,4,False,test,0.7004096259931337,0.11453928656762602,0.1771677969954908,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m5,5,False,validation,0.6568371352217967,0.11142221397432826,0.1657464480958879,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m5,5,False,test,0.7030915249069617,0.11071995772908128,0.1657464480958879,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m6,6,False,validation,0.6558361095614664,0.1227414167930106,0.1846976508386433,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m6,6,False,test,0.6973175137078798,0.11371853985994029,0.1846976508386433,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m7,7,False,validation,0.6583610739415392,0.11971642648599766,0.18974899407476187,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,AdamW,optimizer,orthogonal_all__m7,7,False,test,0.7016711262368102,0.10484955875788907,0.18974899407476187,68.65185546875,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,rbf_reference,-1,True,validation,0.6660698850281797,0.0,0.36110973404720426,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,rbf_reference,-1,True,test,0.6919302816536271,0.0,0.36110973404720426,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m0,0,False,validation,0.6563229848955645,0.07191901979468826,0.32667135586962104,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m0,0,False,test,0.6951488675687996,0.08334906303956686,0.32667135586962104,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m1,1,False,validation,0.6580210250637193,0.08815437025374945,0.2974737479817122,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m1,1,False,test,0.6946716225251354,0.08927629071012111,0.2974737479817122,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m2,2,False,validation,0.6547628757957437,0.10286062783531652,0.3668720980640501,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m2,2,False,test,0.7049979044375837,0.10864209517355426,0.3668720980640501,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m3,3,False,validation,0.6589767454639319,0.10936050917642524,0.35333037888631225,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m3,3,False,test,0.691418198659087,0.11551796445542252,0.35333037888631225,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m4,4,False,validation,0.6559815102252847,0.11035468978112545,0.40316887688823044,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m4,4,False,test,0.6997871055806275,0.11945123799285107,0.40316887688823044,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m5,5,False,validation,0.658666532827069,0.06978229547494802,0.3556605828925967,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m5,5,False,test,0.6988915903088726,0.07903997842603812,0.3556605828925967,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m6,6,False,validation,0.6577871236837266,0.0976938112256094,0.35228343517519534,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m6,6,False,test,0.6983795466631494,0.09775214025236122,0.35228343517519534,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m7,7,False,validation,0.6635671666739603,0.07182223479272917,0.3374435470905155,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockScalarAdam,optimizer,orthogonal_all__m7,7,False,test,0.7012312460118689,0.07266692041848496,0.3374435470905155,68.66259765625,3.4532474990831897e-16
wine-quality-red,regression,controlled_mlp,0,BlockAdam,optimizer,rbf_reference,-1,True,validation,0.6622417233978245,0.0,0.34635812998749316,68.66796875,3.4532474990831897e-16
