dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,rbf_reference,-1,True,validation,0.6615875034260037,0.0,0.29081600601784885,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,rbf_reference,-1,True,test,0.686742563498589,0.0,0.29081600601784885,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m0,0,False,validation,0.6680517441477766,0.07139841387434682,0.22994649084284902,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m0,0,False,test,0.6880024671293189,0.07358531484174542,0.22994649084284902,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m1,1,False,validation,0.6646044922387019,0.07085519753590602,0.2800876908004284,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m1,1,False,test,0.6867129087516011,0.07215881062613523,0.2800876908004284,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m2,2,False,validation,0.6621313978807515,0.08416330471046243,0.22928662388585508,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m2,2,False,test,0.6819636717466553,0.08299761001529035,0.22928662388585508,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m3,3,False,validation,0.6646379243161855,0.06834429127681756,0.22999072587117553,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m3,3,False,test,0.684422293545434,0.07747585528707879,0.22999072587117553,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m4,4,False,validation,0.6641433637282383,0.12355313323319585,0.2497920929454267,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m4,4,False,test,0.690961054275671,0.12176871608333995,0.2497920929454267,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m5,5,False,validation,0.6658527402118469,0.07059018667782366,0.4135382699314505,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m5,5,False,test,0.6907439744627597,0.06729127126923051,0.4135382699314505,119.25,3.4532474990831897e-16
wine-quality-red,regression,tabm_d,0,AdamW,optimizer,orthogonal_all__m6,6,False,validation,0.667751667588289,0.06530579965285427,0.2872843488585204,119.25,3.4532474990831897e-16
