dataset,seed,model,parameters,train_seconds,temperature,latency_ms_per_context,crps_point,coverage50_point,coverage90_point,crps_difference,coverage50_difference,coverage90_difference,crps_dense,coverage50_dense,coverage90_dense,crps_scaled_dense,coverage50_scaled_dense,coverage90_scaled_dense,macro_crps,coverage50,coverage90,coverage_error
JenaWeather,20261301,lowrank4,136236,14.347292067948729,1.0,0.010504722695259261,0.11459848284721375,0.5888671875,0.9423828125,0.16945651173591614,0.6171875,0.931640625,0.17357775568962097,0.5498046875,0.896484375,0.26442384719848633,0.5263671875,0.90234375,0.1805141568183899,0.570556640625,0.918212890625,0.04438476562499999
JenaWeather,20261301,lowrank4_calibrated,136236,14.347292067948729,0.8664829134941101,0.0044693504150927765,0.11426068842411041,0.5654296875,0.931640625,0.1685967594385147,0.591796875,0.9169921875,0.17339485883712769,0.529296875,0.876953125,0.2639651894569397,0.5048828125,0.8857421875,0.18005436658859253,0.5478515625,0.90283203125,0.02534179687499999
JenaWeather,20261302,lowrank4,136236,15.000184571137652,1.0,0.004630354624168831,0.11575917154550552,0.5947265625,0.9267578125,0.17318744957447052,0.6103515625,0.91796875,0.16341623663902283,0.513671875,0.900390625,0.2406385987997055,0.5185546875,0.90234375,0.17325036227703094,0.559326171875,0.911865234375,0.03559570312499999
JenaWeather,20261302,lowrank4_calibrated,136236,15.000184571137652,0.8392400145530701,0.0043848183395311935,0.11531836539506912,0.564453125,0.908203125,0.17259405553340912,0.5859375,0.9052734375,0.16332072019577026,0.49609375,0.876953125,0.24056009948253632,0.4775390625,0.8916015625,0.17294831573963165,0.531005859375,0.8955078125,0.01774902343750001
JenaWeather,20261303,lowrank4,136236,15.221647411817685,1.0,0.004565715698845452,0.11471979320049286,0.517578125,0.9130859375,0.18987800180912018,0.5576171875,0.916015625,0.1726599484682083,0.5048828125,0.880859375,0.24965474009513855,0.498046875,0.876953125,0.18172812461853027,0.51953125,0.896728515625,0.011401367187500011
JenaWeather,20261303,lowrank4_calibrated,136236,15.221647411817685,0.8526095747947693,0.004639401367967366,0.11456979811191559,0.4833984375,0.900390625,0.18959978222846985,0.53125,0.8994140625,0.17292672395706177,0.4765625,0.86328125,0.24994438886642456,0.4677734375,0.8623046875,0.18176017701625824,0.48974609375,0.88134765625,0.014453125000000011
Electricity,20261301,lowrank4,136236,15.248939821962267,1.0,0.004672645445680246,0.16556423902511597,0.4775390625,0.875,0.23215097188949585,0.4892578125,0.8564453125,0.17381295561790466,0.484375,0.861328125,0.2622356712818146,0.4599609375,0.8662109375,0.20844095945358276,0.477783203125,0.86474609375,0.02873535156250001
Electricity,20261301,lowrank4_calibrated,136236,15.248939821962267,1.327930212020874,0.004304893536755117,0.1658671349287033,0.53515625,0.91796875,0.23292681574821472,0.5595703125,0.90234375,0.17401523888111115,0.5322265625,0.8955078125,0.26277416944503784,0.517578125,0.90625,0.20889586210250854,0.5361328125,0.905517578125,0.02082519531249999
Electricity,20261302,lowrank4,136236,15.149156575091183,1.0,0.0046045058752497425,0.1791481375694275,0.4814453125,0.8671875,0.225837841629982,0.517578125,0.8701171875,0.19080331921577454,0.451171875,0.830078125,0.28694409132003784,0.4814453125,0.84375,0.22068336606025696,0.48291015625,0.852783203125,0.03215332031250001
Electricity,20261302,lowrank4_calibrated,136236,15.149156575091183,1.3413933515548706,0.004332200205681147,0.1796262264251709,0.5419921875,0.9052734375,0.2271137833595276,0.583984375,0.9072265625,0.19026580452919006,0.509765625,0.8720703125,0.28696388006210327,0.533203125,0.8837890625,0.22099243104457855,0.542236328125,0.89208984375,0.02507324218750001
Electricity,20261303,lowrank4,136236,14.197041696868837,1.0,0.004501625880948268,0.1796530783176422,0.4658203125,0.849609375,0.2364574819803238,0.505859375,0.8515625,0.179684117436409,0.453125,0.84375,0.2799586355686188,0.462890625,0.837890625,0.21893832087516785,0.471923828125,0.845703125,0.04118652343750001
Electricity,20261303,lowrank4_calibrated,136236,14.197041696868837,1.342116355895996,0.004335798848842387,0.17971991002559662,0.5234375,0.896484375,0.23707285523414612,0.5537109375,0.8935546875,0.17960339784622192,0.5205078125,0.8779296875,0.27939373254776,0.521484375,0.8896484375,0.21894745528697968,0.52978515625,0.889404296875,0.02019042968750001
Traffic,20261301,lowrank4,136236,14.682290873955935,1.0,0.004539631845545955,0.23950928449630737,0.451171875,0.7998046875,0.3173704743385315,0.4423828125,0.806640625,0.30148011445999146,0.3359375,0.712890625,0.46687763929367065,0.333984375,0.724609375,0.33130937814712524,0.390869140625,0.760986328125,0.12407226562500001
Traffic,20261301,lowrank4_calibrated,136236,14.682290873955935,1.4924962520599365,0.004288599484425504,0.23918543756008148,0.529296875,0.841796875,0.3159365653991699,0.521484375,0.8486328125,0.29679226875305176,0.4033203125,0.7880859375,0.4602387547492981,0.4052734375,0.80078125,0.3280382752418518,0.46484375,0.81982421875,0.05766601562500001
Traffic,20261302,lowrank4,136236,15.181279549840838,1.0,0.004415010607772274,0.23004156351089478,0.4609375,0.8212890625,0.32954245805740356,0.453125,0.80859375,0.2888079285621643,0.376953125,0.75390625,0.41661784052848816,0.3701171875,0.7255859375,0.3162524700164795,0.415283203125,0.77734375,0.10368652343750001
Traffic,20261302,lowrank4_calibrated,136236,15.181279549840838,1.3672088384628296,0.004301607532397611,0.22961468994617462,0.5205078125,0.8544921875,0.32809197902679443,0.5009765625,0.8447265625,0.2863447070121765,0.4267578125,0.791015625,0.4121777415275574,0.4150390625,0.787109375,0.31405726075172424,0.4658203125,0.8193359375,0.05742187500000001
Traffic,20261303,lowrank4,136236,13.93308693706058,1.0,0.004620897470886121,0.21885433793067932,0.455078125,0.818359375,0.3121674060821533,0.427734375,0.8046875,0.27465254068374634,0.3388671875,0.740234375,0.4029809236526489,0.3486328125,0.7265625,0.3021637797355652,0.392578125,0.7724609375,0.11748046875000001
Traffic,20261303,lowrank4_calibrated,136236,13.93308693706058,1.40818452835083,0.004342107558841235,0.2182120382785797,0.5283203125,0.85546875,0.31068381667137146,0.4970703125,0.8427734375,0.27108168601989746,0.39453125,0.7939453125,0.39841893315315247,0.4140625,0.80078125,0.2995991110801697,0.45849609375,0.8232421875,0.05913085937500001
