dataset,seed,model,parameters,train_seconds,steps,batch_size
JenaWeather,20261301,lowrank4,136236,14.347292067948729,3000,512
JenaWeather,20261302,lowrank4,136236,15.000184571137652,3000,512
JenaWeather,20261303,lowrank4,136236,15.221647411817685,3000,512
Electricity,20261301,lowrank4,136236,15.248939821962267,3000,512
Electricity,20261302,lowrank4,136236,15.149156575091183,3000,512
Electricity,20261303,lowrank4,136236,14.197041696868837,3000,512
Traffic,20261301,lowrank4,136236,14.682290873955935,3000,512
Traffic,20261302,lowrank4,136236,15.181279549840838,3000,512
Traffic,20261303,lowrank4,136236,13.93308693706058,3000,512
