method,mean_residual,relative_to_canonical,cell_wins,cells,source_wins,sources,mean_relative_reduction,median_relative_reduction,clustered_95_low,clustered_95_high
OC2-COUPLED,0.0006929229307840182,0.48963889211894646,144,144,12,12,0.5589449323357308,0.7244782596574524,0.38525954491769593,0.7403958021120713
CANONICAL-INDEPENDENT,0.0014151713475727917,1.0,0,144,0,12,0.0,0.0,0.0,0.0
OC1-INDEPENDENT,0.001511801143304155,1.0682813398512456,7,144,0,12,-0.06713161985553023,-0.06709540007183423,-0.07375349219695482,-0.06090249646913631
IID-JOINT,0.0015127856698293751,1.0689770340701181,2,144,0,12,-0.06890253904657954,-0.07082747307131987,-0.0764375055177224,-0.06171365465871179
OC2-INDEPENDENT,0.00151368009126249,1.0696090574888009,5,144,0,12,-0.07001710886633412,-0.07029839989400666,-0.0775851829651116,-0.06272538638060064
SRS-JOINT,0.001514003932229805,1.0698378926527337,7,144,0,12,-0.06976019370728963,-0.0665421631765275,-0.0777311361991992,-0.062094090050589745
