dataset,model,task,split_seed,training_size_label,training_rows,budget,budget_order,full_product,population,factor_count,schema_only_variance,stochastic_only_variance,schema_stochastic_interaction,canonical_joint_expectation_distance,total_nuisance_variance,main_fraction,pair_fraction,main_pair_fraction,triple_fraction,higher_fraction,effective_interaction_order,fanova_reconstruction_error,canonical16_residual,iid16_residual,srs16_residual,oc216_residual,canonical32_residual,iid32_residual,srs32_residual,oc232_residual,best_epoch_mean,stopped_epoch_mean,final_training_loss_mean,final_validation_loss_mean,final_gradient_norm_mean,final_parameter_update_norm_mean,oc2_srs_ratio_b16,oc2_canonical_ratio_b16,oc2_srs_ratio_b32,corner
bank_marketing_subscription,ft_transformer,classification,2026082801,2048,2048,20,20,True,256,4,0.002100061121769358,0.0004878422412844522,0.01388578469826383,0.0006738708456220433,0.016473688061317642,0.05897158036671838,0.2485732449997269,0.3075448253664453,0.4501663121874619,0.2422888624460929,2.8757724567129297,3.469446951953614e-18,0.0016704963684063725,0.00208395945404641,0.0019284572383032807,0.0019256147473137577,0.0005456638187965126,0.001029833111353354,0.0009179106993136423,0.0009104726101534274,7.33984375,20.0,0.16273448142055713,0.40568785613868386,1.081009447073908,0.47854181490299297,0.9985260285096993,1.15272010387593,0.9918967180949337,small/20
bank_marketing_subscription,ft_transformer,classification,2026082801,2048,2048,convergence,500,True,256,4,0.00022186090642329243,4.354220120263368e-05,0.0016202692301209504,4.436020380784045e-05,0.0018856723377468766,0.046914171518339716,0.2426729688680892,0.2895871403864289,0.4588357426166897,0.25157711699688123,2.9150758050921133,4.336808689942018e-19,0.00018362122956089565,0.00023403922757268667,0.0002218745200206648,0.0002217716583188797,5.9892171027839326e-05,0.00011848196056418435,0.00010575234463950933,0.00010449951193510145,7.33203125,37.33203125,0.0446028187950418,0.7402736899675801,0.9984623590474062,0.338480666236348,0.9995363969608789,1.207766982332138,0.9881531448907487,small/convergence
bank_marketing_subscription,ft_transformer,classification,2026082801,full,27126,20,20,True,256,4,0.0010919428262432277,0.0002706903595568628,0.007526528973396158,0.000409747746698375,0.008889162159196249,0.05703679297736946,0.25247686604460784,0.3095136590219773,0.45015902682037195,0.24032731415765066,2.8737768621583046,3.469446951953614e-18,0.0008325538675258033,0.0011132838680689445,0.0010426492311568702,0.001050556074143907,0.0002790119784872063,0.0005478147900883094,0.0004853693980339289,0.0004921571040739235,5.3828125,20.0,0.21864971822013937,0.3263825495960191,0.7690445814215074,2.1544206719083565,1.007583416119977,1.2618475694142963,1.0139846188644965,largest/20
bank_marketing_subscription,ft_transformer,classification,2026082801,full,27126,convergence,500,True,256,4,0.00019387346146708493,4.7699286221177325e-05,0.0014106269085700385,7.225388648865199e-05,0.001652199656258301,0.05513242719526543,0.2439703234752088,0.2991027506704742,0.4514887297867646,0.24940851954276108,2.895173341677022,2.168404344971009e-19,0.0001519906491574721,0.00021101303004886183,0.00019042887714194648,0.00019526158038235807,5.111968717339852e-05,0.000103000843190083,9.055613211883878e-05,9.063897704387046e-05,5.3828125,35.3828125,0.12165231464191212,0.5504245185293257,1.0004125161699555,1.9493398715517447,1.025377995779544,1.2846946931587515,1.0009148461080797,largest/convergence
bank_marketing_subscription,mlp,classification,2026082801,2048,2048,20,20,True,256,4,2.3583169607969624e-05,6.677906683161314e-06,0.00016365920171452307,7.799155225588186e-06,0.00019392027800565402,0.06457881241434298,0.22394696883164486,0.2885257812459878,0.45275627604677887,0.25871794270723325,2.9056133490469027,2.710505431213761e-20,1.643588143621005e-05,2.448806230968785e-05,2.1936621749121343e-05,2.3349003461135095e-05,5.447626814675203e-06,1.220400774300533e-05,1.0585412426024264e-05,1.0634667498631235e-05,14.65625,20.0,0.29493498107331106,0.30787965399213135,0.13316091135732303,0.222231644287338,1.064384649932268,1.4206115778916901,1.0046531085067483,small/20
bank_marketing_subscription,mlp,classification,2026082801,2048,2048,convergence,500,True,256,4,2.2773519557971214e-05,4.683089087777544e-06,0.0001462625661657976,1.0159719583502155e-05,0.00017371917481154636,0.05249277316811408,0.2643122156331225,0.3168049888012366,0.43646913821045435,0.24672587298830903,2.8774281110189586,8.131516293641283e-20,1.529532178655857e-05,2.106032985472417e-05,2.0738290634017514e-05,2.0634966697687075e-05,5.234565376203262e-06,1.0831085614951701e-05,9.59677607430358e-06,9.33004449872424e-06,14.6015625,44.6015625,0.19388026923661528,0.6558745194924995,0.311650709484581,0.21326734455720942,0.9950177216553734,1.3491031431467464,0.9722061269832539,small/convergence
bank_marketing_subscription,mlp,classification,2026082801,full,27126,20,20,True,256,4,4.3734160497962914e-05,8.604289698924137e-06,0.0003043658302978171,7.317313643431271e-06,0.0003567042804947042,0.05030457512970625,0.24285953782812708,0.29316411295783334,0.45727194277308786,0.2495639442690787,2.90609525618154,-1.0842021724855044e-19,3.186803910857711e-05,4.634468994387513e-05,4.13218032969527e-05,4.150611056806071e-05,1.053502124826778e-05,2.144232817764078e-05,1.9820271318303738e-05,1.8893972918371735e-05,18.30859375,20.0,0.28414743750955407,0.27176044264342636,0.139490900996196,0.8019960499611911,1.004460291090965,1.302436915765224,0.9532650999042289,largest/20
bank_marketing_subscription,mlp,classification,2026082801,full,27126,convergence,500,True,256,4,7.85887577358128e-05,1.3032063487352755e-05,0.0005346925008841872,2.24082036508798e-05,0.0006263133221073528,0.054690076509905754,0.2586951595116861,0.31338523602159185,0.4334514077407375,0.2531633562376706,2.8850880437061726,0.0,5.578197113311598e-05,7.586797988819635e-05,7.524167804164226e-05,7.485957114039755e-05,1.886133199616418e-05,3.949531701356119e-05,3.442679266882621e-05,3.470438708881563e-05,34.06640625,64.06640625,0.21063304268448121,0.3686549423728138,0.2515857047030233,1.0257866024370486,0.9949216058015978,1.3420029737162837,1.0080633250578925,largest/convergence
bank_marketing_subscription,resnet,classification,2026082801,2048,2048,20,20,True,256,4,0.0012188774337882767,0.00030418123784984984,0.00842399350701373,0.0003405522787517642,0.009947052178651857,0.05766094707285679,0.2576734489243877,0.3153343959972445,0.4433682372385727,0.2412973667641829,2.8683020236940817,0.0,0.0009392127413220986,0.0012309013014434114,0.00117044777015037,0.0011599479526193351,0.00030936068188085544,0.000618084244230128,0.0005412707663914167,0.000535250168194739,4.85546875,20.0,0.16020220617065206,0.45045854803174734,0.7043541745678594,0.586326480912227,0.9910292301811248,1.2350215255667367,0.9888769197035777,small/20
bank_marketing_subscription,resnet,classification,2026082801,2048,2048,convergence,500,True,256,4,0.0002036050842514093,4.578138255850706e-05,0.0014647085432479968,5.3387329028254514e-05,0.0017140950100579132,0.060570749737140536,0.2487966262227408,0.30936737595988134,0.4355781175104302,0.2550545065296885,2.885116380832667,6.505213034913027e-19,0.0001653900864498161,0.00020954672100556508,0.00020293280073550597,0.00020074063204099545,5.451104084572666e-05,0.00010513391552285898,9.359508809404851e-05,9.372450231291885e-05,4.85546875,34.85546875,0.038297076697844545,0.9027006044052541,0.6706091015863336,0.47560014405620404,0.9891975634960674,1.2137404142533397,1.0013827031044653,small/convergence
