method,mean_residual,mean_relative_reduction_vs_none,median_relative_reduction_vs_none,cell_wins,cells,clustered_95_low,clustered_95_high
all_factors,0.0018648741721682082,0.4759451798540483,0.4588996922645995,48,48,0.3259029955777856,0.6259873641303109
schema_initialization,0.001988861991001338,0.3397425039344093,0.30111038361071024,48,48,0.17630179708762017,0.5031832107811984
schema_order,0.0022851578176086122,0.2758614288503429,0.30106126176041165,48,48,0.2570829249636927,0.302399419744673
initialization_order,0.0023822986666971096,0.23213142069894907,0.2247880740172296,48,48,0.19731974495607124,0.2754751204687514
schema,0.0024566204432552143,0.1301734013672586,0.13371522342800374,48,48,0.12047085142529315,0.13563144935111696
initialization,0.002612098100946597,0.07042993737148769,0.060981258784813475,48,48,0.037096207095326024,0.10376366764764935
order,0.0026373920570225257,0.14021594809810015,0.12732299060985047,47,48,0.10714113614348973,0.1667429014905363
none,0.0027758099551853464,0.0,0.0,0,48,0.0,0.0
