source,family,operator,predicted_delta,actual_delta,predicted_se,support_distance,cover_radius,raw_smoothness
beijing_pm25,UCI_BEIJING_AIR,domain_specific,0.0004190841246847,0.0011080046314472,0.000474822557616,15.91499483777379,24.84736475912932,0.0116518940130871
beijing_pm25,UCI_BEIJING_AIR,knn_3,0.001401289574965,0.0023076152996941,0.0006426090541697,15.91499483777379,24.84736475912932,0.0116518940130871
beijing_pm25,UCI_BEIJING_AIR,rbf,0.0004731676337802,0.0008993107652046,0.0001286371264573,15.91499483777379,24.84736475912932,0.0116518940130871
divvy_trip_duration,CHICAGO_DIVVY,domain_specific,0.0007168398094482,0.0013137764354858,0.0015442654162991,0.5833092247245469,2.7679092874880062,0.1822609748803914
divvy_trip_duration,CHICAGO_DIVVY,knn_3,0.040516880751216,0.04641766554086,0.0086648863084865,0.5833092247245469,2.7679092874880062,0.1822609748803914
divvy_trip_duration,CHICAGO_DIVVY,rbf,0.0226964418422928,0.0182446626626408,0.0044822850610681,0.5833092247245469,2.7679092874880062,0.1822609748803914
noaa_ghcn_tmax,NOAA_GHCN,domain_specific,0.0033522567815509,0.0018400731949189,0.0020047394092195,429.37974869182,939.7926014635626,0.6343334153244693
noaa_ghcn_tmax,NOAA_GHCN,knn_3,0.0176540481764627,0.0259087021902043,0.0104739117904245,429.37974869182,939.7926014635626,0.6343334153244693
noaa_ghcn_tmax,NOAA_GHCN,rbf,0.0035001087477374,0.001938395008231,0.0023342386803671,429.37974869182,939.7926014635626,0.6343334153244693
census_cbp_naics,official_industry_hierarchy,domain_specific,0.021968491397785967,0.02218799918212573,0.0007271629681972244,3.746770037545098,8.222222222222221,0.9228692122611356
census_cbp_naics,official_industry_hierarchy,knn_3,0.019668031213706933,0.021076247483491167,0.0008167703311983106,3.746770037545098,8.222222222222221,0.9228692122611356
census_cbp_naics,official_industry_hierarchy,rbf,0.00020362156812066666,0.0002014498118254319,2.2260197648283045e-05,3.746770037545098,8.222222222222221,0.9228692122611356
