source,task,field,metric,train_states,test_states,rows,operators
ACS,acs_industry,field_state,unweighted shortest path on frozen official-code prefix hierarchy,186,48,237619,9
ACS,acs_occupation,field_state,unweighted shortest path on frozen official-code prefix hierarchy,345,88,246957,9
BTS,airline_destination_airport,field_state,haversine distance between official FAA airport coordinates,169,43,231437,9
BTS,airline_origin_airport,field_state,haversine distance between official FAA airport coordinates,172,43,231345,9
CITI_BIKE,citibike_start_station,field_state,haversine distance between target-independent pooled published station coordinates,1204,301,338331,9
NYC_TLC,tlc_dropoff_zone,field_state,haversine distance between official taxi-zone polygon centroids,133,34,245946,9
NYC_TLC,tlc_pickup_zone,field_state,haversine distance between official taxi-zone polygon centroids,73,19,254000,9
STRING_BENCHMARK,employee_salaries,field_state,one minus padded character-trigram Jaccard similarity,73,19,5905,9
STRING_BENCHMARK,medical_charges,field_state,one minus padded character-trigram Jaccard similarity,80,20,81759,9
