task,split,operator,state_a,state_b,support_a,support_b,delta_a,delta_b,local_theory_a,local_theory_b
acs_industry,0,harmonic,492,3345,4.0,4.0,0.0076785474398563,-0.0032205031841447,0.0076714939714887,-0.0032277915334381
acs_industry,0,harmonic,6212,5615,4.0,4.0,-0.0043140273314585,0.0012902696321167,-0.0043209623191216,0.0012833088650889
acs_industry,0,harmonic,4599,2213M,4.0,4.0,0.0091144118925065,-0.0015902666473816,0.0091070925594456,-0.0015972863903672
acs_industry,0,harmonic,2213M,3262M,4.0,4.0,-0.0015902666473816,0.0028733459334959,-0.0015972863903672,0.0028658699588057
acs_industry,0,harmonic,3262M,424M,4.0,4.0,0.0028733459334959,-0.0058001306497388,0.0028658699588057,-0.0058074286124537
acs_industry,0,harmonic,325M,4231,4.0,4.0,-0.0110520192067114,0.0059194615490103,-0.0110592845362408,0.0059120680610861
acs_industry,0,harmonic,4231,4247,4.0,4.0,0.0059194615490103,-0.0110900091056866,0.0059120680610861,-0.0110973070684015
acs_industry,0,harmonic,4247,44414,4.0,4.0,-0.0110900091056866,0.0047639450566197,-0.0110973070684015,0.0047570201231549
acs_industry,0,harmonic,44414,7112,4.0,4.0,0.0047639450566197,-0.0006301915576284,0.0047570201231549,-0.0006372957494868
acs_industry,0,harmonic,7112,6242,4.0,4.0,-0.0006301915576284,0.0073218563470059,-0.0006372957494868,0.0073149242235399
acs_industry,0,harmonic,561M,3331M,4.0,4.0,0.0007537541230369,-0.0080246741009266,0.0007467933560091,-0.0080320718863319
acs_industry,0,harmonic,3252,32221,4.0,4.0,-0.0040240700885936,0.00534145035996,-0.0040313354181229,0.0053339402413841
acs_industry,0,harmonic,32221,7111,4.0,4.0,0.00534145035996,-0.0005756354530591,0.0053339402413841,-0.0005827396449175
acs_industry,0,harmonic,7111,6243,4.0,4.0,-0.0005756354530591,0.0121061768690294,-0.0005827396449175,0.0120992447455635
acs_industry,0,harmonic,4561Z,8112,4.0,4.0,0.0014397667296273,-0.0026833379761226,0.0014326164344926,-0.0026903717478091
acs_industry,0,harmonic,8112,115,4.0,4.0,-0.0026833379761226,0.0110848562562345,-0.0026903717478091,0.0110777049572313
