predictor,n,pearson,spearman,mae,sign_accuracy,calibration_slope,harmful
predicted_delta,12,0.9740837225590886,0.8881118881118882,0.002164044888287127,0.8333333333333334,0.9517888688642208,0
support_distance,12,0.07609197123817371,-0.3670584895244009,0.14440542422662317,0.75,0.004641506360470784,0
cover_radius,12,0.07887182235122665,-0.3670584895244009,0.2186993727535608,0.75,0.003093707140271205,0
raw_smoothness,12,-0.5077206029930098,-0.41024184123315394,0.015544302782402533,1.0,-1.1017117208978022,0
