source,task,operator,delta_actual,delta_theory,transferable_signal,noise_cost,gtr,nearest_support_distance,conditional_smoothness,sign_correct
ACS,acs_occupation,knn_1,0.0062595810120785,0.0043483329342931,0.0062595810120785,0.0019112480777853,3.2751274336567286,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,knn_3,0.0095116414934956,0.0088522093169273,0.0095116414934956,0.0006594321765683,14.423987532719009,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,knn_5,0.0166161656979253,0.0162601503690707,0.0166161656979253,0.0003560153288546,46.672613090518105,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,knn_10,0.0118453480498442,0.0116492766610885,0.0118453480498442,0.0001960713887557,60.41344494478534,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,rbf_half,0.0005711852490716,0.0005656945853696,0.0005711852490716,5.490663702024212e-06,104.02845267341456,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,rbf,0.0002354599911296,0.0002300399487454,0.0002354599911296,5.420042384184357e-06,43.442463073113146,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,rbf_double,0.0001638817054865,0.0001584668992967,0.0001638817054865,5.414806189776511e-06,30.26547945445594,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,kernel_ridge,0.0152243276143477,0.0149678718704755,0.0152243276143477,0.0002564557438721,59.36434639551616,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,harmonic,0.000398805999506,0.000393372238801,0.000398805999506,5.433760704989211e-06,73.39410422322752,5.568181818181818,1.997787007173259,True
ACS,acs_occupation,knn_1,-0.0009604749337144,-0.0031828382490816,-0.0009604749337144,0.0022223633153671,-0.4321862798368776,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,knn_3,0.0066708514147621,0.0059867691938345,0.0066708514147621,0.0006840822209275,9.75153455343035,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,knn_5,0.0094268880802176,0.0090212937090749,0.0094268880802176,0.0004055943711426,23.242157068550625,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,knn_10,0.009278174737743,0.0090717116376989,0.009278174737743,0.000206463100044,44.93865846130967,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,rbf_half,0.0006291084076806,0.0006236048489181,0.0006291084076806,5.503558762506009e-06,114.30938322428736,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,rbf,0.0003396259831894,0.0003341850540245,0.0003396259831894,5.440929164909038e-06,62.42058532572793,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,rbf_double,0.0002771772855874,0.0002717403744836,0.0002771772855874,5.436911103838719e-06,50.980654326276856,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,kernel_ridge,0.009709385594523,0.0094661909840124,0.009709385594523,0.0002431946105106,39.9243452564066,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,harmonic,0.0004702190627406,0.0004647612527046,0.0004702190627406,5.457810036013288e-06,86.15526367498022,5.5227272727272725,1.9980858953675005,True
ACS,acs_occupation,knn_1,0.0015811540943952,-0.0001502000643326,0.0015811540943952,0.0017313541587279,0.9132470594906804,5.454545454545454,1.9976063591704865,False
ACS,acs_occupation,knn_3,0.0075987808992501,0.0069271263054327,0.0075987808992501,0.0006716545938174,11.313524792649028,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,knn_5,0.0103508856428069,0.0099343077960952,0.0103508856428069,0.0004165778467117,24.847422215348672,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,knn_10,0.0093407646939405,0.0091221444972556,0.0093407646939405,0.0002186201966848,42.72599163108053,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,rbf_half,0.0005208019859587,0.00051521280637,0.0005208019859587,5.589179588705084e-06,93.180399322155,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,rbf,0.0001995603556639,0.000194046859474,0.0001995603556639,5.513496189967661e-06,36.19488411492653,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,rbf_double,0.0001313752198001,0.0001258678411334,0.0001313752198001,5.507378666704623e-06,23.854401113617108,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,kernel_ridge,0.0116310256082647,0.0113178373426675,0.0116310256082647,0.0003131882655972,37.13748848822684,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,harmonic,0.0003268255035492,0.0003212962029539,0.0003268255035492,5.529300595325173e-06,59.10792837444137,5.454545454545454,1.9976063591704865,True
ACS,acs_occupation,knn_1,-1.2459733779956007e-05,-0.0020792478837761,-1.245973377996673e-05,0.0020667881499961,-0.0060285490702033,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,knn_3,0.0081227013235741,0.0074264893356026,0.0081227013235741,0.0006962119879715,11.666994340675522,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,knn_5,0.0127305171032541,0.0123076027696571,0.0127305171032541,0.000422914333597,30.10188137861722,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,knn_10,0.0140399279885207,0.0138376467633532,0.0140399279885207,0.0002022812251674,69.40796397142556,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,rbf_half,0.0005885042567381,0.0005830164383277,0.0005885042567381,5.4878184103567125e-06,107.23828901252952,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,rbf,0.0001937999756582,0.0001883871953739,0.0001937999756582,5.412780284281532e-06,35.80414601735144,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,rbf_double,0.000110958141823,0.0001055509367455,0.000110958141823,5.407205077499845e-06,20.520424180837548,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,kernel_ridge,0.0153003557094448,0.0150134392312123,0.0153003557094448,0.0002869164782324,53.32686293830373,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,harmonic,0.0003387156227703,0.0003332901231222,0.0003387156227703,5.425499648078751e-06,62.43030960112397,5.431818181818182,1.9973712946541309,True
ACS,acs_occupation,knn_1,-0.0029861055802178,-0.0045445938209447,-0.0029861055802178,0.0015584882407268,-1.9160270204061451,5.613636363636363,1.9994025432802545,True
ACS,acs_occupation,knn_3,0.0141958253913177,0.013504057012597,0.0141958253913177,0.0006917683787207,20.52106720687122,5.613636363636363,1.9994025432802545,True
