task,source,rows_per_state_cap,transferable_signal,noise_cost,gtr,delta_theory,delta_actual
acs_occupation,ACS,5,0.0001264213592236,0.0002009278170131,0.6291879397432718,-7.450645778954163e-05,0.0001264213592236
acs_occupation,ACS,10,0.0004581087745313,9.40986941148288e-05,4.868386100792467,0.0003640100804165,0.0004581087745313
acs_occupation,ACS,20,0.0003532559306765,4.753746392138565e-05,7.4311059433201105,0.0003057184667551,0.0003532559306765
acs_occupation,ACS,50,-3.304346127039337e-06,2.046294504056108e-05,-0.1614794996756114,-2.3767291167600414e-05,-3.304346127044231e-06
acs_occupation,ACS,100,0.0002202889034202,1.0895322404966114e-05,20.218667721095745,0.0002093935810152,0.0002202889034202
acs_occupation,ACS,500,0.0002239005610825,5.787685925783361e-06,38.68567920818499,0.0002181128751567,0.0002239005610825
tlc_pickup_zone,NYC_TLC,5,0.0184146561454577,0.0030086367332876,6.120598057491444,0.0154060194121701,0.0184146561454577
tlc_pickup_zone,NYC_TLC,10,0.0194798949663573,0.0015461936874304,12.598612402001663,0.0179337012789269,0.0194798949663573
tlc_pickup_zone,NYC_TLC,20,0.0206165647684409,0.0007720670978241,26.70307389933341,0.0198444976706168,0.0206165647684409
tlc_pickup_zone,NYC_TLC,50,0.018153114437132,0.0002986442683649,60.78507562365644,0.0178544701687671,0.018153114437132
tlc_pickup_zone,NYC_TLC,100,0.0190717462300126,0.0001726298480684,110.4776864685391,0.0188991163819442,0.0190717462300126
tlc_pickup_zone,NYC_TLC,500,0.0192054294594226,0.0001011141719519,189.9380580256406,0.0191043152874706,0.0192054294594226
