task,source,corruption,transferable_signal,noise_cost,delta_theory,delta_actual
acs_occupation,ACS,0.0,0.0002354599911296,5.420042384184357e-06,0.0002300399487454,0.0002354599911296
acs_occupation,ACS,0.1,0.0002024644999429,5.419443008176743e-06,0.0001970450569347,0.0002024644999429
acs_occupation,ACS,0.25,0.0002013407934585,5.417206314710556e-06,0.0001959235871438,0.0002013407934585
acs_occupation,ACS,0.5,0.0001640713039825,5.414370643475336e-06,0.000158656933339,0.0001640713039825
acs_occupation,ACS,1.0,0.0001355625595502,5.414938046768306e-06,0.0001301476215034,0.0001355625595502
tlc_pickup_zone,NYC_TLC,0.0,0.0191124751225591,8.88315785703012e-05,0.0190236435439888,0.0191124751225591
tlc_pickup_zone,NYC_TLC,0.1,0.0198159425703003,8.89284243074095e-05,0.0197270141459929,0.0198159425703003
tlc_pickup_zone,NYC_TLC,0.25,0.0183754646273097,0.000115983980874,0.0182594806464356,0.0183754646273097
tlc_pickup_zone,NYC_TLC,0.5,0.0159117903690288,0.0001050050459713,0.0158067853230574,0.0159117903690288
tlc_pickup_zone,NYC_TLC,1.0,0.0141830624070176,0.0001031359266955,0.0140799264803221,0.0141830624070176
