predictor,pearson,spearman,mae,sign_accuracy,calibration_slope,n
predicted_delta,0.9559941682073853,0.9166666666666666,0.004790696368345041,0.7777777777777778,0.745793266967118,9
support_distance,0.03923440888588603,-0.42163702135578385,0.2012462066204197,0.6666666666666666,0.0022330477423837787,9
cover_radius,0.045223733710445184,-0.42163702135578385,0.30040159053183624,0.6666666666666666,0.0016856462207129994,9
raw_smoothness,-0.22378904102748645,-0.10540925533894596,0.03718059566228185,1.0,-0.11164170500156359,9
