dataset,permutation,selected_singletons,selected_pairs,selection_nonempty,maximum_singleton_gain,maximum_pair_incremental_gain
adult,0,,,0,-2.1824795314396676e-05,-9.3466894386357e-15
adult,1,,,0,-1.874827068794865e-05,3.3626559952418944e-14
adult,2,,,0,-1.2894807209973438e-05,0.00015185361109357187
adult,3,,,0,-3.837949455138269e-05,-1.369220870722542e-14
adult,4,,,0,-3.436327810541257e-05,3.765179998632009e-15
adult,5,,,0,-9.459671337535056e-06,-2.6642985368452975e-14
adult,6,,,0,-2.7224906591962657e-05,2.378709099413674e-15
adult,7,,,0,-8.589021896600618e-06,4.6079686250299264e-14
adult,8,,,0,-2.4605443360476464e-05,-6.953569533110817e-15
adult,9,,,0,-1.7191629659963897e-05,0.00013171005136843386
adult,10,,,0,-8.545272118792787e-06,2.8338281557547803e-14
adult,11,,,0,-2.9467719210665027e-05,2.7863375599468425e-15
adult,12,,,0,-6.12372824766981e-06,-1.1692811116969225e-14
adult,13,,,0,-2.1337049397302145e-05,1.2677232621813155e-14
adult,14,,,0,-4.236045945162602e-05,-1.9661101327574048e-14
adult,15,,,0,-2.2934612844220678e-05,2.1022224522853438e-14
adult,16,,,0,-3.0432361707809933e-05,1.132572782676995e-14
adult,17,,,0,-1.299364983553795e-05,6.965925971929893e-15
adult,18,,,0,-4.8152763134609615e-06,8.421244309025226e-06
adult,19,,,0,-9.56669364937658e-06,0.0002498683986003287
black-friday,0,,,0,-1.6046223039495375e-06,-0.00016910573217734565
black-friday,1,,,0,-4.1994073210203065e-06,-0.00027696518350751035
black-friday,2,,,0,-1.6334331097456842e-06,-0.00027850456213934343
black-friday,3,,,0,-1.5050853352163454e-06,-0.00026206488067041664
black-friday,4,,,0,-2.09633373836474e-06,-0.0002257190289842381
black-friday,5,,,0,2.6167388334325832e-05,-0.0001472856988169039
black-friday,6,,,0,-1.5841505069440528e-06,-0.0002999286122296411
black-friday,7,,,0,-3.2137508060511825e-06,-0.00023055979604308797
black-friday,8,,,0,-2.0751126470778996e-06,-0.00019350745364076264
black-friday,9,,,0,3.79284309998172e-05,-8.140820658913732e-05
black-friday,10,,,0,1.250915426756361e-06,-0.00018306248287837759
black-friday,11,,,0,2.695416871801882e-06,-0.00031803153788068935
black-friday,12,,,0,-1.7469505098984427e-06,-2.1917490604846476e-05
black-friday,13,,,0,-2.772433537711542e-06,-0.0003234159759546203
black-friday,14,,,0,-2.544305928852549e-06,-0.00023194930400279832
black-friday,15,,,0,-1.864477111893421e-06,-0.00028572390648853787
black-friday,16,,,0,-2.2058481621452964e-06,-0.0002225401898139506
black-friday,17,,,0,-2.8637583091753607e-06,-0.00024757388228227204
black-friday,18,,,0,-9.236770651438877e-07,-0.00031119567595871983
black-friday,19,,,0,-1.4035856991441825e-06,-0.0001912681705398385
