dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
black-friday,regression,mlp,0,64,cumulative_ple,,100000,25000,25000,73,51,150785,256,37,0.4798469841480255,0.6918232290981976,0.48653483390808105,0.6966277030051913,26.912501002894714
black-friday,regression,mlp,0,64,local_ple,,100000,25000,25000,73,51,150785,256,32,0.4778788685798645,0.690403001633193,0.4840487837791443,0.694845662205779,23.960191934136674
black-friday,regression,mlp,0,64,local_ple_energy,,100000,25000,25000,73,51,150785,256,19,0.4795338213443756,0.6915974380522272,0.48435577750205994,0.6950659171148459,15.016152063850313
black-friday,regression,mlp,0,64,dual_ple,,100000,25000,25000,124,51,150305,244,19,0.47966620326042175,0.6916929215317253,0.48449715971946716,0.6951673534297242,15.389760588062927
black-friday,regression,mlp,0,64,cumulative_seedmate,,100000,25000,25000,73,51,150785,256,20,0.482141375541687,0.6934752599729066,0.48774266242980957,0.6974918761173328,15.86947569414042
black-friday,regression,mlp,0,64,basis_blend,0.55,100000,25000,25000,73,51,301570,256,37,0.47545328736305237,0.6886486415182986,0.48175352811813354,0.6931962505786373,50.87269293703139
black-friday,regression,mlp,0,64,basis_select,1.0,100000,25000,25000,73,51,301570,256,37,0.4778788685798645,0.690403001633193,0.4840487837791443,0.694845662205779,50.87269293703139
black-friday,regression,mlp,0,64,energy_basis_blend,0.5,100000,25000,25000,73,51,301570,256,37,0.47668156027793884,0.6895375784256217,0.4823225438594818,0.693605508011025,41.92865306674503
black-friday,regression,mlp,0,64,energy_basis_select,1.0,100000,25000,25000,73,51,301570,256,37,0.4795338213443756,0.6915974380522272,0.48435577750205994,0.6950659171148459,41.92865306674503
black-friday,regression,mlp,0,64,seed_blend,0.4,100000,25000,25000,73,51,301570,256,37,0.47794824838638306,0.6904531245070942,0.48419639468193054,0.6949515631471925,42.781976697035134
black-friday,regression,mlp,0,64,seed_select,0.0,100000,25000,25000,73,51,301570,256,37,0.4798469841480255,0.6918232290981976,0.48653483390808105,0.6966277030051913,42.781976697035134
