dataset,task,metric,role,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,ensemble_members
adult,binclass,accuracy,fixed_baseline,0,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,159,172801,9,0.8539843390142792,0.8581782445795713,5.701446534018032,,,base_000
adult,binclass,accuracy,tuned_backbone,0,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,350,1319425,19,0.8610471364962383,0.8618635218966894,15.127729953965172,,,base_018
adult,binclass,accuracy,best_semantic,0,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,882,1319713,11,0.8719484108705665,0.8741477796204165,8.61343503696844,3;4;5,,semantic_00_007
adult,binclass,accuracy,best_overall,0,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,882,1319713,11,0.8719484108705665,0.8741477796204165,8.61343503696844,3;4;5,,semantic_00_007
adult,binclass,accuracy,hp_ensemble,0,,,,,0,,,,,ensemble,,,,,,2648,4548597,0,0.8724090280976509,0.8732878815797556,26.6920813099714,,,semantic_00_007;semantic_00_023;semantic_01_007
adult,binclass,accuracy,fixed_baseline,1,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,159,172801,8,0.8538307999385844,0.85553712916897,5.0742859250167385,,,base_000
adult,binclass,accuracy,tuned_backbone,1,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,350,1319425,21,0.8602794411177644,0.8589767213316135,10.048155563999899,,,base_018
adult,binclass,accuracy,best_semantic,1,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,884,1320421,13,0.8707200982650084,0.8728579325594251,9.081531725940295,3;4;5,,semantic_00_007
adult,binclass,accuracy,best_overall,1,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,884,1320421,13,0.8707200982650084,0.8728579325594251,9.081531725940295,3;4;5,,semantic_00_007
adult,binclass,accuracy,hp_ensemble,1,,,,,0,,,,,ensemble,,,,,,2652,4550031,0,0.869031168432366,0.8736564093114674,28.183958529960364,,,semantic_00_007;semantic_00_023;semantic_01_007
