dataset,task,metric,role,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,ensemble_members
california,regression,rmse,fixed_baseline,0,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,136,166913,38,0.48472826466999663,0.49944162368774414,5.65429547498934,,,base_000
california,regression,rmse,tuned_backbone,0,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,499,2560129,38,0.46867013406412283,0.47382652759552,9.852466645999812,,,base_013
california,regression,rmse,best_semantic,0,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,42,0.46794665088558673,0.48525717854499817,10.512891090009362,,,semantic_00_002
california,regression,rmse,best_overall,0,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,42,0.46794665088558673,0.48525717854499817,10.512891090009362,,,semantic_00_002
california,regression,rmse,hp_ensemble,0,,,,,0,,,,,ensemble,,,,,,2709,7630341,0,0.4480643356132461,0.4545460766472438,38.70456807198934,,,semantic_00_002;base_006;base_017;base_003;base_013
california,regression,rmse,fixed_baseline,1,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,136,166913,34,0.4921095086700511,0.4993188679218292,5.322901375941001,,,base_000
california,regression,rmse,tuned_backbone,1,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,499,2560129,36,0.4748430708805955,0.48666912317276,9.259267868008465,,,base_013
california,regression,rmse,best_semantic,1,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,42,0.4773747604753247,0.4781849682331085,10.519166925922036,,,semantic_00_002
california,regression,rmse,best_overall,1,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,42,0.4773747604753247,0.4781849682331085,10.519166925922036,,,semantic_00_002
california,regression,rmse,hp_ensemble,1,,,,,0,,,,,ensemble,,,,,,2709,7630341,0,0.4523120538419434,0.45449931328455406,38.42278544092551,,,semantic_00_002;base_006;base_017;base_003;base_013
california,regression,rmse,fixed_baseline,2,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,136,166913,22,0.4876234771507235,0.49117183685302734,3.523974732030183,,,base_000
california,regression,rmse,tuned_backbone,2,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,499,2560129,37,0.47717701924418776,0.4841957092285156,9.621991873020306,,,base_013
california,regression,rmse,best_semantic,2,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,36,0.4733052756844529,0.47709643840789795,9.601652193930931,,,semantic_00_002
california,regression,rmse,best_overall,2,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,36,0.4733052756844529,0.47709643840789795,9.601652193930931,,,semantic_00_002
california,regression,rmse,hp_ensemble,2,,,,,0,,,,,ensemble,,,,,,2709,7630341,0,0.45529249185940657,0.45813966121086125,33.348231191863306,,,semantic_00_002;base_006;base_017;base_003;base_013
california,regression,rmse,fixed_baseline,3,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,136,166913,25,0.48516940366980776,0.4980108141899109,3.7204039490316063,,,base_000
california,regression,rmse,tuned_backbone,3,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,499,2560129,48,0.4711009988051238,0.47424814105033875,11.740383182070218,,,base_013
california,regression,rmse,best_semantic,3,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,28,0.4732809601193857,0.47654804587364197,7.872631410020404,,,semantic_00_002
california,regression,rmse,best_overall,3,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,28,0.4732809601193857,0.47654804587364197,7.872631410020404,,,semantic_00_002
california,regression,rmse,hp_ensemble,3,,,,,0,,,,,ensemble,,,,,,2709,7630341,0,0.45534153804897315,0.4575411800979765,33.33517953008413,,,semantic_00_002;base_006;base_017;base_003;base_013
california,regression,rmse,fixed_baseline,4,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,136,166913,18,0.4876184272609656,0.4871066212654114,3.139787841006182,,,base_000
california,regression,rmse,tuned_backbone,4,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,499,2560129,42,0.47128749884330645,0.4773578941822052,10.606996092014015,,,base_013
california,regression,rmse,best_semantic,4,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,31,0.472511024872734,0.47312265634536743,8.228732079965994,,,semantic_00_002
california,regression,rmse,best_overall,4,semantic_00_002,semantic,numeric_identity,64,384,4,0.1,0.001,0.0,resnet,gelu,8,20.0,0.01,0.001,499,2560129,31,0.472511024872734,0.47312265634536743,8.228732079965994,,,semantic_00_002
california,regression,rmse,hp_ensemble,4,,,,,0,,,,,ensemble,,,,,,2709,7630341,0,0.45362561317986305,0.4561817566928035,34.86362902994733,,,semantic_00_002;base_006;base_017;base_003;base_013
