dataset,task,metric,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,train_seconds,selected_numeric,members,selection_loss
black-friday,regression,rmse,0,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,60,147457,20,0.6927257704530412,19.884510901058093,,,0.48068252205848694
black-friday,regression,rmse,0,base_001,backbone,schema_ple,32,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,66,148993,24,0.6925980267249656,27.40431336394977,,,0.48050522804260254
black-friday,regression,rmse,0,base_002,backbone,schema_ple,64,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,73,150785,29,0.6928355288170707,31.212347495020367,,,0.48083484172821045
black-friday,regression,rmse,0,base_003,backbone,schema_ple,128,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,78,152065,24,0.6923645743174802,28.168129644007422,,,0.48018133640289307
black-friday,regression,rmse,0,base_004,backbone,schema_ple,64,384,4,0.0,0.0003,0.0,mlp,gelu,32,20.0,0.01,0.001,73,472321,66,0.6926947427223524,68.1222872909857,,,0.4806394875049591
black-friday,regression,rmse,0,base_005,backbone,schema_ple,64,384,3,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,73,1804801,19,0.6927170755419461,29.414798369049095,,,0.48067042231559753
black-friday,regression,rmse,0,base_006,backbone,schema_ple,64,384,3,0.0,0.0003,0.0001,resnet,relu,32,20.0,0.01,0.001,73,1804801,10,0.6945851712353139,22.029383465996943,,,0.4832664728164673
black-friday,regression,rmse,0,base_007,backbone,schema_ple,128,256,3,0.1,0.0003,0.0001,mlp,silu,32,20.0,0.01,0.001,78,152065,72,0.6928973460617058,63.19605024100747,,,0.480920672416687
black-friday,regression,rmse,0,base_008,backbone,schema_ple,64,128,4,0.2,0.0003,0.0001,resnet,relu,32,20.0,0.01,0.001,73,274561,38,0.6929628556658471,51.82295648299623,,,0.4810115694999695
black-friday,regression,rmse,0,base_009,backbone,schema_ple,16,384,4,0.0,0.001,1e-05,mlp,relu,32,20.0,0.01,0.001,60,467329,13,0.6941821680614737,16.010152607108466,,,0.48270586133003235
black-friday,regression,rmse,0,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,66,321793,75,0.6898666335573864,69.59622075792868,,,0.4767228066921234
black-friday,regression,rmse,0,base_011,backbone,schema_ple,16,512,3,0.1,0.001,1e-05,mlp,relu,32,20.0,0.01,0.001,60,557057,13,0.6933902760557764,15.517032266943716,,,0.4816051125526428
black-friday,regression,rmse,0,base_012,backbone,schema_ple,64,512,3,0.0,0.0003,0.0,resnet,silu,32,20.0,0.01,0.001,73,3192833,21,0.6928341590708023,34.78798860299867,,,0.48083293437957764
