dataset,task,metric,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,train_seconds,selected_numeric,members,selection_loss
california,regression,rmse,0,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,136,166913,38,0.48472826466999663,5.65429547498934,,,0.17443707585334778
california,regression,rmse,0,base_001,backbone,schema_ple,32,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,262,199169,38,0.4838996331019807,5.690496811992489,,,0.1738412082195282
california,regression,rmse,0,base_002,backbone,schema_ple,64,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,499,259841,20,0.4815187484342687,3.8886818930041045,,,0.17213474214076996
california,regression,rmse,0,base_003,backbone,schema_ple,128,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,950,375297,47,0.4744693098619379,8.344896223046817,,,0.16713152825832367
california,regression,rmse,0,base_004,backbone,schema_ple,64,384,4,0.0,0.0003,0.0,mlp,gelu,32,20.0,0.01,0.001,499,635905,42,0.47761670553598634,6.5270758820697665,,,0.16935622692108154
california,regression,rmse,0,base_005,backbone,schema_ple,64,384,3,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,499,1968385,31,0.47254869151620227,6.917441884987056,,,0.1657811999320984
california,regression,rmse,0,base_006,backbone,schema_ple,64,384,3,0.0,0.0003,0.0001,resnet,relu,32,20.0,0.01,0.001,499,1968385,22,0.47623019950286505,5.109399341978133,,,0.16837437450885773
california,regression,rmse,0,base_007,backbone,schema_ple,128,256,3,0.1,0.0003,0.0001,mlp,silu,32,20.0,0.01,0.001,950,375297,51,0.47581105865295825,8.150598324020393,,,0.16807812452316284
california,regression,rmse,0,base_008,backbone,schema_ple,64,128,4,0.2,0.0003,0.0001,resnet,relu,32,20.0,0.01,0.001,499,329089,25,0.4814779688450592,7.452361578005366,,,0.1721055805683136
california,regression,rmse,0,base_009,backbone,schema_ple,16,384,4,0.0,0.001,1e-05,mlp,relu,32,20.0,0.01,0.001,136,496513,15,0.4934880939856754,2.7977140640141442,,,0.18079878389835358
california,regression,rmse,0,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,262,397057,40,0.4758834865238697,5.432596903061494,,,0.16812929511070251
california,regression,rmse,0,base_011,backbone,schema_ple,16,512,3,0.1,0.001,1e-05,mlp,relu,32,20.0,0.01,0.001,136,595969,20,0.48936741853150423,3.267480044043623,,,0.1777919977903366
california,regression,rmse,0,base_012,backbone,schema_ple,64,512,3,0.0,0.0003,0.0,resnet,silu,32,20.0,0.01,0.001,499,3410945,20,0.48070256864921745,4.741363163921051,,,0.1715516895055771
california,regression,rmse,0,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,499,2560129,38,0.46867013406412283,9.852466645999812,,,0.16307099163532257
california,regression,rmse,0,base_014,backbone,schema_ple,16,512,3,0.2,0.001,0.0001,resnet,relu,32,20.0,0.01,0.001,136,3225089,29,0.4988629406906817,6.133695692988113,,,0.18475857377052307
california,regression,rmse,0,base_015,backbone,schema_ple,64,512,3,0.2,0.001,0.0,mlp,relu,32,20.0,0.01,0.001,499,781825,33,0.47029343150328984,5.150028342963196,,,0.16420257091522217
california,regression,rmse,0,base_016,backbone,schema_ple,16,512,3,0.0,0.001,1e-05,mlp,silu,32,20.0,0.01,0.001,136,595969,47,0.48294662205746164,5.5819029490230605,,,0.17315712571144104
california,regression,rmse,0,base_017,backbone,schema_ple,32,128,2,0.2,0.001,1e-05,resnet,silu,32,20.0,0.01,0.001,262,166401,25,0.4777520494991556,4.88491477095522,,,0.16945220530033112
california,regression,rmse,0,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,950,1549825,31,0.472648271191634,6.481513226986863,,,0.16585107147693634
california,regression,rmse,0,base_019,backbone,schema_ple,32,512,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,262,660481,37,0.4767951299783171,5.227869482012466,,,0.1687740832567215
california,regression,rmse,0,base_020,backbone,schema_ple,128,384,3,0.2,0.0003,1e-05,resnet,relu,32,20.0,0.01,0.001,950,2141569,24,0.4876967697287853,6.18774266098626,,,0.17658016085624695
california,regression,rmse,0,base_021,backbone,schema_ple,64,256,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,499,655617,20,0.46948576043659784,4.2318731270497665,,,0.16363905370235443
california,regression,rmse,0,base_022,backbone,schema_ple,16,384,2,0.2,0.0003,0.0001,resnet,gelu,32,20.0,0.01,0.001,136,1237249,13,0.49407021483927593,3.203623350011185,,,0.18122556805610657
california,regression,rmse,0,base_023,backbone,schema_ple,32,512,4,0.0,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,262,923137,24,0.4847870647562189,3.952840144978836,,,0.1744794100522995
