dataset,problem_type,model,seed,method,optimizer,epoch,disagreement,max_prediction_absolute_difference,reference_task_error,rotated_task_error,elapsed_seconds
phoneme,classification,controlled_mlp,1,AdamW,adamw,0,4.526767997985275e-09,5.960464477539063e-08,0.7094484914899873,0.7094484909836744,0.004317913902923465
phoneme,classification,controlled_mlp,1,AdamW,adamw,1,0.0012103970077165878,0.00303572416305542,0.6082664961966318,0.6074188835057815,0.021339772967621684
phoneme,classification,controlled_mlp,1,AdamW,adamw,2,0.0037233388380710298,0.011694848537445068,0.539902877740424,0.5396577848152527,0.03561340388841927
phoneme,classification,controlled_mlp,1,AdamW,adamw,5,0.009900613979456218,0.05397379398345947,0.4033271260586139,0.4042177520927831,0.0635648958850652
phoneme,classification,controlled_mlp,1,AdamW,adamw,10,0.009614614739747698,0.04587051272392273,0.3794950286675779,0.37918588763234057,0.10198903386481106
phoneme,classification,controlled_mlp,1,AdamW,adamw,20,0.020519658410382113,0.14897853136062622,0.3628203138347049,0.36336404854172544,0.20822601695545018
phoneme,classification,controlled_mlp,1,AdamW,adamw,30,0.045423881534747405,0.1681954264640808,0.3520667452898577,0.3629569623694891,0.304243286838755
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,0,4.526767997985275e-09,5.960464477539063e-08,0.7094484914899873,0.7094484909836744,0.0054341950453817844
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,1,1.2286423489480057e-08,1.1920928955078125e-07,0.6010864652644903,0.6010864664274671,0.024704952025786042
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,2,1.6282430269774387e-08,1.1920928955078125e-07,0.5328612841316606,0.5328612794336194,0.04213371500372887
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,5,2.8870730690050277e-08,1.1920928955078125e-07,0.40150335313140895,0.4015033496547936,0.08934499905444682
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,10,3.2806055256062696e-08,1.4901161193847656e-07,0.380345594571617,0.380345590547461,0.17134210001677275
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,20,5.972517661174275e-08,2.980232238769531e-07,0.36193142442762233,0.3619314295284968,0.3186723811086267
phoneme,classification,controlled_mlp,1,BlockScalarAdam,block_scalar_adam,30,1.0277493819214263e-07,5.364418029785156e-07,0.3537853768650551,0.35378538377014623,0.4653358880896121
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,0,4.526767997985275e-09,5.960464477539063e-08,0.7094484914899873,0.7094484909836744,0.004467498976737261
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,1,1.3856827605405858e-08,1.1920928955078125e-07,0.605488775196807,0.6054887757349137,0.024613925023004413
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,2,1.717616156279042e-08,1.1920928955078125e-07,0.5356467628955655,0.5356467610530987,0.04907286702655256
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,5,2.619131651305675e-08,1.1920928955078125e-07,0.40216861470394183,0.4021686084131195,0.10140498401597142
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,10,3.2260672768660133e-08,1.1920928955078125e-07,0.3803284073489156,0.3803284045340266,0.17878651316277683
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,20,5.0019116622876e-08,2.384185791015625e-07,0.36352643793498934,0.3635264341212433,0.3345530009828508
phoneme,classification,controlled_mlp,1,BlockAdam,block_adam,30,1.9831508128044267e-07,7.152557373046875e-07,0.354476698158469,0.35447670080711813,0.48433454404585063
phoneme,classification,controlled_mlp,1,MatrixAdam,matrix_adam,0,4.526767997985275e-09,5.960464477539063e-08,0.7094484914899873,0.7094484909836744,0.004999920958653092
phoneme,classification,controlled_mlp,1,MatrixAdam,matrix_adam,1,1.3466618342494698e-08,5.960464477539063e-08,0.6105211616351662,0.6105211649067843,0.09315812308341265
phoneme,classification,controlled_mlp,1,MatrixAdam,matrix_adam,2,1.768580711524779e-08,1.1920928955078125e-07,0.5393812849495123,0.5393812817839104,0.11975670699030161
phoneme,classification,controlled_mlp,1,MatrixAdam,matrix_adam,5,2.939197547585953e-08,1.7881393432617188e-07,0.40500295818644416,0.40500295119030505,0.1904961511027068
phoneme,classification,controlled_mlp,1,MatrixAdam,matrix_adam,10,3.5918479463743976e-08,2.384185791015625e-07,0.3761001999158844,0.3761001982480216,0.3510853841435164
phoneme,classification,controlled_mlp,1,MatrixAdam,matrix_adam,20,5.882788652553245e-08,2.980232238769531e-07,0.3603926441463262,0.3603926359363886,0.7244144740980119
