dataset,problem_type,model,seed,method,optimizer,epoch,disagreement,max_prediction_absolute_difference,reference_task_error,rotated_task_error,elapsed_seconds
california_housing,regression,controlled_mlp,0,AdamW,adamw,0,2.1072582585138617e-08,0.015625,113514.31423958755,113514.31418958031,0.04388404218479991
california_housing,regression,controlled_mlp,0,AdamW,adamw,1,0.0023852317614101544,782.21875,109562.14089052571,109550.47134083303,0.11483642715029418
california_housing,regression,controlled_mlp,0,AdamW,adamw,2,0.010550457614669315,3904.9140625,100784.35335765703,100790.41044867209,0.12442737398669124
california_housing,regression,controlled_mlp,0,AdamW,adamw,5,0.04621885112763023,17869.09375,84626.82916728039,84712.14906460427,0.1490959411021322
california_housing,regression,controlled_mlp,0,AdamW,adamw,10,0.06160571850181083,57390.5625,73185.69849115939,74344.00952303474,0.19468492199666798
california_housing,regression,controlled_mlp,0,AdamW,adamw,20,0.07057557702621815,41116.3125,66272.56886566518,66387.06490726044,0.2673480031080544
california_housing,regression,controlled_mlp,0,AdamW,adamw,30,0.050366389713737164,20345.421875,65708.31653114481,66797.62566024093,0.335418667178601
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,0,2.1072582585138617e-08,0.015625,113514.31423958755,113514.31418958031,0.0020048099104315042
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,1,3.942319214404392e-08,0.015625,109265.08560570568,109265.08567396156,0.04505438497290015
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,2,5.882107359859792e-08,0.015625,99601.66967910177,99601.66954448281,0.07039022794924676
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,5,1.1352008406856454e-07,0.0625,83961.02003711667,83961.01964956691,0.12787438603118062
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,10,1.757803720162967e-07,0.0625,74468.07576149066,74468.07599091479,0.20846992591395974
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,20,2.781827003216079e-07,0.15625,67419.1499485049,67419.14907476603,0.3518589709419757
california_housing,regression,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,30,4.1217418503216725e-07,0.15625,66455.54030463967,66455.53891852153,0.4912470099516213
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,0,2.1072582585138617e-08,0.015625,113514.31423958755,113514.31418958031,0.0016625949647277594
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,1,3.598828604358885e-08,0.015625,109465.35509542438,109465.35540868733,0.020077252062037587
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,2,5.4409174275881546e-08,0.015625,100348.75810071468,100348.75820037475,0.04105759505182505
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,5,1.1557948166647883e-07,0.0625,84237.17369649974,84237.17334959705,0.10222279792651534
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,10,1.667599030569666e-07,0.0625,73944.11551487929,73944.11439700089,0.17961343005299568
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,20,2.416465733052811e-07,0.125,67022.01427177798,67022.01373706426,0.3318975439760834
california_housing,regression,controlled_mlp,0,BlockAdam,block_adam,30,5.232376429318227e-07,0.1875,66101.97339539319,66101.97462412716,0.461979404091835
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,0,2.1072582585138617e-08,0.015625,113514.31423958755,113514.31418958031,0.001749836141243577
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,1,3.218890159486865e-08,0.015625,109691.35120441554,109691.35114240351,0.15728502720594406
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,2,5.4409174275881546e-08,0.015625,101420.42733157422,101420.42710293153,0.2583540962077677
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,5,1.1904921293218325e-07,0.0625,85459.61773509276,85459.61762124632,0.3867499472107738
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,10,1.5857030884350318e-07,0.0625,74168.16334741864,74168.1626364607,0.7308266060426831
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,20,2.2890683900504921e-07,0.09375,65522.29853915518,65522.2980610757,1.3178664261940867
california_housing,regression,controlled_mlp,0,MatrixAdam,matrix_adam,30,2.859718456923903e-07,0.15625,65971.04491947219,65971.0468668125,1.9006605120375752
california_housing,regression,controlled_mlp,0,SGD,sgd_control,0,2.1072582585138617e-08,0.015625,113514.31423958755,113514.31418958031,0.0014894839841872454
california_housing,regression,controlled_mlp,0,SGD,sgd_control,1,1.7205691632082825e-08,0.015625,113497.05123993865,113497.05127996187,0.015986360842362046
california_housing,regression,controlled_mlp,0,SGD,sgd_control,2,2.1933039344212605e-08,0.015625,113464.44488406753,113464.44491142794,0.0233374428935349
california_housing,regression,controlled_mlp,0,SGD,sgd_control,5,2.7876406501073684e-08,0.015625,113312.33819525431,113312.33840673418,0.05346043687313795
california_housing,regression,controlled_mlp,0,SGD,sgd_control,10,2.2760990596678097e-08,0.015625,112219.7263192403,112219.72605620376,0.102122024865821
california_housing,regression,controlled_mlp,0,SGD,sgd_control,20,4.428585934094994e-08,0.015625,106373.99183171269,106373.9920578444,0.2029768219217658
california_housing,regression,controlled_mlp,0,SGD,sgd_control,30,1.2436989922054083e-07,0.046875,87867.12089529185,87867.12115283059,0.28530862694606185
