dataset,problem_type,model,seed,method,optimizer,epoch,disagreement,max_prediction_absolute_difference,reference_task_error,rotated_task_error,elapsed_seconds
phoneme,classification,controlled_mlp,0,AdamW,adamw,0,3.581824132662123e-09,5.960464477539063e-08,0.7012352057328892,0.7012352058469594,0.015579767990857363
phoneme,classification,controlled_mlp,0,AdamW,adamw,1,0.001122377056407784,0.002758502960205078,0.6078418445755648,0.6071393200450889,0.03596519399434328
phoneme,classification,controlled_mlp,0,AdamW,adamw,2,0.00340534423657748,0.011920616030693054,0.5387638063845397,0.5386532698104071,0.04973784903995693
phoneme,classification,controlled_mlp,0,AdamW,adamw,5,0.010579090878112117,0.057017505168914795,0.4051305994619987,0.40611091079351014,0.08276529796421528
phoneme,classification,controlled_mlp,0,AdamW,adamw,10,0.011143065908531428,0.04145669937133789,0.38089465866848393,0.37952441404505644,0.1403591011185199
phoneme,classification,controlled_mlp,0,AdamW,adamw,20,0.02203320040653148,0.17093247175216675,0.362225592833747,0.36298069013742007,0.21969370101578534
phoneme,classification,controlled_mlp,0,AdamW,adamw,30,0.0217415186357057,0.10561984777450562,0.3594017195351859,0.3655768672357669,0.2873022591229528
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,0,3.581824132662123e-09,5.960464477539063e-08,0.7012352057328892,0.7012352058469594,0.004244532901793718
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,1,1.1647029319731332e-08,8.940696716308594e-08,0.6016200674129182,0.6016200662007587,0.022161180851981044
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,2,1.6454511466244502e-08,1.1920928955078125e-07,0.5309747396339987,0.530974737350567,0.04188022296875715
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,5,2.4304911624306322e-08,1.1920928955078125e-07,0.40385361746328335,0.4038536169698572,0.09532884182408452
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,10,2.7593645862179774e-08,1.1920928955078125e-07,0.3807572755285107,0.38075727428831285,0.17761410702951252
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,20,6.839709979090718e-08,4.172325134277344e-07,0.3625329720054905,0.36253297392073824,0.3078421070240438
phoneme,classification,controlled_mlp,0,BlockScalarAdam,block_scalar_adam,30,1.247622453983787e-07,5.364418029785156e-07,0.35899350118229334,0.35899349677223474,0.41903955303132534
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,0,3.581824132662123e-09,5.960464477539063e-08,0.7012352057328892,0.7012352058469594,0.004089340101927519
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,1,1.2362970844265525e-08,5.960464477539063e-08,0.6053050705499361,0.6053050692113848,0.019067150074988604
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,2,1.85459832616632e-08,1.1920928955078125e-07,0.5339516940226992,0.5339516899506355,0.033576896181330085
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,5,2.287059690889749e-08,1.7881393432617188e-07,0.40440290531199685,0.4044029034667074,0.06927032116800547
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,10,2.6240141224419266e-08,1.1920928955078125e-07,0.3806618222150528,0.38066182515270863,0.13390669110231102
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,20,7.142433253191474e-08,4.172325134277344e-07,0.3621752734193853,0.36217528487045464,0.27835162612609565
phoneme,classification,controlled_mlp,0,BlockAdam,block_adam,30,1.0888871834796947e-07,5.960464477539062e-07,0.3600873307285785,0.36008732353285955,0.41321680205874145
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,0,3.581824132662123e-09,5.960464477539063e-08,0.7012352057328892,0.7012352058469594,0.004099185112863779
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,1,1.3826996383462568e-08,1.1920928955078125e-07,0.6098686386811866,0.6098686408981693,0.031810265965759754
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,2,1.952161174236769e-08,1.1920928955078125e-07,0.5395908058460316,0.5395908031368385,0.05855982797220349
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,5,2.9981959392835974e-08,1.7881393432617188e-07,0.4036505937253866,0.40365059656954666,0.15400101011618972
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,10,2.874094284175778e-08,1.7881393432617188e-07,0.37723745021675864,0.37723744938427006,0.4485699441283941
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,20,6.597865272306877e-08,2.980232238769531e-07,0.3642923318084155,0.36429233382699344,0.779040195979178
phoneme,classification,controlled_mlp,0,MatrixAdam,matrix_adam,30,1.0851693532954662e-07,7.450580596923828e-07,0.3591312815093748,0.3591312694492234,1.1191694280132651
phoneme,classification,controlled_mlp,0,SGD,sgd_control,0,3.581824132662123e-09,5.960464477539063e-08,0.7012352057328892,0.7012352058469594,0.004047387046739459
phoneme,classification,controlled_mlp,0,SGD,sgd_control,1,5.0905127444382205e-09,5.960464477539063e-08,0.690716648682536,0.6907166489127502,0.014829097082838416
phoneme,classification,controlled_mlp,0,SGD,sgd_control,2,5.903827958395742e-09,5.960464477539063e-08,0.6702951963432938,0.6702951966338211,0.03211268107406795
phoneme,classification,controlled_mlp,0,SGD,sgd_control,5,5.763596770959194e-09,5.960464477539063e-08,0.6173423557993347,0.6173423552867757,0.06686918414197862
phoneme,classification,controlled_mlp,0,SGD,sgd_control,10,7.64373482808301e-09,5.960464477539063e-08,0.5982735434418651,0.5982735423133849,0.11415590206161141
phoneme,classification,controlled_mlp,0,SGD,sgd_control,20,8.920877949248575e-09,1.1920928955078125e-07,0.586991595919309,0.5869915957428649,0.20053863897919655
phoneme,classification,controlled_mlp,0,SGD,sgd_control,30,1.1905304403611349e-08,5.960464477539063e-08,0.5661938957835805,0.5661938966848143,0.2899861310143024
