backbone,source,task,split,operator,predicted_gain,predicted_se,actual_gain,selected_mean,selected_pointwise,selected_familywise,z_familywise,state_folds
ft_transformer,ACS,acs_occupation,0,harmonic,0.00095125247413954,0.000581229464447918,0.0021672793992857722,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,kernel_ridge,0.014524603337761923,0.002468793955083259,0.020665938810431665,True,True,True,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,knn_1,-0.011695109274703989,0.006564214259163384,-0.020300091786302973,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,knn_10,0.009586973775555969,0.002245328683673358,0.01587185231059486,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,knn_3,0.00755143667840943,0.003096481082942228,0.009172730594975156,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,knn_5,0.00960791375873694,0.0026882888046744196,0.01629843374585239,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,rbf,0.0007543305032670592,0.0005708248905035844,0.0019599553957283782,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,rbf_double,0.0006796677837386347,0.000569906520808682,0.0018652280890936548,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,0,rbf_half,0.001105156754441209,0.0005747495650649733,0.002404624587705375,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,harmonic,3.624226324987872e-05,0.00013967097091805737,0.0004988410024453794,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,kernel_ridge,0.018714583195966337,0.0028095056334235366,0.011547943079474831,True,True,True,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,knn_1,-0.005926577901671759,0.004307924505200185,-0.011827828140877787,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,knn_10,0.012921675588871622,0.0020484920780992517,0.006762359706307074,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,knn_3,0.01200012888133908,0.0028054062790172874,0.0017264325039812198,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,knn_5,0.014034918397197754,0.0026608071454049093,0.005893098114257475,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,rbf,-0.00023117513870721043,0.00014325802377537563,0.0003396808034570068,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,rbf_double,-0.0003359118082795479,0.00014581858079796238,0.00026333639526105254,False,False,False,2.7729212946086634,20
ft_transformer,ACS,acs_occupation,1,rbf_half,0.00026262556549404753,0.00014062584513960336,0.0006917824871413369,False,False,False,2.7729212946086634,20
ft_transformer,BTS,airline_origin_airport,0,harmonic,0.0031256022153061296,0.0010867167840155807,0.00834779142556665,False,False,False,2.7729212946086634,20
ft_transformer,BTS,airline_origin_airport,0,kernel_ridge,0.002942300803549828,0.0011007641312809362,0.008068099009082801,False,False,False,2.7729212946086634,20
