backbone,source,task,split,operator,fold,state,gain
mlp,ACS,acs_occupation,0,knn_1,0,3,0.05829019246222001
mlp,ACS,acs_occupation,0,knn_1,0,27,-0.037955555275419314
mlp,ACS,acs_occupation,0,knn_1,0,56,0.06468959798649616
mlp,ACS,acs_occupation,0,knn_1,0,63,-0.0784632747605273
mlp,ACS,acs_occupation,0,knn_1,0,77,0.09771409530639379
mlp,ACS,acs_occupation,0,knn_1,0,128,-0.016245827062608378
mlp,ACS,acs_occupation,0,knn_1,0,152,-0.005763602007367137
mlp,ACS,acs_occupation,0,knn_1,0,160,-0.0209382824054313
mlp,ACS,acs_occupation,0,knn_1,0,277,-0.052799843858628216
mlp,ACS,acs_occupation,0,knn_1,0,283,0.022049378507912935
mlp,ACS,acs_occupation,0,knn_1,0,307,0.0061695253358255596
mlp,ACS,acs_occupation,0,knn_1,0,315,-0.016242023379441996
mlp,ACS,acs_occupation,0,knn_1,0,353,-0.05384461810858031
mlp,ACS,acs_occupation,0,knn_1,0,392,-0.10307766537346287
mlp,ACS,acs_occupation,0,knn_1,0,395,0.001773227611117456
mlp,ACS,acs_occupation,0,knn_1,0,396,0.006134516127098915
mlp,ACS,acs_occupation,0,knn_1,0,407,0.3547280109546699
mlp,ACS,acs_occupation,0,knn_1,0,421,-0.14732853644868826
mlp,ACS,acs_occupation,0,knn_3,0,3,0.05899110379809982
mlp,ACS,acs_occupation,0,knn_3,0,27,0.0038307986198787766
mlp,ACS,acs_occupation,0,knn_3,0,56,0.06607922792861397
mlp,ACS,acs_occupation,0,knn_3,0,63,0.018044459686389475
mlp,ACS,acs_occupation,0,knn_3,0,77,0.09792313374135618
mlp,ACS,acs_occupation,0,knn_3,0,128,0.006074761302985362
mlp,ACS,acs_occupation,0,knn_3,0,152,-0.007694979603291654
mlp,ACS,acs_occupation,0,knn_3,0,160,0.003508147170392161
mlp,ACS,acs_occupation,0,knn_3,0,277,0.015106601443414046
mlp,ACS,acs_occupation,0,knn_3,0,283,0.008043352430782481
mlp,ACS,acs_occupation,0,knn_3,0,307,0.006352383886524676
mlp,ACS,acs_occupation,0,knn_3,0,315,-0.009610026542543415
mlp,ACS,acs_occupation,0,knn_3,0,353,-0.03554487942840921
mlp,ACS,acs_occupation,0,knn_3,0,392,-0.049235835242124305
mlp,ACS,acs_occupation,0,knn_3,0,395,0.006637535227198924
mlp,ACS,acs_occupation,0,knn_3,0,396,0.03875734318485914
mlp,ACS,acs_occupation,0,knn_3,0,407,0.19419677814691802
mlp,ACS,acs_occupation,0,knn_3,0,421,-0.11899422451157007
mlp,ACS,acs_occupation,0,knn_5,0,3,0.05817929215929519
mlp,ACS,acs_occupation,0,knn_5,0,27,0.007599942505340578
mlp,ACS,acs_occupation,0,knn_5,0,56,0.06667370615077449
mlp,ACS,acs_occupation,0,knn_5,0,63,0.022968491583148443
mlp,ACS,acs_occupation,0,knn_5,0,77,0.09489237643695667
mlp,ACS,acs_occupation,0,knn_5,0,128,0.002416239356120342
mlp,ACS,acs_occupation,0,knn_5,0,152,0.001663603245285874
mlp,ACS,acs_occupation,0,knn_5,0,160,0.006528313204975873
mlp,ACS,acs_occupation,0,knn_5,0,277,0.006596942975838602
mlp,ACS,acs_occupation,0,knn_5,0,283,0.015303830573135068
mlp,ACS,acs_occupation,0,knn_5,0,307,0.00587665269686681
mlp,ACS,acs_occupation,0,knn_5,0,315,-0.019286929191034325
mlp,ACS,acs_occupation,0,knn_5,0,353,-0.008950497256886621
mlp,ACS,acs_occupation,0,knn_5,0,392,-0.006028286788615509
mlp,ACS,acs_occupation,0,knn_5,0,395,0.006608098353952202
mlp,ACS,acs_occupation,0,knn_5,0,396,0.039664161758228726
