dataset,model,pipeline,family,variant,scope,repair,repaired_disagreement,repaired_orbit_mean,raw_disagreement,raw_orbit_mean,disagreement_reduction_fraction,task_error_change
adult,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.3303938977659547,0.0,0.3269353006185177,1.0,0.0034585971474369592
adult,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.3303938977659547,0.03750820074346165,0.3309964475570164,1.0,-0.0006025497910617239
adult,catboost,numeric_code,T2,affine,all,standardization,0.0,0.3312868156484752,5.3879891731331065e-06,0.3312653706020275,1.0,2.1445046447687854e-05
adult,catboost,numeric_code,T2,affine,one,standardization,0.0,0.3312868156484752,1.3949556740049815e-06,0.33127559412058805,1.0,1.1221527887128602e-05
adult,catboost,numeric_code,T2,scaling,all,standardization,0.0,0.3312868156484752,1.4155981634041656e-06,0.3312756148040334,1.0,1.1200844441783264e-05
adult,catboost,numeric_code,T2,scaling,one,standardization,0.0,0.3312868156484752,0.0,0.3312739910451756,1.0,1.2824603299599335e-05
adult,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,1.016716763629379e-05,0.3312634577296996,1.1566956399907666e-05,0.3312650656476937,0.12101617013314314,-1.607917994084218e-06
adult,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.3313774726240932,0.0253345601687143,0.3291401401053579,1.0,0.0022373325187352577
adult,tabicl_v2,numeric_code,T2,affine,all,standardization,0.0,0.3268061414259733,0.0,0.3269448589893808,1.0,-0.00013871756340749775
adult,tabicl_v2,numeric_code,T2,affine,one,standardization,0.0,0.3268061414259733,0.0,0.3269448589893808,1.0,-0.00013871756340749775
adult,tabicl_v2,numeric_code,T2,scaling,all,standardization,0.0,0.3268061414259733,0.0,0.3269448589893808,1.0,-0.00013871756340749775
adult,tabicl_v2,numeric_code,T2,scaling,one,standardization,0.0,0.3268061414259733,0.0,0.3269448589893808,1.0,-0.00013871756340749775
adult,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,4.367391656712105e-06,0.32381818367296633,0.011335730861934562,0.32785277728404444,0.9996147234166103,-0.004034593611078108
adult,tabpfn_2_6,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.34208779948115486,0.021931376420638613,0.3449531642582087,1.0,-0.002865364777053847
adult,tabpfn_2_6,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.34208779948115486,0.022073726000326015,0.34421189207253183,1.0,-0.0021240925913769693
adult,tabpfn_2_6,numeric_code,T2,affine,all,standardization,0.00010106075986108909,0.3522764007701656,0.00015088218657013125,0.3523216732268801,0.33020085300715574,-4.5272456714540166e-05
adult,tabpfn_2_6,numeric_code,T2,affine,one,standardization,0.0,0.35229669979613093,0.0,0.35229669979613093,1.0,0.0
adult,tabpfn_2_6,numeric_code,T2,scaling,all,standardization,0.0,0.35229669979613093,1.6048090841765807e-06,0.35229506712083775,1.0,1.632675293183894e-06
adult,tabpfn_2_6,numeric_code,T2,scaling,one,standardization,5.349363613921935e-07,0.35229615557103316,0.0,0.35229669979613093,-534935.3613921936,-5.442250977649721e-07
adult,tabpfn_2_6,numeric_code,T3,mixed_monotone,all,quantile_rank,0.0016717737325714537,0.35092944163247736,0.0067976119541619,0.35125780773571086,0.7540645532806716,-0.0003283661032335017
bank-marketing,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.24312079081254337,0.0,0.23474023374151687,1.0,0.008380557071026501
bank-marketing,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.24312079081254337,0.02517359315499709,0.2480554551132459,1.0,-0.004934664300702524
bank-marketing,catboost,numeric_code,T2,affine,all,standardization,0.0,0.2522100776120983,1.0866070418817569e-05,0.2522399402251339,1.0,-2.9862613035613883e-05
bank-marketing,catboost,numeric_code,T2,affine,one,standardization,0.0,0.2522100776120983,3.822098309583813e-06,0.25226282944885914,1.0,-5.275183676084483e-05
bank-marketing,catboost,numeric_code,T2,scaling,all,standardization,0.0,0.2522100776120983,1.2393373501694549e-05,0.2522796135648131,1.0,-6.95359527148054e-05
bank-marketing,catboost,numeric_code,T2,scaling,one,standardization,0.0,0.2522100776120983,9.534753874513492e-09,0.2522553531753016,1.0,-4.5275563203328595e-05
bank-marketing,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,2.5753941592400816e-05,0.25229029581071155,3.931749045185533e-05,0.2522767054279606,0.34497493872512597,1.3590382750949814e-05
bank-marketing,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.2274814491684133,0.013533378502036226,0.22386712586035565,1.0,0.0036143233080576653
bank-marketing,tabicl_v2,numeric_code,T2,affine,all,standardization,0.0,0.2191802124922353,0.0,0.2194887478772314,1.0,-0.000308535384996117
bank-marketing,tabicl_v2,numeric_code,T2,affine,one,standardization,0.0,0.2191802124922353,0.0,0.2194887478772314,1.0,-0.000308535384996117
bank-marketing,tabicl_v2,numeric_code,T2,scaling,all,standardization,0.0,0.2191802124922353,0.0,0.2194887478772314,1.0,-0.000308535384996117
bank-marketing,tabicl_v2,numeric_code,T2,scaling,one,standardization,0.0,0.2191802124922353,0.0,0.2194887478772314,1.0,-0.000308535384996117
bank-marketing,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,1.0192632326910418e-06,0.2217584808989671,0.009874809992751638,0.22318193494590602,0.9998967814840549,-0.0014234540469389156
bank-marketing,tabpfn_2_6,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.2430877017056504,0.02312085681240057,0.21794816541973025,1.0,0.02513953628592014
bank-marketing,tabpfn_2_6,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,0.0,0.2430877017056504,0.02161128176537309,0.22022603641667757,1.0,0.02286166528897282
bank-marketing,tabpfn_2_6,numeric_code,T2,affine,all,standardization,3.4299801750056967e-06,0.2180214476438708,0.00017955502637885,0.21813959680778847,0.9808973313408189,-0.00011814916391766905
bank-marketing,tabpfn_2_6,numeric_code,T2,affine,one,standardization,0.0,0.2180296318989983,0.0,0.2180296318989983,1.0,0.0
bank-marketing,tabpfn_2_6,numeric_code,T2,scaling,all,standardization,0.0,0.2180296318989983,0.0,0.2180296318989983,1.0,0.0
bank-marketing,tabpfn_2_6,numeric_code,T2,scaling,one,standardization,0.0,0.2180296318989983,0.0,0.2180296318989983,1.0,0.0
bank-marketing,tabpfn_2_6,numeric_code,T3,mixed_monotone,all,quantile_rank,0.0007509261258944617,0.21869949631809735,0.004821965132241025,0.2182867924306394,0.8442696897840349,0.0004127038874579547
