dataset,openml_id,openml_version,problem_type,model,model_seed,pipeline,representation_id,reference_id,family,variant,scope,member,repair,is_reference,n_train,n_validation,n_test,rmse,mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,fit_seconds,predict_seconds,transform_metadata_json,probability_mad,js_divergence,label_flip_rate,log_loss,prediction_disagreement,task_error
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,basis_reference__humidity,basis_reference__humidity,T6,rbf_basis_reference,reference,-1,none,True,2048,512,512,55.85295918341684,36.132292330265045,0.0,1.0,1.0,1.2487129259388894,0.0089138029143214,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""feature"":""humidity"",""width"":0.08999999999999997}",,,,,0.0,55.85295918341684
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m0,basis_reference__humidity,T6,orthogonal,one,0,none,False,2048,512,512,57.421915086787,36.7362502515316,0.0798751187302854,0.996551301881916,0.9958630344411256,0.6534558220300823,0.0098300320096313,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000007,""feature"":""humidity"",""matrix"":[[-0.6514054790846636,-0.11308990236249965,0.3848432772913391,-0.06492182924888097,-0.3363570853716956,-0.5387641682547684,0.07298780507002023,0.042804745634415074],[-0.34625320037433643,0.6573499478235727,-0.1065181925749871,-0.22160896570283917,-0.06547902490631,0.3513314021961456,0.47302770402324584,0.18991219721823452],[-0.11556647186799636,-0.189625971448899,-0.23912310097405848,-0.5825709996336313,-0.19036124435195662,0.16944185609869356,-0.497442320204352,0.4916510415109298],[0.3325919339619371,0.5056429361147073,0.13075964709939636,-0.2474860210587696,0.3433505002418779,-0.6005672810879039,-0.14655410581549802,0.2351843524358087],[0.2531696441124109,0.2462584146844653,-0.22338889163669418,-0.2783793599289638,-0.6304418425861003,-0.1471727508242071,-0.08811834643353804,-0.5665533347437438],[-0.35115435684779156,0.3002067606466031,-0.539257906832223,0.5296218325545345,0.015952429942507403,-0.15526188349446998,-0.4366195600902469,0.016455096130724958],[0.3123582858732197,0.20589386777437263,0.39258580640155105,0.42355702236248594,-0.5350386058179901,0.15868658885460082,-0.14006145407792403,0.44209828744559915],[0.21641319115434066,-0.2651590870806097,-0.5210050685641296,0.09295922454500463,-0.21088321988701997,-0.3549088764604609,0.5328901477095292,0.3851809156607098]],""width"":0.08999999999999997}",,,,,0.0798751187302854,57.421915086787
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m1,basis_reference__humidity,T6,orthogonal,one,1,none,False,2048,512,512,56.63411122849549,35.633098378777504,0.0736194265290565,0.9970508302398984,0.9962566054119316,0.6408736419398338,0.0109261749312281,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000009,""feature"":""humidity"",""matrix"":[[-0.3335109917416711,0.6058453615526177,0.13278875241557375,-0.2930811322929558,0.11063483038497703,-0.5818204615804471,-0.22908161347283454,-0.12230663334073456],[0.4660779777084134,-0.0344738981062465,0.34305572596491996,-0.40635706453330556,0.32185952921899647,-0.05225210527689876,-0.0935423405576728,0.6194316471566517],[0.32625503796135746,0.6124864160598299,0.01480711914464945,0.2436184266940185,0.4591721313448888,0.38055059621788406,0.2212995662011325,-0.23284662604036369],[-0.20663988381729068,-0.10697401266190866,0.32051560871371804,0.7682654458060096,0.29005234448837175,-0.2797436141109785,-0.08299741887867466,0.28916957769232826],[-0.5572186661372224,0.2993585825629507,-0.17750772819892158,-0.051850676553649416,-0.0763783462219732,0.4662024759793011,0.03348235505361806,0.5842900328124481],[0.31851886057877693,0.14456892486484454,-0.5314136142455814,0.219493458537679,-0.08087680039493762,-0.02401839272135167,-0.7217990822214202,0.13768042179595918],[-0.030435937614132606,0.07140372685406046,0.660172233832728,0.017973085344050625,-0.3113484510039613,0.4133932104698518,-0.49776872757918694,-0.20547321190724788],[0.3309472661451283,0.3599523187762611,0.10951533503815938,0.21956035652341976,-0.6927368926607793,-0.21648058527745445,0.3361854934391421,0.24685814594447997]],""width"":0.08999999999999997}",,,,,0.0736194265290565,56.63411122849549
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m2,basis_reference__humidity,T6,orthogonal,one,2,none,False,2048,512,512,57.22263762059209,37.047356352210045,0.0695317704473325,0.9971626658328134,0.996783929715842,0.6517102511133999,0.0091356469783931,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000007,""feature"":""humidity"",""matrix"":[[-0.12314517880163578,0.05636145589972435,-0.23953872662707104,-0.5347493131309484,0.46695966587999055,-0.4943381004350889,-0.33177146353191744,0.2565720769374607],[-0.3274582557777818,0.7051364240787393,0.25350144914949496,-0.29709426660321536,-0.25939377013410175,-0.1976622944375232,0.27914871625875753,-0.24237617410839488],[-0.27686360079464123,-0.2851440126899199,0.5659208489584567,-0.3642531633640675,-0.28301306333038284,0.26919932549083403,-0.4700370306360499,0.12487266813039379],[-0.5828557345695731,-0.12660008009699233,-0.6068821857780274,-0.06828883835776717,-0.3685347358382135,0.193880070965777,0.14845310602701864,0.2753844610970694],[-0.05440663087369723,-0.5709406732578025,0.2527171290497332,-0.17386985226451004,-0.0677994589721625,-0.44495951319249344,0.6111697516883549,0.029253938180257396],[0.40354359148013563,-0.09512508116474037,-0.2835033662053319,-0.15306279097553308,-0.643181585568007,-0.3651139800639051,-0.3024009492397346,-0.2930261208915801],[-0.47524801480804135,-0.05369249458025838,0.12737754212506422,0.6325228314502792,-0.020799186191716414,-0.49137276406985864,-0.32034853988854106,-0.10219238464021266],[-0.26374970636680783,-0.2537053488831385,-0.17123280883549802,-0.18625348474300493,0.2829087699682425,0.18373165477197406,-0.037849291276523006,-0.8287529131161914]],""width"":0.08999999999999997}",,,,,0.0695317704473325,57.22263762059209
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m3,basis_reference__humidity,T6,orthogonal,one,3,none,False,2048,512,512,57.33622543035679,35.971530601382256,0.0819269572447072,0.9965830250954985,0.9942933997379292,0.6319385680835694,0.0109930250328034,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000009,""feature"":""humidity"",""matrix"":[[0.19269614043667674,0.098246498256153,0.48302688028354157,0.540457779848938,0.41487153143660627,-0.4131410528360716,-0.28186627218303195,-0.07452336302198517],[0.0563422333221309,0.07434991433569299,0.31099689465013924,0.04090087539825184,-0.020772920569755795,-0.1299495273859691,0.9017574838738294,-0.24984142825576955],[-0.23345190092464868,0.1970382363702848,0.47464825277049677,-0.613297497440276,0.4445458321594601,0.2561510043018256,-0.133484294916315,-0.15556017566742114],[-0.7104195681466906,0.46863166366365466,0.0649533673820115,0.41624788997350926,-0.12044879035741997,0.21504546389523138,0.04484365478763647,0.18826507681790097],[0.5879903726876583,0.4263429995635022,0.2387413267333976,0.013190851601949456,-0.16794404757165343,0.3957445478137451,0.03107724109751176,0.4791062549582593],[-0.21128328558760753,-0.40024321844840904,0.17712456660752351,-0.13315876086779938,0.1690150751050863,-0.2540212868497109,0.17689388875913764,0.7884643390539121],[0.09665833298175248,0.033538048756903416,-0.48789904389424726,0.19701994430993364,0.7439850248297042,0.31439932240789586,0.23379511694742564,0.07516131087267203],[0.027961739522844756,0.6191059886105419,-0.3376981646824947,-0.3164083875322956,0.0709660079696769,-0.6169134518060729,0.025267271640195384,0.12455834591119176]],""width"":0.08999999999999997}",,,,,0.0819269572447072,57.33622543035679
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m4,basis_reference__humidity,T6,orthogonal,one,4,none,False,2048,512,512,57.13494468147259,37.34512388706207,0.0661213322083172,0.9974668236518416,0.997186173195546,0.5056464821100235,0.0103291450068354,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000007,""feature"":""humidity"",""matrix"":[[-0.13545254537598736,-0.3552573364139119,0.1118617943311686,-0.5669588155424864,-0.5135439800925092,-0.11787422654733418,0.3005877680443925,0.39180953823463016],[-0.025998045079208845,0.012854969618784236,-0.6480320473759763,0.34782458921550874,-0.2252307286710181,-0.4581532770371086,0.43765685116141684,-0.07781096550536243],[-0.3471671848496573,0.2159688017622715,0.32750369713075955,0.047754545872018245,-0.24819290568515112,-0.6718839639613555,-0.4362038528146333,-0.14139191445051422],[0.04015996411526459,0.750098849044566,0.2996955669759234,-0.09591724665230277,0.11975417706384112,-0.06870852119848297,0.5260225167061934,0.20238510563394144],[-0.07233711460680223,-0.4495687262474869,0.24938682495349684,0.10034890210770671,0.6663507502270757,-0.4216456389778855,0.23663953076014693,0.20636127761847298],[0.5892704243457296,-0.1649694569542135,0.4395691458726826,0.5192054897013932,-0.3760511931947016,-0.037352949592552066,0.06750127022603065,0.12403187693404734],[0.5327886277534682,-0.044899599716714124,0.03410061988713123,-0.4788996406201136,0.07220822757188514,-0.27073057554053453,0.10624150196661473,-0.6275478122162409],[0.4717020453924196,0.18164039364993187,-0.3374724067284071,-0.1926292638270808,0.13766287682586306,-0.2599557410358115,-0.4234241836511984,0.5724458008646275]],""width"":0.08999999999999997}",,,,,0.0661213322083172,57.13494468147259
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m5,basis_reference__humidity,T6,orthogonal,one,5,none,False,2048,512,512,56.32631391156266,35.962681621313095,0.059745806759311,0.9980383597329548,0.9977375480653689,0.6187784869689494,0.0115630738437175,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000007,""feature"":""humidity"",""matrix"":[[0.8333394788579119,0.19728098147067052,-0.20134571165158843,-0.18586943133631015,-0.3107920274728622,0.017784573615078635,-0.3045150241161737,0.043595996481193854],[0.36932001417367744,0.1270639939533323,0.5213988274115658,-0.25390460511741625,0.6770997585095684,-0.011014196135766267,0.19406490216053712,-0.12201065979898394],[-0.08582310684390025,-0.4353002378700333,-0.33441661889379604,-0.4663785440658316,0.2804372950037672,0.5508443969288581,-0.2812326740699742,-0.11241989531721658],[-0.10663486376844195,-0.38280909457692525,0.4150791507129147,-0.22128130356528317,-0.09966886246674805,-0.4991384413665378,-0.5992398565262687,0.05165863750932319],[0.022436365627127204,0.024982400288368907,-0.45243966049356515,0.10090411849828734,0.25787601229848783,-0.4777531388553861,-0.07549837251292031,-0.6953711943980605],[0.13770427248651798,-0.15329067896332046,0.3463009484269924,0.618024761610393,-0.06522192370812763,0.42870629548804384,-0.2976417706722193,-0.4231157494879394],[0.14570966953539874,-0.4639003482930825,0.17619884361041258,-0.26818704638198143,-0.4564464503513808,-0.025029816673664725,0.5556909790542095,-0.37793189433730623],[0.3312314527767764,-0.6079310570142278,-0.21864575245321594,0.4128560346922148,0.277971176602201,-0.18528362568534065,0.1683629980712988,0.4031195704416545]],""width"":0.08999999999999997}",,,,,0.059745806759311,56.32631391156266
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m6,basis_reference__humidity,T6,orthogonal,one,6,none,False,2048,512,512,55.7942073279612,35.04299668967724,0.0709014644636679,0.99739417841999,0.9961053282464152,0.6393232250120491,0.0117538420017808,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000004,""feature"":""humidity"",""matrix"":[[-0.5006243487838955,0.07866377669631157,-0.15182505842987626,-0.7199204995711105,0.09264750924675065,-0.24730267910120857,-0.14007487437402744,0.3353919365152642],[0.0889497432970687,0.6235950905489381,0.33254233991054993,-0.2906696110189032,-0.03637542929774013,-0.020098887436276493,0.5881242062393948,-0.24602165861991343],[0.2888747911074026,-0.37298792778487344,0.6700683248988542,-0.4446117759367103,-0.04483801001300522,0.16569016188070507,-0.2944611818889692,-0.1207853671999202],[0.03931245152286606,0.2645132592737312,-0.124287814957912,-0.045684894781643594,0.7261267775718468,0.06115577096549064,-0.39103754294856474,-0.47648946561379435],[-0.7255739945239742,0.08130339286165732,0.5316054972430393,0.3803627844671666,-0.03293997164690311,-0.039999770628388095,-0.1451943716299228,-0.12603751559611565],[-0.3416103506274993,-0.2833799207257966,-0.20449647114525105,-0.16897247283638264,0.0452111159658224,0.7615767484329264,0.3232946034365032,-0.21462780857704813],[-0.11528771737039165,-0.3930523315657785,-0.1785029663306067,-0.11663976489957234,-0.1950764638361421,-0.5201679415144429,0.1669432022966813,-0.671007389090701],[0.004751823671897728,-0.3930004556786131,0.21363333639932447,0.10308506911629346,0.6477953453392437,-0.23467072417194554,0.4913251072481827,0.27046775939723794]],""width"":0.08999999999999997}",,,,,0.0709014644636679,55.7942073279612
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_orthogonal_m7,basis_reference__humidity,T6,orthogonal,one,7,none,False,2048,512,512,57.505852208532254,36.50600615143776,0.0804424352503932,0.9965784210552552,0.9958093006488824,0.647864816011861,0.0110867759212851,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":1.0000000000000004,""feature"":""humidity"",""matrix"":[[-0.13623104163230654,0.31668121380301467,-0.20710726955368583,0.36038201074995946,0.3110102046372682,0.09258452944511575,-0.0023509765775233285,-0.7765827243596798],[0.5541499202838622,0.3604241960054549,0.530030249820147,-0.23133387713719794,0.09234239595294946,0.055796971117615404,0.4386225724455375,-0.15663542132130615],[-0.35693796292268676,0.3286094739864796,0.285492275872153,-0.3094954211064287,-0.15004703458297378,0.648428269170782,-0.3798969144860432,-0.0047802175106571336],[-0.3241502740964869,0.10209821594506786,0.18871192394434505,0.6166778965390697,-0.06346347618726553,0.27511788194200626,0.5226668619810596,0.340147946338389],[-0.4135494090806041,0.5020476647383654,0.27458928196133336,-0.035506207089616416,-0.02346636958054104,-0.6910926565240082,-0.11342867998173953,0.09612111227406846],[0.2730045138704254,0.583984597406241,-0.5968215337461014,0.011319371291657894,-0.4322799620037521,0.05519987455136318,0.05349589754140199,0.1879671549365595],[-0.41634171440323314,-0.013056114276732962,-0.3311386360702598,-0.5803571476469004,0.22782329269529547,0.033616007483578104,0.5714867967518308,-0.019780093253598606],[0.15161087716972568,0.24111998230808487,-0.13344838006739163,0.04824066871028538,0.7930218914875272,0.10188037930053999,-0.21858033361539925,0.4601075629535472]],""width"":0.08999999999999997}",,,,,0.0804424352503932,57.505852208532254
bike-sharing,42712,2,regression,tabm_d,0,numeric_code,T6_basis_cond_le_3_m0,basis_reference__humidity,T6,cond_le_3,one,0,none,False,2048,512,512,57.1801313084657,36.66638581454754,0.0765391277766829,0.9969562718857408,0.9954564100033187,0.6682460480369627,0.0090042781084775,"{""centers"":[0.32,0.42,0.51,0.59,0.66,0.74,0.83,0.93],""condition_number"":2.0113683616757294,""feature"":""humidity"",""matrix"":[[0.7830884138214754,0.5182024575183484,0.0501090847751089,-0.07495494296474656,-0.40417518373838507,-0.3804637755226814,-0.6505249091189444,-0.7367713817937932],[-0.3660628134667132,0.22173668560890206,-0.3300441123258496,-0.375680468790995,-0.2193555861370901,-0.7356597311456942,-1.0324209671390352,0.818849218158664],[0.16868462250669886,-0.9756834735553668,0.36686841204598825,0.6177428681412237,-0.5086769432669406,-0.2485296926768814,0.03270789075531103,0.24189876304836366],[-0.057801255252087236,0.8589112836986991,0.5216392812123776,0.5498709272069275,0.4740564040596007,-0.429159724746718,0.3111427225943936,-0.1484309009257124],[0.26504295790357396,-0.05319909342746794,0.4115226019643319,-0.35222665111104456,-0.8662889688214663,-0.35310918093388194,1.0724786296736648,0.23646936728031243],[0.5118163683810654,0.40441967994574324,0.6043141125822439,-0.05457195840401407,0.27192614320523795,0.6660258506912895,-0.19765387823306393,0.7087002108749129],[0.0026474383384044765,0.3707800738544051,-1.2878123359513147,0.7017957856493658,-0.14615569602207545,-0.07270259420320407,-0.007669009214927635,0.4060383286366996],[0.6922693903336081,-0.28392250987922873,-0.37847952163191134,0.13052853575416473,1.0808826640369624,-0.652691362727332,0.2069157897025385,-0.216105113022914]],""width"":0.08999999999999997}",,,,,0.0765391277766829,57.1801313084657
