model,dataset,pipeline,reference_id,budget,problem_type,log_loss,accuracy,roc_auc,rmse,mae,probability_mad,prediction_rmse_normalized,prediction_disagreement,task_error
catboost,adult,native_categorical,nominal_canonical_ref__native_categorical,3,classification,0.32907919928535545,0.853515625,0.9011850272744374,,,,,,0.32907919928535545
catboost,adult,native_categorical,original__native_categorical,3,classification,0.3246867080914162,0.859375,0.9036303216502601,,,,,,0.3246867080914162
catboost,adult,numeric_code,basis_reference__fnlwgt,3,classification,0.3361388353098401,0.84375,0.8961063389554205,,,,,,0.3361388353098401
catboost,adult,numeric_code,nominal_canonical_ref__numeric_code,3,classification,0.32907919928535545,0.853515625,0.9011850272744374,,,,,,0.32907919928535545
catboost,adult,numeric_code,original__numeric_code,3,classification,0.32951075391907536,0.853515625,0.9013104269860179,,,,,,0.32951075391907536
catboost,adult,numeric_code,quantile_reference,3,classification,0.32951075391907536,0.853515625,0.9013104269860179,,,,,,0.32951075391907536
catboost,adult,numeric_code,zscore_reference,3,classification,0.32952336222615464,0.853515625,0.9012895270340878,,,,,,0.32952336222615464
catboost,bank-marketing,native_categorical,nominal_canonical_ref__native_categorical,3,classification,0.2412684388530284,0.90625,0.9050147492625369,,,,,,0.2412684388530284
catboost,bank-marketing,native_categorical,original__native_categorical,3,classification,0.23208660501105438,0.90234375,0.9091814159292035,,,,,,0.23208660501105438
catboost,bank-marketing,numeric_code,basis_reference__V6,3,classification,0.2579986289264242,0.8984375,0.8882005899705014,,,,,,0.2579986289264242
catboost,bank-marketing,numeric_code,nominal_canonical_ref__numeric_code,3,classification,0.2412684388530284,0.90625,0.9050147492625369,,,,,,0.2412684388530284
catboost,bank-marketing,numeric_code,original__numeric_code,3,classification,0.25015465265074355,0.892578125,0.9004424778761062,,,,,,0.25015465265074355
catboost,bank-marketing,numeric_code,quantile_reference,3,classification,0.2502203861574324,0.892578125,0.9004424778761062,,,,,,0.2502203861574324
catboost,bank-marketing,numeric_code,zscore_reference,3,classification,0.2501084622353167,0.892578125,0.9004424778761062,,,,,,0.2501084622353167
catboost,bike-sharing,native_categorical,nominal_canonical_ref__native_categorical,3,regression,,,,54.93879720272087,34.381202602613385,,,,54.93879720272087
catboost,bike-sharing,native_categorical,original__native_categorical,3,regression,,,,55.255619697847315,35.21147717202711,,,,55.255619697847315
catboost,bike-sharing,numeric_code,basis_reference__humidity,3,regression,,,,55.59861649524393,35.215020635691815,,,,55.59861649524393
catboost,bike-sharing,numeric_code,cyclic_sincos_reference,3,regression,,,,53.137124135568236,33.31293310296239,,,,53.137124135568236
catboost,bike-sharing,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,54.93879720272087,34.381202602613385,,,,54.93879720272087
catboost,bike-sharing,numeric_code,original__numeric_code,3,regression,,,,55.107919049238916,34.82405544381809,,,,55.107919049238916
catboost,bike-sharing,numeric_code,quantile_reference,3,regression,,,,55.107919049238916,34.82405544381809,,,,55.107919049238916
catboost,bike-sharing,numeric_code,zscore_reference,3,regression,,,,55.107919049238916,34.82405544381809,,,,55.107919049238916
catboost,california_housing,native_categorical,nominal_canonical_ref__native_categorical,3,regression,,,,59199.72553079399,40068.05748540842,,,,59199.72553079399
catboost,california_housing,native_categorical,original__native_categorical,3,regression,,,,59616.94597871143,40262.38579471856,,,,59616.94597871143
catboost,california_housing,numeric_code,basis_reference__median_income,3,regression,,,,59902.32502863696,40168.66934285236,,,,59902.32502863696
catboost,california_housing,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,59199.72553079399,40068.05748540842,,,,59199.72553079399
catboost,california_housing,numeric_code,original__numeric_code,3,regression,,,,58963.322237885164,39622.30496275165,,,,58963.322237885164
catboost,california_housing,numeric_code,quantile_reference,3,regression,,,,58962.8363493553,39623.43677057318,,,,58962.8363493553
catboost,california_housing,numeric_code,zscore_reference,3,regression,,,,58961.18331543009,39619.64950848574,,,,58961.18331543009
catboost,diamonds,native_categorical,nominal_canonical_ref__native_categorical,3,regression,,,,727.2909290267576,389.1179088002997,,,,727.2909290267576
catboost,diamonds,native_categorical,ordinal_categorical_reference,3,regression,,,,672.9551122210722,361.53299293380724,,,,672.9551122210722
catboost,diamonds,native_categorical,original__native_categorical,3,regression,,,,672.9551122210722,361.53299293380724,,,,672.9551122210722
catboost,diamonds,numeric_code,basis_reference__y,3,regression,,,,751.9702954397294,393.6511520768664,,,,751.9702954397294
catboost,diamonds,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,727.2909290267576,389.1179088002997,,,,727.2909290267576
catboost,diamonds,numeric_code,ordinal_integer_reference,3,regression,,,,630.7543799473358,339.69081164778333,,,,630.7543799473358
catboost,diamonds,numeric_code,ordinal_rank_reference,3,regression,,,,630.7543799473358,339.69081164778333,,,,630.7543799473358
catboost,diamonds,numeric_code,original__numeric_code,3,regression,,,,729.353383424104,383.36375174553524,,,,729.353383424104
catboost,diamonds,numeric_code,quantile_reference,3,regression,,,,729.2802897556813,383.3037568347055,,,,729.2802897556813
catboost,diamonds,numeric_code,zscore_reference,3,regression,,,,729.6856557307543,383.38194786067066,,,,729.6856557307543
catboost,wine-quality-red,native_categorical,original__native_categorical,3,regression,,,,0.6539681011067486,0.5016947985771546,,,,0.6539681011067486
catboost,wine-quality-red,numeric_code,basis_reference__density,3,regression,,,,0.6524580121362558,0.5017390640307176,,,,0.6524580121362558
catboost,wine-quality-red,numeric_code,original__numeric_code,3,regression,,,,0.6539681011067486,0.5016947985771546,,,,0.6539681011067486
catboost,wine-quality-red,numeric_code,quantile_reference,3,regression,,,,0.6539539678763373,0.50167786412086,,,,0.6539539678763373
catboost,wine-quality-red,numeric_code,zscore_reference,3,regression,,,,0.6538751357884516,0.5016795942474016,,,,0.6538751357884516
tabicl_v2,adult,numeric_code,basis_reference__fnlwgt,3,classification,0.328651110418997,0.849609375,0.9031391727799026,,,,,,0.328651110418997
tabicl_v2,adult,numeric_code,nominal_canonical_ref__numeric_code,3,classification,0.33137747262409323,0.85546875,0.9027420736932305,,,,,,0.33137747262409323
tabicl_v2,adult,numeric_code,original__numeric_code,3,classification,0.3269448589893808,0.853515625,0.9037452713858758,,,,,,0.3269448589893808
tabicl_v2,adult,numeric_code,quantile_reference,3,classification,0.32381621738243405,0.861328125,0.904915668693962,,,,,,0.32381621738243405
tabicl_v2,adult,numeric_code,zscore_reference,3,classification,0.3268061414259734,0.853515625,0.9038706710974566,,,,,,0.3268061414259734
tabicl_v2,bank-marketing,numeric_code,basis_reference__V6,3,classification,0.221200190422836,0.90234375,0.9208886430678466,,,,,,0.221200190422836
tabicl_v2,bank-marketing,numeric_code,nominal_canonical_ref__numeric_code,3,classification,0.22748144916841334,0.8984375,0.9137721238938054,,,,,,0.22748144916841334
tabicl_v2,bank-marketing,numeric_code,original__numeric_code,3,classification,0.2194887478772315,0.89453125,0.9216445427728613,,,,,,0.2194887478772315
tabicl_v2,bank-marketing,numeric_code,quantile_reference,3,classification,0.22175795128791115,0.900390625,0.9180862831858407,,,,,,0.22175795128791115
tabicl_v2,bank-marketing,numeric_code,zscore_reference,3,classification,0.21918021249223535,0.89453125,0.9219210914454278,,,,,,0.21918021249223535
tabicl_v2,bike-sharing,numeric_code,basis_reference__humidity,3,regression,,,,48.80207783765621,28.57680805027485,,,,48.80207783765621
tabicl_v2,bike-sharing,numeric_code,cyclic_sincos_reference,3,regression,,,,46.46965369539964,26.564905673265457,,,,46.46965369539964
tabicl_v2,bike-sharing,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,46.31160086795298,27.211573034524918,,,,46.31160086795298
tabicl_v2,bike-sharing,numeric_code,original__numeric_code,3,regression,,,,45.79978064598804,27.323818668723106,,,,45.79978064598804
tabicl_v2,bike-sharing,numeric_code,quantile_reference,3,regression,,,,45.587786403388115,27.224101647734642,,,,45.587786403388115
tabicl_v2,bike-sharing,numeric_code,zscore_reference,3,regression,,,,45.77345016853469,27.29489342868328,,,,45.77345016853469
tabicl_v2,california_housing,numeric_code,basis_reference__median_income,3,regression,,,,55703.94216965382,34359.4035949707,,,,55703.94216965382
tabicl_v2,california_housing,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,50518.8235241222,30751.84380340576,,,,50518.8235241222
tabicl_v2,california_housing,numeric_code,original__numeric_code,3,regression,,,,50120.3844680495,30548.356636047363,,,,50120.3844680495
tabicl_v2,california_housing,numeric_code,quantile_reference,3,regression,,,,51367.63846617741,31393.656677246094,,,,51367.63846617741
tabicl_v2,california_housing,numeric_code,zscore_reference,3,regression,,,,50161.81231534302,30534.574729919434,,,,50161.81231534302
tabicl_v2,diamonds,numeric_code,basis_reference__y,3,regression,,,,555.3023807889243,300.00111651420593,,,,555.3023807889243
