model,dataset,pipeline,family,variant,scope,repair,reference_id,orbit_three_task_error,orbit_three_disagreement,ordinary_three_task_error,orbit_vs_ordinary_relative_error,orbit_beats_ordinary
catboost,adult,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.3269353006185178,7.738210661799536e-18,0.3246867080914162,0.006925422171789313,False
catboost,adult,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.3269353006185178,7.738210661799536e-18,0.3246867080914162,0.006925422171789313,False
catboost,adult,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.3300477320040989,0.01692330570444761,0.32951075391907536,0.0016296223374713944,False
catboost,adult,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.32630759083991695,0.030480869284957007,0.32951075391907536,-0.009720966739510652,True
catboost,adult,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.32990496159765925,0.017508190468010224,0.32951075391907536,0.0011963423769796133,False
catboost,adult,numeric_code,T2,affine,all,none,original__numeric_code,0.33127400395847056,1.2888238965008703e-08,0.32951075391907536,0.005351115307842852,False
catboost,adult,numeric_code,T2,affine,one,none,original__numeric_code,0.3312739910451756,7.962109704190423e-18,0.32951075391907536,0.005351076118545279,False
catboost,adult,numeric_code,T2,scaling,all,none,original__numeric_code,0.33127827779978464,3.7456582752687173e-06,0.32951075391907536,0.005364085571372165,False
catboost,adult,numeric_code,T2,scaling,one,none,original__numeric_code,0.3312739910451756,7.962109704190423e-18,0.32951075391907536,0.005351076118545279,False
catboost,adult,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.3312644623845822,9.037482343380184e-06,0.32951075391907536,0.005322158517283214,False
catboost,adult,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0.3350271957131998,0.021826535703413318,0.3361388353098401,-0.003307084692001382,True
catboost,adult,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0.3351607678338326,0.020788391514889246,0.3361388353098401,-0.00290971281287981,True
catboost,adult,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0.33633116922555994,0.020610187626254387,0.3361388353098401,0.0005721859407959694,False
catboost,bank-marketing,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.2347402337415169,6.696271904078075e-18,0.23208660501105438,0.011433786669145001,False
catboost,bank-marketing,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.2347402337415169,6.696271904078075e-18,0.23208660501105438,0.011433786669145001,False
catboost,bank-marketing,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.25111429729247564,0.0137034400166827,0.25015465265074355,0.003836205449562088,False
catboost,bank-marketing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.2417616901992655,0.020295983697047004,0.25015465265074355,-0.03355109474296283,True
catboost,bank-marketing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.2475502302140721,0.01285439213817289,0.25015465265074355,-0.010411249237517241,True
catboost,bank-marketing,numeric_code,T2,affine,all,none,original__numeric_code,0.252241981785004,1.5894158496840595e-05,0.25015465265074355,0.008344154754437899,False
catboost,bank-marketing,numeric_code,T2,affine,one,none,original__numeric_code,0.2522726595839776,8.210409438380572e-06,0.25015465265074355,0.008466790086815345,False
catboost,bank-marketing,numeric_code,T2,scaling,all,none,original__numeric_code,0.2522796554101146,1.3603106370006295e-05,0.25015465265074355,0.008494756091296456,False
catboost,bank-marketing,numeric_code,T2,scaling,one,none,original__numeric_code,0.25225533718587795,2.5426010337818685e-08,0.25015465265074355,0.008397543331193991,False
catboost,bank-marketing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.2522733544866645,3.48964930982473e-05,0.25015465265074355,0.008469567979129277,False
catboost,bank-marketing,numeric_code,T6,cond_le_10,one,none,basis_reference__V6,0.25668387123845054,0.01564358532894149,0.2579986289264242,-0.00509598711219748,True
catboost,bank-marketing,numeric_code,T6,cond_le_3,one,none,basis_reference__V6,0.2547195853725545,0.015029362016677391,0.2579986289264242,-0.012709538680551762,True
catboost,bank-marketing,numeric_code,T6,orthogonal,one,none,basis_reference__V6,0.2566121110937442,0.0164124812254553,0.2579986289264242,-0.005374128686069172,True
catboost,bike-sharing,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,55.60776798380948,8.218503471202298e-17,55.255619697847315,0.006373076401781534,False
catboost,bike-sharing,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,55.60776798380948,8.218503471202298e-17,55.255619697847315,0.006373076401781534,False
catboost,bike-sharing,numeric_code,T0,column_permutation,all,none,original__numeric_code,55.049202368236216,0.04079640703041315,55.107919049238916,-0.0010654853606472902,True
catboost,bike-sharing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,54.74082459619641,0.046308683310459585,55.107919049238916,-0.006661373889195595,True
catboost,bike-sharing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,54.84765511818754,0.0189148628201848,55.107919049238916,-0.004722804554075627,True
catboost,bike-sharing,numeric_code,T2,affine,all,none,original__numeric_code,55.38597315188477,8.726400516796232e-17,55.107919049238916,0.0050456287851735485,False
catboost,bike-sharing,numeric_code,T2,affine,one,none,original__numeric_code,55.38597315188477,8.726400516796232e-17,55.107919049238916,0.0050456287851735485,False
catboost,bike-sharing,numeric_code,T2,scaling,all,none,original__numeric_code,55.38597315188477,8.726400516796232e-17,55.107919049238916,0.0050456287851735485,False
catboost,bike-sharing,numeric_code,T2,scaling,one,none,original__numeric_code,55.38597315188477,8.726400516796232e-17,55.107919049238916,0.0050456287851735485,False
catboost,bike-sharing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,55.38597315188477,8.726400516796232e-17,55.107919049238916,0.0050456287851735485,False
catboost,bike-sharing,numeric_code,T5,cyclic_rotation,all,none,cyclic_sincos_reference,52.52815560544459,0.052952496329850364,53.137124135568236,-0.011460321574234834,True
catboost,bike-sharing,numeric_code,T5,cyclic_shift,all,none,original__numeric_code,55.14356223879545,0.08160520610205309,55.107919049238916,0.0006467888857259081,False
catboost,bike-sharing,numeric_code,T5,cyclic_shift,one,none,original__numeric_code,55.109965902409556,0.04327513360936907,55.107919049238916,3.714263223786482e-05,False
catboost,bike-sharing,numeric_code,T6,cond_le_10,one,none,basis_reference__humidity,55.961260339553455,0.038943826314966234,55.59861649524393,0.0065225336019025856,False
catboost,bike-sharing,numeric_code,T6,cond_le_3,one,none,basis_reference__humidity,56.16494841255474,0.03914593795772748,55.59861649524393,0.010186079312949412,False
catboost,bike-sharing,numeric_code,T6,orthogonal,one,none,basis_reference__humidity,55.85191253689745,0.041756146094684365,55.59861649524393,0.004555797565128047,False
catboost,california_housing,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,59796.82510246614,1.246683769748922e-16,59616.94597871143,0.003017248213602516,False
catboost,california_housing,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,59796.82510246614,1.246683769748922e-16,59616.94597871143,0.003017248213602516,False
catboost,california_housing,numeric_code,T0,column_permutation,all,none,original__numeric_code,59019.09685098601,0.05925751866616832,58963.322237885164,0.0009459204635014584,False
